ID	adj.P.Val	P.Value	t	B	logFC	NAME	GENE_SYMBOL
62164	0.0593	0.00147	3.325058	-1.23115	0.24568959	A_33_P3285565	CLDN3
8630	0.062	0.00159	3.2993209	-1.30139	0.41834316	A_23_P114903	HSPA6
46389	0.0652	0.00174	3.2682566	-1.38568	0.28891678	A_23_P115375	HIST2H3D
61845	0.0658	0.00177	3.2626883	-1.40072	0.25411326	A_24_P404840	GJB1
60117	0.066	0.00178	-3.2609852	-1.40532	-0.55781755	A_21_P0000103	MTRNR2L3
28097	0.0668	0.00182	3.2540583	-1.42401	0.33575062	A_23_P70448	HIST1H1A
50740	0.0669	0.00184	3.250847	-1.43267	0.32491039	A_23_P133814	HIST1H3C
50493	0.0704	0.00204	3.2157252	-1.52692	0.19968722	A_23_P360744	RAG1
29631	0.071	0.00208	-3.2099109	-1.54246	-0.1976067	A_33_P3377439	OR13C8
58126	0.0711	0.00208	3.2095501	-1.54342	0.20433234	A_23_P112341	RMI1
13244	0.0726	0.00216	3.1963286	-1.57867	0.21434403	A_23_P99771	PNMA1
2887	0.0752	0.00231	3.1748084	-1.63582	0.21400897	A_23_P6561	EBLN2
36483	0.077	0.00241	3.159664	-1.67587	0.35153541	A_23_P359540	HIST1H4F
51300	0.0775	0.00244	3.1554719	-1.68693	0.37705886	A_23_P41664	LRRC70
44312	0.0783	0.0025	3.147666	-1.7075	0.36188004	A_23_P24903	P2RY2
503	0.0802	0.00259	3.1359308	-1.73836	0.20522418	A_21_P0003682	ADAM29
47496	0.0818	0.0027	3.1211118	-1.77721	0.21802302	A_23_P256526	ZNF80
45980	0.0821	0.00273	3.1181254	-1.78502	0.17961759	A_21_P0000043	KRTAP21-3
33572	0.0847	0.00288	3.0990524	-1.83479	0.3990646	A_23_P417951	TSPYL5
50569	0.0855	0.00293	3.093202	-1.85001	0.38202174	A_24_P102821	PTAFR
31140	0.0869	0.00304	-3.0811394	-1.88133	-0.19512438	A_33_P3339138	RPRML
48482	0.087	0.00304	3.0807195	-1.88242	0.21569844	A_33_P3303945	OR52N4
47862	0.0872	0.00305	3.0792958	-1.88611	0.22658685	A_23_P106405	NDN
30645	0.0875	0.00308	-3.0769175	-1.89227	-0.14319434	A_24_P389415	PNMA2
14357	0.0878	0.00311	3.0734281	-1.9013	0.29327757	A_23_P7976	HIST1H1E
27173	0.0882	0.00313	-3.0708692	-1.90792	-0.1866154	A_23_P141624	KRTAP1-1
39299	0.0882	0.00313	-3.0707868	-1.90813	-0.17782421	A_19_P00316714	TDRG1
31210	0.0904	0.00328	-3.0548141	-1.94936	-0.20002519	A_33_P3242438	PRR23B
29710	0.0905	0.00329	-3.053267	-1.95335	-0.22728067	A_33_P3244215	OR13C5
61643	0.0916	0.00336	3.0462587	-1.97138	0.36302465	A_23_P10873	TLR1
5765	0.0921	0.0034	3.0419177	-1.98254	0.17041958	A_33_P3263935	KRTAP22-2
29425	0.0928	0.0035	-3.0322499	-2.00734	-0.20937638	A_23_P13479	OR4S1
104	0.0952	0.00368	3.015376	-2.05049	0.23688792	A_33_P3265679	LOC389199
43704	0.0961	0.00374	3.0097294	-2.06488	0.13920921	A_33_P3343790	OR11L1
15272	0.097	0.00382	3.002299	-2.0838	0.27116217	A_33_P3398840	ZBED1
52086	0.0971	0.00385	2.9996014	-2.09066	0.15744115	A_23_P70566	FKBPL
26459	0.0979	0.00391	-2.9935687	-2.10598	-0.20924068	A_23_P108437	FZD5
42512	0.0979	0.00392	-2.9933933	-2.10643	-0.37629331	A_33_P3220837	MAFB
52702	0.0987	0.00401	2.9853573	-2.1268	0.16388965	A_24_P244706	SSTR1
61494	0.0996	0.00408	2.9791441	-2.14253	0.20780547	A_23_P48327	KCTD4
13985	0.1	0.00412	2.9752454	-2.15238	0.37473417	A_33_P3261173	FRAT1
44388	0.101	0.00416	-2.972002	-2.16057	-0.27719074	A_33_P3240507	KCTD12
4490	0.101	0.00421	-2.9685032	-2.1694	-0.22416784	A_23_P152406	CAPNS2
27506	0.101	0.00421	2.9679877	-2.1707	0.34342288	A_23_P65068	EID3
58548	0.102	0.00429	2.9616872	-2.18658	0.2113481	A_33_P3384202	OR8D4
56674	0.102	0.00433	-2.9578866	-2.19615	-0.45227279	A_33_P3268954	FBLL1
32573	0.104	0.00443	2.950319	-2.21516	0.21909754	A_23_P122007	C5orf30
33507	0.104	0.00445	2.9487777	-2.21903	0.42453744	A_33_P3214550	CXCR2
5180	0.106	0.00458	-2.9385369	-2.2447	-0.3399055	A_33_P3213006	KRTAP1-3
26362	0.106	0.00462	-2.9357988	-2.25155	-0.22351223	A_23_P90311	TICAM1
2461	0.108	0.00476	-2.9246015	-2.27952	-0.24294071	A_21_P0000102	MTRNR2L2
36434	0.111	0.00503	-2.905499	-2.32705	-0.23184887	A_33_P3405114	ENHO
30582	0.111	0.00507	-2.9028213	-2.33369	-0.14123295	A_23_P324538	LCE3B
50025	0.112	0.00508	2.9015778	-2.33678	0.21156208	A_23_P122007	C5orf30
5794	0.114	0.0053	2.8868197	-2.3733	0.22445895	A_24_P86389	HIST1H2AM
53371	0.114	0.00535	2.8834564	-2.3816	0.15261752	A_23_P33868	LPAR4
29058	0.115	0.00543	2.8782169	-2.39452	0.31592869	A_33_P3286958	B3GALT2
44065	0.116	0.00555	-2.8700544	-2.41461	-0.16593399	A_33_P3338724	LENG9
10550	0.117	0.00562	2.8659276	-2.42476	0.24472314	A_23_P430161	EXOC8
57769	0.118	0.00577	2.8564246	-2.44807	0.21959078	A_33_P3412184	ZNF865
16636	0.119	0.00584	-2.8521001	-2.45866	-0.41417286	A_21_P0000108	MTRNR2L8
54331	0.12	0.00589	2.8488476	-2.46661	0.28893749	A_23_P10873	TLR1
47040	0.12	0.00594	2.8459606	-2.47367	0.21534772	A_24_P302584	SOX11
15655	0.122	0.00608	2.8377768	-2.49364	0.23564634	A_23_P364544	C12orf60
28201	0.122	0.00611	2.8359253	-2.49815	0.32027774	A_24_P260639	HIST1H1D
20862	0.122	0.00615	-2.8336954	-2.50358	-0.18246642	A_23_P108437	FZD5
24445	0.123	0.00616	-2.8327044	-2.506	-0.25831646	A_24_P413920	FAM84A
43502	0.124	0.00629	2.825094	-2.52451	0.28934203	A_23_P10873	TLR1
37988	0.124	0.00631	-2.8243428	-2.52633	-0.57354129	A_23_P68910	SSTR3
46492	0.124	0.00633	-2.8230342	-2.52951	-0.35021805	A_33_P3281283	S1PR3
35639	0.125	0.00637	-2.8206808	-2.53522	-0.1765919	A_24_P407259	SOX21
61924	0.128	0.00675	2.8000327	-2.58518	0.19938005	A_33_P3264116	NHLRC1
44224	0.128	0.00676	2.799247	-2.58708	0.27836091	A_23_P10873	TLR1
28601	0.128	0.00677	-2.7989693	-2.58775	-0.13959405	A_33_P3270252	OR1B1
37798	0.129	0.0068	2.797028	-2.59243	0.44609025	A_23_P30813	HIST1H4K
49789	0.131	0.00697	2.7881307	-2.61385	0.15825789	A_23_P109184	INSM1
32833	0.131	0.00705	-2.7840293	-2.62371	-0.13539419	A_23_P47168	FLRT1
3597	0.131	0.00708	2.782632	-2.62707	0.13300988	A_33_P3385471	OR4A47
24260	0.136	0.00747	2.7627663	-2.67464	0.27128792	A_23_P10873	TLR1
14600	0.136	0.00749	-2.7616613	-2.67727	-0.18990588	A_24_P322444	NUP62
49915	0.137	0.00763	2.7552567	-2.69255	0.38578321	A_23_P81248	TAF7
36009	0.138	0.00773	-2.7500787	-2.70488	-0.18601802	A_23_P108437	FZD5
34062	0.139	0.00782	-2.7460869	-2.71437	-0.23198506	A_33_P3236656	SPACA4
26652	0.14	0.00791	-2.742004	-2.72407	-0.13884175	A_33_P3397530	OR8I2
37966	0.14	0.00798	-2.7385013	-2.73238	-0.12725615	A_23_P88643	OR4N4
56745	0.143	0.00837	2.7212144	-2.77328	0.19563579	A_23_P106103	AKAP5
29685	0.143	0.00837	2.7210914	-2.77357	0.16665264	A_23_P120694	KCNE2
13840	0.144	0.00849	2.715758	-2.78614	0.18432512	A_33_P3273125	FAM106CP
50242	0.146	0.0087	-2.7068655	-2.80707	-0.27360398	A_33_P3352340	KRTAP9-1
33437	0.148	0.00887	-2.6995019	-2.82435	-0.12797793	A_33_P3290477	ZNF648
1756	0.149	0.00891	2.697793	-2.82836	0.45887399	A_23_P67932	CXCR1
23056	0.15	0.00908	2.6910104	-2.84424	0.2016151	A_23_P122007	C5orf30
37088	0.15	0.00918	2.6865481	-2.85467	0.16210281	A_33_P3352852	CLDN9
1966	0.151	0.00927	-2.6831928	-2.86251	-0.58940194	A_21_P0000109	MTRNR2L9
41541	0.152	0.00931	2.6813536	-2.8668	0.27672305	A_23_P10873	TLR1
28263	0.152	0.00933	-2.6807745	-2.86815	-0.14583066	A_32_P385667	MAGEB10
11022	0.152	0.00944	-2.6763897	-2.87837	-0.14986392	A_23_P108437	FZD5
15131	0.153	0.00949	-2.6744454	-2.8829	-0.50662288	A_33_P3386686	LOC100132874
20388	0.154	0.00963	2.6686928	-2.89628	0.27020438	A_23_P10873	TLR1
30529	0.154	0.00964	2.6683922	-2.89698	0.2896894	A_23_P25605	KBTBD7
62772	0.156	0.00987	2.6595046	-2.9176	0.21364849	A_23_P50121	MC4R
1423	0.156	0.00994	-2.6569171	-2.9236	-0.22013245	A_24_P134789	KRTAP10-10
9969	0.156	0.00998	2.6555963	-2.92665	0.31158988	A_23_P32253	NFIL3
8652	0.156	0.01	-2.654585	-2.92899	-0.17217549	A_32_P179676	TOB2
10686	0.156	0.01	2.6544156	-2.92939	0.35673484	A_23_P1602	CDC42EP2
1679	0.156	0.01	2.6542162	-2.92985	0.27010593	A_23_P10873	TLR1
49828	0.156	0.01	2.6532699	-2.93204	0.12242711	A_23_P103349	OCLM
53219	0.158	0.0102	2.647808	-2.94466	0.18072459	A_33_P3411145	FAM200B
30403	0.158	0.0102	2.6477087	-2.94489	0.22464171	A_23_P144369	NAP1L5
26968	0.16	0.0105	2.635451	-2.97315	0.25089498	A_23_P428184	HIST1H2AD
15692	0.161	0.0106	-2.6324346	-2.98009	-0.31731629	A_33_P3303176	MRGPRG
59076	0.163	0.0108	2.6245349	-2.99822	0.3521669	A_33_P3404989	HIST1H3H
29266	0.163	0.0108	-2.6242689	-2.99883	-0.17343639	A_23_P85534	GPR52
24719	0.163	0.0109	-2.6220546	-3.00391	-0.27515197	A_33_P3212232	MPEG1
30714	0.164	0.011	-2.6202115	-3.00813	-0.30256502	A_23_P17345	MAFB
51233	0.167	0.0113	2.6076682	-3.03681	0.13454668	A_33_P3248987	OR6C68
29404	0.167	0.0114	-2.6041429	-3.04485	-0.175041	A_32_P345659	XIRP1
58048	0.171	0.0119	2.5891471	-3.07894	0.20345576	A_33_P3415255	VN1R1
35374	0.171	0.0119	2.5876464	-3.08235	0.25814139	A_23_P10873	TLR1
15314	0.171	0.012	-2.5861211	-3.08581	-0.11389297	A_33_P3297040	PBOV1
61958	0.172	0.0121	-2.5826153	-3.09375	-0.24295008	A_23_P331092	C9orf163
61686	0.173	0.0122	2.5786992	-3.10261	0.18389692	A_33_P3264331	FOXD3
32686	0.173	0.0123	2.5776983	-3.10487	0.21893125	A_23_P122007	C5orf30
10003	0.173	0.0123	2.5768473	-3.10679	0.26149645	A_23_P10873	TLR1
54016	0.173	0.0123	2.5765645	-3.10743	0.15459264	A_33_P3269000	C8orf48
2911	0.173	0.0123	-2.574866	-3.11127	-0.17444799	A_23_P146187	RRS1
3060	0.174	0.0124	2.5743449	-3.11245	0.35468269	A_24_P372134	TMEM140
1127	0.175	0.0126	2.5675539	-3.12777	0.3266086	A_23_P85726	METTL18
49646	0.176	0.0128	2.5621937	-3.13984	0.23242961	A_23_P22682	ARMCX1
51250	0.177	0.0129	2.5591012	-3.14679	0.16802229	A_33_P3213874	OR5T3
36995	0.177	0.013	-2.5558346	-3.15413	-0.16291409	A_23_P73858	TGIF2LY
12584	0.177	0.013	-2.5557729	-3.15427	-0.24582168	A_33_P3354404	KRTAP12-2
6499	0.178	0.0131	2.5535005	-3.15937	0.20480146	A_33_P3225696	ZNF526
40850	0.18	0.0134	-2.5433647	-3.18207	-0.16415537	A_33_P3388397	GJB4
62129	0.181	0.0135	2.540762	-3.18789	0.20052908	A_24_P6125	KCNJ4
50388	0.181	0.0135	2.5404707	-3.18854	0.17317032	A_23_P204947	GJB2
32616	0.181	0.0135	2.5401155	-3.18933	0.18514308	A_23_P420334	PGBD4
36653	0.181	0.0135	2.5398175	-3.19	0.17355976	A_23_P112341	RMI1
26960	0.182	0.0136	-2.538393	-3.19318	-0.36267959	A_23_P121657	HS3ST1
55339	0.182	0.0137	2.5344882	-3.20189	0.16842772	A_23_P112341	RMI1
24718	0.184	0.0139	-2.5289482	-3.21423	-0.13919616	A_33_P3417765	KLHDC7A
22269	0.184	0.014	2.5274339	-3.2176	0.16246062	A_23_P106405	NDN
51639	0.184	0.014	2.5266765	-3.21929	0.20381228	A_23_P119789	TMEM185B
51040	0.185	0.0141	-2.5242072	-3.22478	-0.26905079	A_23_P367013	TAS2R60
4634	0.185	0.0141	2.5231159	-3.2272	0.16903348	A_23_P109184	INSM1
39322	0.185	0.0141	2.5224886	-3.2286	0.29149667	A_33_P3261595	ANKRD34B
28974	0.185	0.0142	-2.5222693	-3.22909	-0.16209778	A_23_P110052	FOXL2
42419	0.186	0.0143	2.5192693	-3.23575	0.18478558	A_23_P106405	NDN
30805	0.187	0.0145	-2.5118282	-3.25224	-0.12228069	A_33_P3385732	OR52L1
6255	0.188	0.0148	2.5062534	-3.26457	0.26559242	A_33_P3251841	DSEL
31759	0.189	0.0149	-2.502608	-3.27262	-0.13674301	A_33_P3401295	CRCT1
17152	0.19	0.015	2.5002455	-3.27783	0.19931349	A_23_P106405	NDN
222	0.191	0.0151	2.4959566	-3.28728	0.18666782	A_33_P3253583	OR8B4
44987	0.191	0.0152	2.4935216	-3.29265	0.18871256	A_23_P205389	MOAP1
34827	0.191	0.0153	-2.4925747	-3.29473	-0.16387341	A_24_P204819	SPRY3
31206	0.192	0.0154	-2.4895528	-3.30137	-0.21127912	A_23_P20704	IFNA10
32551	0.194	0.0157	2.4818918	-3.31819	0.14233799	A_19_P00322856	FAM200B
41985	0.194	0.0157	-2.4817881	-3.31842	-0.30508872	A_23_P121657	HS3ST1
27277	0.195	0.0159	-2.4773092	-3.32823	-0.14318193	A_33_P3381147	KRTAP5-3
62047	0.196	0.0161	2.4722792	-3.33923	0.14929448	A_33_P3227706	OR2Z1
34270	0.197	0.0164	-2.4644538	-3.35631	-0.34445256	A_23_P121657	HS3ST1
39111	0.198	0.0165	2.4616999	-3.36231	0.37904629	A_23_P397391	FFAR2
23750	0.198	0.0166	2.4605166	-3.36488	0.21378796	A_23_P122007	C5orf30
61201	0.199	0.0167	2.458443	-3.3694	0.21699179	A_23_P106405	NDN
35078	0.201	0.0171	-2.4475502	-3.39305	-0.15953653	A_33_P3266479	OR13G1
35975	0.205	0.0179	2.4312774	-3.42822	0.16568883	A_23_P112341	RMI1
62572	0.205	0.0179	-2.4311984	-3.42839	-0.31195111	A_23_P121657	HS3ST1
34008	0.206	0.0181	-2.4255602	-3.44053	-0.15330936	A_23_P326303	GPR61
1515	0.207	0.0185	2.4171025	-3.4587	0.18036098	A_24_P305223	CTAGE1
43324	0.21	0.0189	2.4089975	-3.47607	0.23354453	A_23_P151791	LTB4R
46867	0.21	0.019	2.4059779	-3.48252	0.10264828	A_33_P3257910	C3orf80
45819	0.21	0.0191	-2.4052121	-3.48416	-0.15482684	A_32_P119248	FOXD4
62958	0.211	0.0192	2.4025748	-3.48979	0.18943907	A_33_P3231631	OR2J3
55242	0.214	0.0197	-2.3921925	-3.51191	-0.29148674	A_23_P121657	HS3ST1
29989	0.214	0.0198	2.3903728	-3.51578	0.13871169	A_23_P81859	HIST1H2AH
62565	0.214	0.0198	2.3901592	-3.51624	0.24973175	A_33_P3303982	UBTFL1
37180	0.215	0.02	-2.3860797	-3.5249	-0.12186519	A_23_P110052	FOXL2
34160	0.218	0.0205	-2.3763524	-3.54551	-0.23375527	A_33_P3265699	OR5H15
11698	0.219	0.0208	2.370644	-3.55757	0.1927328	A_23_P119789	TMEM185B
24151	0.22	0.021	2.3664663	-3.56639	0.13988388	A_24_P286465	PURB
59089	0.221	0.0211	2.3642702	-3.57101	0.20054189	A_23_P55286	OMG
53138	0.221	0.0212	2.3619465	-3.57591	0.25059308	A_23_P11201	GPR34
215	0.222	0.0214	2.3591349	-3.58182	0.18393011	A_21_P0013981	CHRM3
49430	0.222	0.0214	-2.3579855	-3.58424	-0.22749608	A_24_P6903	ACTBL2
31821	0.223	0.0215	-2.356282	-3.58781	-0.12244018	A_33_P3847514	C6orf141
41543	0.223	0.0217	-2.3530693	-3.59456	-0.1220709	A_23_P107963	FUT1
50042	0.224	0.0217	2.3522676	-3.59624	0.16029948	A_23_P112341	RMI1
4004	0.224	0.0219	-2.3485329	-3.60407	-0.34541695	A_33_P3243429	GPR152
59038	0.225	0.022	2.3482937	-3.60457	0.26288369	A_23_P34144	MAGEH1
32253	0.225	0.0221	-2.3455465	-3.61032	-0.13473195	A_23_P110052	FOXL2
31900	0.227	0.0224	-2.3399447	-3.62203	-0.18772873	A_33_P3256272	KRTAP10-5
48680	0.227	0.0225	2.3392341	-3.62351	0.19211199	A_24_P55148	HIST1H2BJ
1563	0.227	0.0225	-2.3377959	-3.62651	-0.62176495	A_21_P0014060	PIGC
19532	0.227	0.0226	-2.3370347	-3.6281	-0.31483165	A_23_P121657	HS3ST1
5966	0.227	0.0226	2.336972	-3.62823	0.16566655	A_33_P3768992	DCAF4L2
30949	0.228	0.0227	-2.3353592	-3.6316	-0.22341158	A_23_P117873	CHRM5
29953	0.228	0.0228	-2.3337456	-3.63496	-0.15463715	A_33_P3385725	OR52M1
39278	0.229	0.023	2.3296437	-3.6435	0.23553328	A_23_P411296	CEBPB
38706	0.231	0.0233	2.3239881	-3.65525	0.1547818	A_23_P38603	KRTAP4-4
40309	0.231	0.0233	2.3234255	-3.65642	0.18697608	A_23_P111054	HIST1H2BB
8271	0.231	0.0234	-2.3227596	-3.6578	-0.32609044	A_23_P121657	HS3ST1
4695	0.231	0.0235	-2.320406	-3.66269	-0.146272	A_23_P168951	ZHX2
48631	0.232	0.0236	-2.318904	-3.6658	-0.15117165	A_24_P734953	TRNP1
51445	0.232	0.0236	2.3183965	-3.66685	0.16635243	A_23_P393080	CALML3
29429	0.233	0.0239	-2.3145207	-3.67488	-0.17326145	A_23_P108437	FZD5
35180	0.233	0.0239	2.3135584	-3.67687	0.20077568	A_23_P82913	TRMT12
38439	0.233	0.024	-2.3124639	-3.67913	-0.12365051	A_23_P41599	PCDHB8
12920	0.233	0.024	-2.3115312	-3.68106	-0.26828152	A_33_P3268343	PGAM4
37115	0.234	0.0242	-2.3091331	-3.68601	-0.14950601	A_33_P3344414	OR8J3
18640	0.234	0.0242	2.3086619	-3.68699	0.31461474	A_23_P30805	HIST1H4J
15410	0.235	0.0244	-2.3053369	-3.69385	-0.1511069	A_23_P19556	FUT9
21956	0.235	0.0244	2.3046231	-3.69532	0.1298836	A_33_P3302632	HIST1H2BE
47891	0.237	0.0249	2.297468	-3.71005	0.13371226	A_33_P3416331	SLC10A5
46965	0.237	0.0249	2.2973543	-3.71029	0.15683946	A_23_P88303	HSPA2
15414	0.238	0.0252	2.2925181	-3.72022	0.15573478	A_24_P169773	CTAGE4
28092	0.238	0.0253	-2.2910289	-3.72328	-0.32923663	A_33_P3318444	RNF222
38095	0.238	0.0253	2.2899921	-3.72541	0.2407971	A_23_P125717	NAP1L3
11849	0.238	0.0254	-2.2892723	-3.72688	-0.13628905	A_23_P120103	KCNS3
2979	0.24	0.0257	-2.2846741	-3.7363	-0.176855	A_23_P85180	TMEM187
57549	0.24	0.0258	-2.2827471	-3.74024	-0.20882321	A_24_P38895	H2AFX
60287	0.24	0.0258	2.282138	-3.74149	0.1859707	A_23_P366216	HIST1H2BH
62420	0.24	0.0258	2.2820447	-3.74168	0.21647497	A_33_P3354836	OR4P4
11334	0.241	0.0259	2.280079	-3.7457	0.19133786	A_23_P111037	HIST1H3A
8794	0.241	0.026	-2.279909	-3.74605	-0.1790145	A_24_P153568	MPEG1
38373	0.241	0.0261	2.2771164	-3.75175	0.16153086	A_33_P3330443	FAM110B
45430	0.241	0.0261	2.2768752	-3.75224	0.14684104	A_23_P107102	KIF2B
27950	0.242	0.0264	-2.2735406	-3.75904	-0.13263377	A_33_P3376493	AGTR2
24561	0.243	0.0267	-2.2683572	-3.7696	-0.21418395	A_23_P359746	TAS2R38
16690	0.243	0.0267	-2.2678719	-3.77058	-0.18273054	A_23_P395534	RSC1A1
23117	0.245	0.0271	-2.2613315	-3.78387	-0.13739311	A_33_P3312519	KPRP
17582	0.245	0.0272	-2.259861	-3.78685	-0.31085565	A_33_P3364373	KRTAP5-2
30578	0.247	0.0278	-2.251943	-3.80289	-0.12748827	A_33_P3321170	TMEM177
1219	0.247	0.0278	-2.2515845	-3.80361	-0.23714684	A_33_P3358908	KRTAP9-6
24926	0.249	0.0281	2.2464782	-3.81393	0.17417706	A_23_P119789	TMEM185B
48648	0.249	0.0281	2.2461673	-3.81455	0.11780138	A_33_P3267859	OR51A4
28534	0.249	0.0282	2.2452239	-3.81646	0.17361027	A_23_P119789	TMEM185B
37004	0.249	0.0284	2.2430314	-3.82088	0.30525475	A_24_P201064	PPP1R3B
23801	0.25	0.0284	-2.2424797	-3.82199	-0.3674822	A_33_P3391796	NOG
27827	0.25	0.0285	2.2404459	-3.82608	0.17550755	A_23_P59069	HIST1H2BO
435	0.251	0.0287	2.2379719	-3.83106	0.1237009	A_23_P108492	MARS2
44320	0.251	0.0287	2.2373403	-3.83233	0.11076963	A_33_P3392530	MAGEB16
56912	0.252	0.029	-2.2338837	-3.83928	-0.23493639	A_33_P3415430	HSPA1B
2854	0.252	0.029	2.233163	-3.84072	0.19294637	A_24_P146211	HIST1H2BD
19297	0.255	0.0297	-2.2235147	-3.86006	-0.16380369	A_33_P3226109	LCE4A
53927	0.255	0.0297	2.2233244	-3.86044	0.17473017	A_23_P379794	PIGW
43198	0.255	0.0297	2.2232668	-3.86056	0.15728912	A_23_P112341	RMI1
23697	0.256	0.0299	2.22067	-3.86575	0.24122614	A_23_P12784	FRAT2
31643	0.258	0.0304	-2.2138691	-3.87932	-0.12770953	A_23_P108564	B3GALT1
41560	0.258	0.0304	2.2134503	-3.88015	0.22427339	A_23_P411296	CEBPB
15841	0.259	0.0307	-2.2092853	-3.88844	-0.19920185	A_33_P3282489	GCNT1
25199	0.259	0.0307	-2.2091544	-3.8887	-0.20327777	A_33_P3236177	ANG
29094	0.259	0.0309	-2.2073256	-3.89234	-0.13168349	A_23_P109964	CCDC54
30100	0.259	0.0309	-2.2072652	-3.89246	-0.18009507	A_33_P3406806	KRTAP9-1
39110	0.26	0.031	-2.2061083	-3.89476	-0.22560727	A_32_P25295	NEUROD2
18195	0.26	0.031	-2.2051025	-3.89676	-0.12344645	A_33_P3283833	FOXS1
37553	0.26	0.0311	-2.2037169	-3.89951	-0.1075873	A_21_P0011643	LINC00483
17096	0.26	0.0312	2.2032472	-3.90044	0.1307718	A_23_P120694	KCNE2
51165	0.261	0.0313	2.201816	-3.90328	0.12010831	A_33_P3423504	MAGEB17
