function	cod	gene_name	type	chr	organism
 heterogeneous nuclear ribonucleoprotein C-like	4	HNRNPCL4	__SEG__	Chr1	{HomoSapiens}
 putative UPF0607 protein	ENSP00000383783	LOC100131107	__SEG__	Chr1	{HomoSapiens}
 pyrin domain-only protein	3	PYDC5	__SEG__	Chr1	{HomoSapiens}
 sphingosine 1-phosphate receptor	1	S1PR1	__SEG__	Chr1	{HomoSapiens}
 bolA-like protein 1	precursor	BOLA1	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC101928120	LOC101928120	__SEG__	Chr1	{HomoSapiens}
 protein	FAM231D	FAM231D	__SEG__	Chr1	{HomoSapiens}
 protein	FAM231D	LOC100996741	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10J4	OR10J4	__SEG__	Chr1	{HomoSapiens}
 UPF0500 protein	C1orf216	C1orf216	__SEG__	Chr1	{HomoSapiens}
 FAM231A/C-like protein	LOC102723383	LOC102723383	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T7	OR2T7	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2AJ1	OR2AJ1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	14A2	OR14A2	__SEG__	Chr1	{HomoSapiens}
 nudix hydrolase	4B	NUDT4B	__SEG__	Chr1	{HomoSapiens}
 histone cluster 2 H3 pseudogene	2	HIST2H3PS2	__SEG__	Chr1	{HomoSapiens}
 zinc finger CCCH-type containing	11B	ZC3H11B	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC105378696	LOC105378696	__SEG__	Chr1	{HomoSapiens}
 rab proteins geranylgeranyltransferase component A	2	CHML	__SEG__	Chr1	{HomoSapiens}
 heat shock 70 kDa protein	6	HSPA6	__SEG__	Chr1	{HomoSapiens}
 transcription factor	AP-1	JUN	__SEG__	Chr1	{HomoSapiens}
 potassium voltage-gated channel subfamily A member	3	KCNA3	__SEG__	Chr1	{HomoSapiens}
 ATP-sensitive inward rectifier potassium channel	10	KCNJ10	__SEG__	Chr1	{HomoSapiens}
 tumor-associated calcium signal transducer 2	precursor	TACSTD2	__SEG__	Chr1	{HomoSapiens}
 POU domain, class 3, transcription factor	1	POU3F1	__SEG__	Chr1	{HomoSapiens}
	cornifin-B	SPRR1B	__SEG__	Chr1	{HomoSapiens}
 histone	H3.1t	HIST3H3	__SEG__	Chr1	{HomoSapiens}
 histone H2A type	2-A	HIST2H2AA3	__SEG__	Chr1	{HomoSapiens}
 histone H2A type	2-C	HIST2H2AC	__SEG__	Chr1	{HomoSapiens}
 histone H2B type	2-E	HIST2H2BE	__SEG__	Chr1	{HomoSapiens}
 histone	H4	HIST2H4A	__SEG__	Chr1	{HomoSapiens}
 beta-1,3-galactosyltransferase	2	B3GALT2	__SEG__	Chr1	{HomoSapiens}
 forkhead box protein	D2	FOXD2	__SEG__	Chr1	{HomoSapiens}
 GTP-binding protein Di-Ras3	precursor	DIRAS3	__SEG__	Chr1	{HomoSapiens}
 gap junction beta-5	protein	GJB5	__SEG__	Chr1	{HomoSapiens}
 G-protein coupled receptor	3	GPR3	__SEG__	Chr1	{HomoSapiens}
 probable G-protein coupled receptor	25	GPR25	__SEG__	Chr1	{HomoSapiens}
	involucrin	IVL	__SEG__	Chr1	{HomoSapiens}
 potassium voltage-gated channel subfamily A member	10	KCNA10	__SEG__	Chr1	{HomoSapiens}
 helix-loop-helix protein	1	NHLH1	__SEG__	Chr1	{HomoSapiens}
 G-protein coupled receptor	52	GPR52	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein	2A	SPRR2A	__SEG__	Chr1	{HomoSapiens}
 14-3-3 protein	sigma	SFN	__SEG__	Chr1	{HomoSapiens}
 regulatory solute carrier protein family 1 member	1	RSC1A1	__SEG__	Chr1	{HomoSapiens}
 protein	SPHAR	SPHAR	__SEG__	Chr1	{HomoSapiens}
 protein	AF1q	MLLT11	__SEG__	Chr1	{HomoSapiens}
 forkhead box protein	D3	FOXD3	__SEG__	Chr1	{HomoSapiens}
 forkhead box protein	E3	FOXE3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	1C1	OR1C1	__SEG__	Chr1	{HomoSapiens}
 pleckstrin homology-like domain family A member	3	PHLDA3	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	2B	LCE2B	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	KIAA0754	KIAA0754	__SEG__	Chr1	{HomoSapiens}
 G0/G1 switch protein	2	G0S2	__SEG__	Chr1	{HomoSapiens}
 immediate early response gene 5	protein	IER5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2M4	OR2M4	__SEG__	Chr1	{HomoSapiens}
 putative nucleotidyltransferase	FAM46C	FAM46C	__SEG__	Chr1	{HomoSapiens}
 protein arginine N-methyltransferase	6	PRMT6	__SEG__	Chr1	{HomoSapiens}
 lens epithelial cell protein	LEP503	LENEP	__SEG__	Chr1	{HomoSapiens}
 RING finger protein	186	RNF186	__SEG__	Chr1	{HomoSapiens}
 microtubule-associated protein	10	MAP10	__SEG__	Chr1	{HomoSapiens}
 RNA binding motif protein,	X-linked-like-1	RBMXL1	__SEG__	Chr1	{HomoSapiens}
 gap junction gamma-2	protein	GJC2	__SEG__	Chr1	{HomoSapiens}
 amphoterin-induced protein 1	precursor	AMIGO1	__SEG__	Chr1	{HomoSapiens}
 histone	H3.2	HIST2H3C	__SEG__	Chr1	{HomoSapiens}
 disintegrin and metalloproteinase domain-containing protein 30	preproprotein	ADAM30	__SEG__	Chr1	{HomoSapiens}
 probable G-protein coupled receptor	88	GPR88	__SEG__	Chr1	{HomoSapiens}
 succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial	precursor	OXCT2	__SEG__	Chr1	{HomoSapiens}
 interferon alpha responsive protein isoform	a	TOR1AIP2	__SEG__	Chr1	{HomoSapiens}
	oculomedin	OCLM	__SEG__	Chr1	{HomoSapiens}
 gap junction beta-3	protein	GJB3	__SEG__	Chr1	{HomoSapiens}
 tumor necrosis factor alpha-induced protein 8-like protein	2	TNFAIP8L2	__SEG__	Chr1	{HomoSapiens}
 zinc finger protein	672	ZNF672	__SEG__	Chr1	{HomoSapiens}
 protein	FAM110D	FAM110D	__SEG__	Chr1	{HomoSapiens}
 sperm mitochondrial-associated cysteine-rich	protein	SMCP	__SEG__	Chr1	{HomoSapiens}
 gap junction alpha-9 protein	precursor	GJA9	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T1	OR2T1	__SEG__	Chr1	{HomoSapiens}
 probable G-protein coupled receptor	61	GPR61	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	3D	LCE3D	__SEG__	Chr1	{HomoSapiens}
 4-hydroxyphenylpyruvate dioxygenase-like	protein	HPDL	__SEG__	Chr1	{HomoSapiens}
 U7 snRNA-associated Sm-like protein	LSm10	LSM10	__SEG__	Chr1	{HomoSapiens}
 histidine protein methyltransferase 1	homolog	METTL18	__SEG__	Chr1	{HomoSapiens}
 histone H2A type	3	HIST3H2A	__SEG__	Chr1	{HomoSapiens}
 actin-related protein	T2	ACTRT2	__SEG__	Chr1	{HomoSapiens}
 beta-1,3-galactosyltransferase	6	B3GALT6	__SEG__	Chr1	{HomoSapiens}
 cbp/p300-interacting transactivator	4	CITED4	__SEG__	Chr1	{HomoSapiens}
 protein KTI12	homolog	KTI12	__SEG__	Chr1	{HomoSapiens}
 transmembrane protein	125	TMEM125	__SEG__	Chr1	{HomoSapiens}
 GPI mannosyltransferase	1	PIGM	__SEG__	Chr1	{HomoSapiens}
 high mobility group protein B4 isoform	1	HMGB4	__SEG__	Chr1	{HomoSapiens}
 probable proline--tRNA ligase, mitochondrial	precursor	PARS2	__SEG__	Chr1	{HomoSapiens}
 kelch domain-containing protein	7A	KLHDC7A	__SEG__	Chr1	{HomoSapiens}
 UBX domain-containing protein	10	UBXN10	__SEG__	Chr1	{HomoSapiens}
 UPF0739 protein	C1orf74	C1orf74	__SEG__	Chr1	{HomoSapiens}
 coiled-coil domain-containing protein	185	CCDC185	__SEG__	Chr1	{HomoSapiens}
 gap junction beta-4	protein	GJB4	__SEG__	Chr1	{HomoSapiens}
 protein	FAM71A	FAM71A	__SEG__	Chr1	{HomoSapiens}
 phosphatidylinositol N-acetylglucosaminyltransferase subunit	C	PIGC	__SEG__	Chr1	{HomoSapiens}
 transmembrane epididymal protein	1	TEDDM1	__SEG__	Chr1	{HomoSapiens}
 vomeronasal type-1 receptor	5	VN1R5	__SEG__	Chr1	{HomoSapiens}
 histone H2B type	3-B	HIST3H2BB	__SEG__	Chr1	{HomoSapiens}
 histone H2A type	2-B	HIST2H2AB	__SEG__	Chr1	{HomoSapiens}
 exocyst complex component	8	EXOC8	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2L13	OR2L13	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	1A	LCE1A	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	1B	LCE1B	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	1D	LCE1D	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	1E	LCE1E	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	1F	LCE1F	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	4A	LCE4A	__SEG__	Chr1	{HomoSapiens}
 membrane progestin receptor	alpha	PAQR7	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	2A	LCE2A	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	2C	LCE2C	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	2D	LCE2D	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	3A	LCE3A	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	3B	LCE3B	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	3C	LCE3C	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	3E	LCE3E	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein	5A	LCE5A	__SEG__	Chr1	{HomoSapiens}
 relaxin-3 receptor	2	RXFP4	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2C3	OR2C3	__SEG__	Chr1	{HomoSapiens}
 transmembrane protein 81	precursor	TMEM81	__SEG__	Chr1	{HomoSapiens}
 ubiquitin-like protein	4B	UBL4B	__SEG__	Chr1	{HomoSapiens}
 putative C->U-editing enzyme	APOBEC-4	APOBEC4	__SEG__	Chr1	{HomoSapiens}
 protein	FAM43B	FAM43B	__SEG__	Chr1	{HomoSapiens}
 putative uncharacterized protein	C1orf229	C1orf229	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC100506571	LOC100506571	__SEG__	Chr1	{HomoSapiens}
 TMF-regulated nuclear protein 1 isoform	X1	TRNP1	__SEG__	Chr1	{HomoSapiens}
 protein	FAM231D	LOC100996721	__SEG__	Chr1	{HomoSapiens}
 cysteine-rich C-terminal protein 1 isoform	X1	CRCT1	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4C	LOC105371242	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC107983947	LOC107983947	__SEG__	Chr1	{HomoSapiens}
 glucose-dependent insulinotropic	receptor-like	LOC105379282	__SEG__	Chr1	{HomoSapiens}
 nascent polypeptide-associated complex subunit alpha, muscle-specific	form-like	LOC101060022	__SEG__	Chr1	{HomoSapiens}
 putative protein	FAM231BP	FAM231BP	__SEG__	Chr1	{HomoSapiens}
 C2 calcium-dependent domain-containing protein 4D isoform	X1	C2CD4D	__SEG__	Chr1	{HomoSapiens}
 leucine-rich repeat neuronal protein 2 isoform	X1	LRRN2	__SEG__	Chr1	{HomoSapiens}
 muscarinic acetylcholine receptor M3 isoform	X1	CHRM3	__SEG__	Chr1	{HomoSapiens}
 cannabinoid receptor 2 isoform	X1	CNR2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor 2T10 isoform	X1	OR2T10	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor 6N1 isoform	X1	OR6N1	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein 4 isoform	X1	SPRR4	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor 10J1 isoform	X1	OR10J1	__SEG__	Chr1	{HomoSapiens}
 gap junction alpha-4 protein isoform	X1	GJA4	__SEG__	Chr1	{HomoSapiens}
 gap junction alpha-5 protein isoform	X1	GJA5	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope protein 6A isoform	X1	LCE6A	__SEG__	Chr1	{HomoSapiens}
 helix-loop-helix protein 2 isoform	X1	NHLH2	__SEG__	Chr1	{HomoSapiens}
 dolichol-phosphate mannosyltransferase subunit 3 isoform	X1	DPM3	__SEG__	Chr1	{HomoSapiens}
 volume-regulated anion channel subunit LRRC8D isoform	X1	LRRC8D	__SEG__	Chr1	{HomoSapiens}
 proline-rich nuclear receptor coactivator 2 isoform	X1	PNRC2	__SEG__	Chr1	{HomoSapiens}
 exonuclease V isoform	X1	EXO5	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein 2B isoform	X1	SPRR2B	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein 2D isoform	X1	SPRR2D	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein 2F isoform	X1	SPRR2F	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein 2G isoform	X1	SPRR2G	__SEG__	Chr1	{HomoSapiens}
 toll-like receptor 5 isoform	X1	TLR5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor 4F3/4F16/4F29 isoform	X1	OR4F16	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein KIAA0040 isoform	X2	KIAA0040	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC100996720	LOC100996720	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC105378592	LOC105378592	__SEG__	Chr1	{HomoSapiens}
 AT-hook DNA-binding motif-containing protein 1 isoform	X1	AHDC1	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein KIAA0040 isoform	X1	KIAA0040	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC112268219	LOC112268219	__SEG__	Chr1	{HomoSapiens}
 putative protein	FAM231AP	FAM231AP	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC112268233	LOC112268233	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC112268237	LOC112268237	__SEG__	Chr1	{HomoSapiens}
 translation initiation factor	IF-2-like	LOC112268238	__SEG__	Chr1	{HomoSapiens}
 uncharacterized protein	LOC105373132	LOC105373132	__SEG__	Chr1	{HomoSapiens}
 zinc finger protein 648 isoform	X1	ZNF648	__SEG__	Chr1	{HomoSapiens}
 alpha-2A adrenergic	receptor	ADRA2A	__SEG__	Chr10	{HomoSapiens}
 beta-1 adrenergic	receptor	ADRB1	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	C10orf62	C10orf62	__SEG__	Chr10	{HomoSapiens}
 shadow of prion protein	precursor	SPRN	__SEG__	Chr10	{HomoSapiens}
 heterogeneous nuclear ribonucleoprotein	F	HNRNPF	__SEG__	Chr10	{HomoSapiens}
 eukaryotic translation initiation factor	5A-1-like	EIF5AL1	__SEG__	Chr10	{HomoSapiens}
	killin	KLLN	__SEG__	Chr10	{HomoSapiens}
 ribulose-phosphate 3-epimerase-like protein	1	RPEL1	__SEG__	Chr10	{HomoSapiens}
 OTU domain-containing protein	1	OTUD1	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	C10orf105	C10orf105	__SEG__	Chr10	{HomoSapiens}
 humanin-like	5	MTRNR2L5	__SEG__	Chr10	{HomoSapiens}
 humanin-like	7	MTRNR2L7	__SEG__	Chr10	{HomoSapiens}
 endogenous Bornavirus-like nucleoprotein	1	EBLN1	__SEG__	Chr10	{HomoSapiens}
	myoregulin	MRLN	__SEG__	Chr10	{HomoSapiens}
 vesicular acetylcholine	transporter	SLC18A3	__SEG__	Chr10	{HomoSapiens}
 cholesterol	25-hydroxylase	CH25H	__SEG__	Chr10	{HomoSapiens}
 prolactin-releasing peptide	receptor	PRLHR	__SEG__	Chr10	{HomoSapiens}
 calmodulin-like protein	3	CALML3	__SEG__	Chr10	{HomoSapiens}
 proto-oncogene	FRAT1	FRAT1	__SEG__	Chr10	{HomoSapiens}
 zinc finger protein	22	ZNF22	__SEG__	Chr10	{HomoSapiens}
 protein	DEPP1	DEPP1	__SEG__	Chr10	{HomoSapiens}
 GSK-3-binding protein	FRAT2	FRAT2	__SEG__	Chr10	{HomoSapiens}
 cleavage stimulation factor subunit 2 tau	variant	CSTF2T	__SEG__	Chr10	{HomoSapiens}
 calmodulin-like protein	5	CALML5	__SEG__	Chr10	{HomoSapiens}
 Hermansky-Pudlak syndrome 6	protein	HPS6	__SEG__	Chr10	{HomoSapiens}
 MARVEL domain-containing protein	1	MARVELD1	__SEG__	Chr10	{HomoSapiens}
 frizzled-8	precursor	FZD8	__SEG__	Chr10	{HomoSapiens}
 2-aminoethanethiol	dioxygenase	ADO	__SEG__	Chr10	{HomoSapiens}
 urocortin-3	preproprotein	UCN3	__SEG__	Chr10	{HomoSapiens}
 protein atonal homolog	7	ATOH7	__SEG__	Chr10	{HomoSapiens}
 fibroblast growth factor-binding protein 3	precursor	FGFBP3	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	C10orf111	C10orf111	__SEG__	Chr10	{HomoSapiens}
 nanos homolog	1	NANOS1	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	LOC105376341	LOC105376341	__SEG__	Chr10	{HomoSapiens}
 putative UPF0607 protein	FLJ37424	LOC100505502	__SEG__	Chr10	{HomoSapiens}
 neuropeptide Y receptor Y42 isoform	X1	NPY4R2	__SEG__	Chr10	{HomoSapiens}
 ribonuclease P protein subunit p38 isoform	X1	RPP38	__SEG__	Chr10	{HomoSapiens}
 zinc finger protein 488 isoform	X1	ZNF488	__SEG__	Chr10	{HomoSapiens}
 SKI/DACH domain-containing protein 1 isoform	X1	SKIDA1	__SEG__	Chr10	{HomoSapiens}
 neurogenin-3 isoform	X1	NEUROG3	__SEG__	Chr10	{HomoSapiens}
 neuropeptide Y receptor type 4 isoform	X1	NPY4R	__SEG__	Chr10	{HomoSapiens}
 olfactory receptor 13A1 isoform	X1	OR13A1	__SEG__	Chr10	{HomoSapiens}
 threonine synthase-like 1 isoform	X1	THNSL1	__SEG__	Chr10	{HomoSapiens}
 zinc finger protein 518A isoform	X1	ZNF518A	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	LOC107984159	LOC107984159	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	LOC101927824	LOC101927824	__SEG__	Chr10	{HomoSapiens}
 putative uncharacterized protein	LOC439951	LOC107984208	__SEG__	Chr10	{HomoSapiens}
 transmembrane protein	108-like	LOC107984264	__SEG__	Chr10	{HomoSapiens}
 basic proline-rich	protein	LOC105378577	__SEG__	Chr10	{HomoSapiens}
 uncharacterized protein	LOC107984282	LOC107984282	__SEG__	Chr10	{HomoSapiens}
 V(D)J recombination-activating protein	1	RAG1	__SEG__	Chr11	{HomoSapiens}
 V(D)J recombination-activating protein	2	RAG2	__SEG__	Chr11	{HomoSapiens}
 muscarinic acetylcholine receptor	M1	CHRM1	__SEG__	Chr11	{HomoSapiens}
 muscarinic acetylcholine receptor	M4	CHRM4	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-5	KRTAP5-5	__SEG__	Chr11	{HomoSapiens}
 protein DDI1 homolog	1	DDI1	__SEG__	Chr11	{HomoSapiens}
 BH3-like motif-containing cell death	inducer	BLID	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52N1	OR52N1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52J3	OR52J3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56A1	OR56A1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C15	OR4C15	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AS1	OR5AS1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52N5	OR52N5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5D18	OR5D18	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10G9	OR10G9	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5A2	OR5A2	__SEG__	Chr11	{HomoSapiens}
