Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Isolated congenital sclerocornea ORPHA:91490	43/101	1.5656069760237564E-15	4.685434695518369E-13	0	0	5.853482959012224	199.5481772157007	OR7G2;OR10J3;OR10H3;OR2G3;OR4K5;OR2M7;FAM47B;OR10H4;OR4K2;OR9Q2;OR4K1;OR1I1;CCER1;ZNRF4;OR10W1;OR2Y1;OR4D9;OR5AP2;LELP1;OR7D4;OR4D5;OR2A25;OR8H2;PRR30;OR10K1;OR51G1;SLC35G4;OR6C75;OR11G2;OR2H1;OR10G3;TAAR5;OR2J1;OR10A7;OR51V1;OR52R1;OR4D11;OR10C1;KIF2B;OR7C2;OR4C5;PRR23B;OR7E24
Early-onset sutural cataract ORPHA:98985	42/106	6.764800837922968E-14	1.855810363203534E-11	0	0	5.177278820375335	156.9981766319855	OR2G6;DCAF4L1;OR10H3;OR10H4;OR2T34;OR2T35;ARIH2OS;OR6S1;TRAJ46;TRAJ23;OR1S2;TRAJ48;TRAJ26;TRAJ47;TRAJ25;OR7D4;TRAJ21;OR4D2;OR4D1;OR52I2;OR2J1;RHOH;OR2T7;OR2T5;TRAJ35;TRAJ13;OR2T3;TRAJ12;TRAJ56;OR2T2;TRAJ36;TRAJ14;TRAJ8;TRAJ17;TRAJ16;OR4D11;TLR10;TRAJ50;TRAJ30;TRAJ33;TRAJ11;TRAJ10
Pulverulent cataract ORPHA:98984	42/109	2.0949039972701258E-13	5.304941506933272E-11	0	0	4.94462006322276	144.3537250782903	OR7G2;OR10J1;IFNA7;OR10J3;OR11H2;OR14J1;OR10H3;OR4K5;OR2G2;OR2M7;FAM47B;OR10H4;OR9Q2;OR1I1;OR2T12;OR1S2;GJA3;ZNRF4;OR2Y1;OR4D9;OR5AP2;LELP1;OR7D4;OR8H2;OR4D2;SLC35G4;TAAR9;OR6C75;OR11G2;OR10G3;TAAR5;OR2J1;OR2T7;MOS;OR10A7;OR4D11;OR10C1;OR6C3;OR7C2;OR4C5;CHST2;OR7G3
Dentin dysplasia type II ORPHA:99791	40/101	2.7043132827481516E-13	5.564124579254322E-11	0	0	5.169496487119438	149.59880884847846	OR51F2;OR11H2;OR1E2;OR11H1;OR11H12;OR2M7;OR10H4;OR2M5;OR1I1;OR2M3;CCER1;OR2M2;USP17L20;USP17L22;USP17L7;OR1S2;USP17L4;OR8B3;OR8B2;OR13D1;OR4F21;OR4F4;PRR30;OR10K1;OR4F3;OR2J3;OR1L6;OR1L4;OR1L1;USP17L2;OR2T7;USP17L11;USP17L1;OR4F17;OR2A12;OR51A4;OR10A2;OR2A14;OR2A2;OR10A5
Dentinogenesis imperfecta type 2 ORPHA:166260	40/101	2.7043132827481516E-13	5.564124579254322E-11	0	0	5.169496487119438	149.59880884847846	OR51F2;OR11H2;OR1E2;OR11H1;OR11H12;OR2M7;OR10H4;OR2M5;OR1I1;OR2M3;CCER1;OR2M2;USP17L20;USP17L22;USP17L7;OR1S2;USP17L4;OR8B3;OR8B2;OR13D1;OR4F21;OR4F4;PRR30;OR10K1;OR4F3;OR2J3;OR1L6;OR1L4;OR1L1;USP17L2;OR2T7;USP17L11;USP17L1;OR4F17;OR2A12;OR51A4;OR10A2;OR2A14;OR2A2;OR10A5
Dentinogenesis imperfecta type 3 ORPHA:166265	40/101	2.7043132827481516E-13	5.564124579254322E-11	0	0	5.169496487119438	149.59880884847846	OR51F2;OR11H2;OR1E2;OR11H1;OR11H12;OR2M7;OR10H4;OR2M5;OR1I1;OR2M3;CCER1;OR2M2;USP17L20;USP17L22;USP17L7;OR1S2;USP17L4;OR8B3;OR8B2;OR13D1;OR4F21;OR4F4;PRR30;OR10K1;OR4F3;OR2J3;OR1L6;OR1L4;OR1L1;USP17L2;OR2T7;USP17L11;USP17L1;OR4F17;OR2A12;OR51A4;OR10A2;OR2A14;OR2A2;OR10A5
Familial hyperaldosteronism type I ORPHA:403	38/100	4.787827960227904E-12	9.271488026511919E-10	0	0	4.827227993439037	125.8214285808747	OR7G2;OR14J1;OR10H3;OR4K5;OR11H1;OR6K2;OR2M7;FAM47B;OR10H4;OR2M5;OR9Q2;OR1I1;CCER1;OR2M2;OR2T12;OR1S2;OR2W5;DNAJB8;OR7D4;PRR30;OR4D2;OR1D5;OR10K1;OR1D4;OR1D2;OR11G2;OR2J1;ADAM30;OR2T7;OR5R1;OR10A7;OR2V2;OR10C1;OR2Z1;KIF2B;OR6C3;OR7C2;OR4C5
Early-onset lamellar cataract ORPHA:441452	37/108	3.021049862186589E-10	5.525164525732361E-8	0	0	4.10047534426353	89.88343040560605	IFNA5;IFNA7;OR10J3;IFNA6;OR5K4;OR14J1;OR10H3;OR2G2;OR2M7;IFNA2;OR10H4;OR9Q2;OR2T12;OR6S1;OR51L1;OR1S2;PRKACG;GJA10;OR7D4;OR4D2;TAAR8;TAAR9;OR2F1;TAAR6;OR2J2;OR2J1;OR2T7;MOS;OR10A7;OR13C9;OR2V2;OR10C1;OR6C3;OR7C2;OR13C4;ERAS;OR7G3
Cataract-microcornea syndrome ORPHA:1377	35/105	2.0913206392513355E-9	3.6234881812712616E-7	0	0	3.930957683741648	78.56203719663255	IFNA7;OR10J3;OR14J1;OR10H3;OR2G2;OR2M7;FAM47B;OR10H4;OR9Q2;SOX3;ZNRF4;PRKACG;GJA10;OR2Y1;OR4D9;OR5AP2;OR7D4;OR8H2;TAAR8;SLC35G4;OR6C75;OR11G2;OR10G3;TAAR5;OR2J1;CABS1;MOS;OR10A7;OR4D11;OR10C1;OR52A1;OR7C2;ACTRT2;OR4C5;OR7G3
Peeling skin syndrome type B ORPHA:263553	33/101	1.0540622284329292E-8	1.7349864280006014E-6	0	0	3.8123772873635438	70.02585754659985	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SFN;SPRR2B;SPRR2D;FGFBP1;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;GJB4;GJB3;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Hypotrichosis simplex of the scalp ORPHA:90368	33/102	1.3890136920631767E-8	2.177444321081894E-6	0	0	3.7569125984404326	67.97038891639946	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2B;SPRR2D;FGFBP1;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;GJB4;GJB3;LCE4A;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Self-improving collodion baby ORPHA:281122	32/100	3.079636505855005E-8	4.608256080579398E-6	0	0	3.6952061963575464	63.9118029339571	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;RNASE7;SFN;SPRR2A;SPRR2B;SPRR2D;FGFBP1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE2B;LCE2C;RNF225;GJB4;GJB3;GJB5;LCE6A;SP6;SPRR1A;SPRR1B;IVL
Keratoderma hereditarium mutilans with ichthyosis ORPHA:79395	32/101	4.0190418105969737E-8	5.292274256194095E-6	0	0	3.6414461808241785	62.01250743491009	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE3C;LCE1B;LCE3D;LCE3A;LCE5A;RNASE7;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
NON RARE IN EUROPE: Partial color blindness, deutan type ORPHA:319698	32/101	4.0190418105969737E-8	5.292274256194095E-6	0	0	3.6414461808241785	62.01250743491009	OR10J3;OR11H2;OR14J1;OR10H3;OR11H1;OR6K2;OR2M7;FAM47B;OR10H4;OR2M5;OR9Q2;OR1I1;OR2M3;OR2M2;OR2T12;OR1S2;GJA10;OR7D4;OR6B2;OR4D2;OR1D4;OR1D2;OR2J1;OR5P3;OR1L1;OR2T7;OR5R1;OR2T4;OR10A7;OR2V2;OR51A4;OR7C2
Resistance to thyrotropin-releasing hormone syndrome ORPHA:99832	32/101	4.0190418105969737E-8	5.292274256194095E-6	0	0	3.6414461808241785	62.01250743491009	TAS2R7;TAS2R9;TAS2R8;TAS2R43;GPR22;TAS2R46;ADAM20;USP17L7;OR2AG1;OR13D1;PAPOLB;TAS2R3;OR4F21;OR2D3;OR4F3;TAS2R50;OR2D2;TAS2R30;OR2L8;TAS2R31;SMIM18;TAS2R10;OR2L5;TAS2R13;GPR52;OR2L3;OR1L4;TAS2R19;OR10A2;OR6A2;OR10A4;OR10A5
Congenital non-bullous ichthyosiform erythroderma ORPHA:79394	32/105	1.1154480626002442E-7	1.250074964744328E-5	0	0	3.441134890069712	55.08857607348794	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;RNASE7;SFN;SPRR2A;SPRR2B;SPRR2D;FGFBP1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;GJB4;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Lamellar ichthyosis ORPHA:313	32/105	1.1154480626002442E-7	1.250074964744328E-5	0	0	3.441134890069712	55.08857607348794	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SFN;SPRR2A;SPRR2B;SPRR2D;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;RNF225;GJB4;GJB3;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Annular epidermolytic ichthyosis ORPHA:281139	31/100	1.1391934672639685E-7	1.250074964744328E-5	0	0	3.526082445660229	56.37421320917189	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LTB4R;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;RNASE7;SPRR2B;SPRR2D;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Autosomal dominant epidermolytic ichthyosis ORPHA:312	31/100	1.1391934672639685E-7	1.250074964744328E-5	0	0	3.526082445660229	56.37421320917189	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LTB4R;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;RNASE7;SPRR2B;SPRR2D;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Congenital reticular ichthyosiform erythroderma ORPHA:281190	31/100	1.1391934672639685E-7	1.250074964744328E-5	0	0	3.526082445660229	56.37421320917189	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LTB4R;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;RNASE7;SPRR2B;SPRR2D;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Hereditary palmoplantar keratoderma, Gamborg-Nielsen type ORPHA:86923	31/101	1.4657099440384638E-7	1.4621567078104917E-5	0	0	3.475512926379978	54.68982311477407	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2A;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;RNF225;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
IL21-related infantile inflammatory bowel disease ORPHA:477661	31/101	1.4657099440384638E-7	1.4621567078104917E-5	0	0	3.475512926379978	54.68982311477407	TRAJ45;TRAJ48;TRAJ47;TRAJ28;TRAJ49;TRAJ27;GPR171;CCR8;TRAJ40;TRAJ42;TRAJ41;CCR4;TRAJ44;TRAJ43;TRAJ3;TRAJ5;TRAJ57;TRAJ34;TRAJ37;TRAJ58;TRAJ39;TRAJ8;TRAJ17;TRAJ38;TRAJ16;TRAJ9;TRAJ18;TRAJ53;TRAJ52;TRAJ32;TRAJ54
Mal de Meleda ORPHA:87503	31/101	1.4657099440384638E-7	1.4621567078104917E-5	0	0	3.475512926379978	54.68982311477407	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2A;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;RNF225;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Striate palmoplantar keratoderma ORPHA:50942	31/102	1.8776965819788195E-7	1.766107756535507E-5	0	0	3.42636790060058	53.06775684094692	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2A;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;GJB4;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Woolly hair ORPHA:170	31/102	1.8776965819788195E-7	1.766107756535507E-5	0	0	3.42636790060058	53.06775684094692	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;RNASE7;SPRR2B;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;GJB4;LPAR6;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Peeling skin syndrome type A ORPHA:263548	30/102	6.455885040690268E-7	5.903548209431211E-5	0	0	3.268148148148148	46.581253896258715	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;SOX21;LCE2D;LCE1A;LCE1B;NHLH2;LCE3D;LCE5A;SPTSSB;SPRR2B;PSAPL1;GPR12;C1ORF68;LCE1E;POU3F1;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;PYDC1
Diffuse palmoplantar keratoderma with painful fissures ORPHA:369999	29/101	1.701289121023307E-6	1.4001609466021816E-4	0	0	3.157806407028975	41.948692787742694	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2A;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE6A;SPRR1A;SPRR1B;IVL
Epidermolytic palmoplantar keratoderma ORPHA:2199	29/101	1.701289121023307E-6	1.4001609466021816E-4	0	0	3.157806407028975	41.948692787742694	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;CAPNS2;RNASE7;SPRR2A;SPRR2B;SPRR2D;FGFBP1;C1ORF68;LCE1F;LCE3E;LCE2B;LCE2C;GJB4;GJB3;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Focal palmoplantar keratoderma with joint keratoses ORPHA:370002	29/101	1.701289121023307E-6	1.4001609466021816E-4	0	0	3.157806407028975	41.948692787742694	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SPRR2A;SPRR2B;SPRR2D;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE6A;SPRR1A;SPRR1B;IVL
Superficial epidermolytic ichthyosis ORPHA:455	29/101	1.701289121023307E-6	1.4001609466021816E-4	0	0	3.157806407028975	41.948692787742694	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;CAPNS2;SPRR2B;PSAPL1;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;LCE4A;LCE6A;SPRR1A;SPRR1B;IVL
Progressive symmetric erythrokeratodermia ORPHA:316	29/104	3.2577957448018685E-6	2.6157716077775003E-4	0	0	3.0309788242262696	38.29477993712002	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;RNASE7;SFN;PSAPL1;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;GJB4;GJB3;GJB5;LCE6A;SPRR1B;IVL
DITRA ORPHA:404546	28/101	5.407110562295704E-6	4.0455018116085123E-4	0	0	3.0056449062020976	36.451847368506215	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;CAPNS2;RNASE7;SPRR2A;SPRR2B;SPRR2D;C1ORF68;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;GJB2;GJB4;LCE6A;SPRR1A;SPRR1B;IVL
Severe combined immunodeficiency due to FOXN1 deficiency ORPHA:169095	28/101	5.407110562295704E-6	4.0455018116085123E-4	0	0	3.0056449062020976	36.451847368506215	KPRP;SPRR2E;SPRR4;SPRR2G;CALML5;CRCT1;TACSTD2;CALML3;LCE2D;LCE1A;LCE1B;LCE3D;RNASE7;SFN;SPRR2A;FGFBP1;C1ORF68;LCE3E;LCE2B;LCE2C;RNF225;GJB4;GJB3;GJB5;LCE6A;SPRR1A;SPRR1B;IVL
Spinocerebellar ataxia type 35 ORPHA:276193	28/101	5.407110562295704E-6	4.0455018116085123E-4	0	0	3.0056449062020976	36.451847368506215	KPRP;SPRR2E;SPRR4;SPRR2G;OR10H3;CRCT1;OR10H4;OR1I1;LCE2D;LCE1A;LCE3C;LCE3D;OR1S2;LCE3A;OR4D9;OR7D4;SPRR2B;OR11G2;C1ORF68;OR2J1;LCE3E;LCE2B;LCE2C;LCE4A;LCE6A;OR4D11;CLDN17;SPRR1A
Autosomal recessive epidermolytic ichthyosis ORPHA:512103	27/101	1.6390234343854405E-5	0.0011990366991104155	0	0	2.857703242523482	31.488531552176056	KPRP;SPRR2E;SPRR4;SPRR2G;NXT1;CALML5;CRCT1;LCE2D;LCE1A;LCE1B;LCE3D;LCE5A;EMC6;SPRR2B;SPRR2D;C1ORF68;LCE1E;LCE1F;LCE3E;LCE1D;LCE2B;LCE2C;LCE2A;TMEM99;LCE6A;SPRR1B;IVL
