Name	Gene	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood	seg
ENSG00000179023.9	KLHDC7A	0.140525	0.024064	0	0	0.010547	0	0.740287	0.015735	0.012587	0.0217085	0.610646	0.574193	0.022787	0.015823	0.015071	0.028901	0.023594	0.0170715	0.0180565	0.036016	0.740973	0	0.005217	0.306792	0.072714	0.009292	0.148617	0.576986	0.450846	0.02437	0.025004	1.60285	0.020006	0.087735	0.004518	0.004509	8.30836	21.8053	3.22031	2.91573	3.53056	3.22025	0.69221	2.68957	0	0.022443	0	1.80123	1.29333	0.70085	1.41411	0.076571	0.262883	0.060891	0.088822	0.146174	0.022264	0.364137	0	3.37287	4.42049	4.39728	0.019251	0.444706	2.16196	0.011476	0.344525	0	Seg
ENSG00000178828.7	RNF186	0.0352405	0	0	0	0	0	0.03768	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168985	0	0	0.0301245	0.056147	0.055777	14.3596	30.7078	32.6294	1.78859	0	0	0	0	0	0	14.519	1.53829	0.327437	0.608092	0.695808	0.034043	0	0.093142	0	0	0.374511	19.947	20.3957	7.61928	19.7477	0	0.18658	0.039696	0.0710895	5.4555	0.23653	8.54565	0	0.072547	0.052802	0.120131	0	0.182481	0	0.075598	0	0	Seg
ENSG00000162543.6	UBXN10	0.646206	0.94118	1.71558	0.107538	0.298274	0.100499	3.76791	1.39804	2.11171	2.05348	1.63284	2.21276	4.30479	4.45706	1.87617	3.18095	2.06794	0.830938	1.30437	2.14354	1.63661	0.018058	0.029551	0.482381	3.80815	17.0528	6.20137	6.61729	3.13726	20.3151	11.297	1.12778	13.2958	8.83444	2.26818	0.471817	2.13696	2.84018	1.97675	3.78014	3.63685	1.22391	2.74259	1.58861	0.167383	0.411008	0.788668	0.443191	0.341914	11.3774	0.479501	6.24244	2.84307	0.955776	0.989375	2.09981	0.697296	1.86703	0.161807	0.917095	2.89605	0.220544	14.6331	28.7638	6.24146	3.47505	0.395967	0.291973	Seg
ENSG00000183114.8	FAM43B	0.271457	2.55898	31.0689	0.496551	1.32358	0.387044	0.449599	6.53551	8.96688	11.8075	21.1984	16.5749	12.0557	12.4183	6.72208	18.9531	15.8814	9.50525	3.1855	9.29574	0.542845	0.199432	0	0.421932	1.63237	1.3748	0.686459	0.347382	0.030915	1.08415	1.39046	0.424934	1.43069	2.39857	2.59283	1.73189	0.840524	8.50331	0.270566	0.069271	0.154017	6.16791	0.522704	0.810365	0.318076	0.228521	0.200435	0.338893	0.133872	0.351941	0.375789	1.37843	1.39579	0.364387	0.395422	0.462216	0.05712	0.290644	1.36165	0.211946	0.294227	0.02588	1.06419	1.33555	2.69685	1.43505	0.493557	0	Seg
ENSG00000179546.5	HTR1D	0.0149675	0.021637	0.016667	0	0.0170105	0	0.200925	0.462605	0.305895	3.97587	0.046394	0.0684435	0.713719	0.583901	0.187703	0.548894	8.25302	3.18357	0.180919	0.160249	0.030809	0.017521	0.025295	0.026545	0.064833	0.092748	0.099962	0.085038	0.0335035	0.053654	0.022255	0.012722	0.025621	0.114851	0.018233	0.0201505	0.0108675	0.061313	0	0	0	2.66721	0.251657	0.027183	0.0143855	0.391298	0.05894	0.018836	0	0.062866	0.039539	0.244236	0.153782	0.029092	0.022923	3.19671	0.200709	4.09235	0.034528	0.011536	0	0	0	0.611667	0.0320455	0.044752	0.0150365	0	Seg
ENSG00000188822.8	CNR2	0.024642	0.037355	0.012481	0.026343	0.0285545	0.008186	0.02643	0.003838	0.007069	0.0056995	0.009468	0.011067	0.0060055	0.006572	0.002765	0.004813	0.005795	0.0060855	0.0018815	0.005851	0.0192325	0	14.3936	0.0292455	0.028824	0.009604	0.10812	0.24278	0.304085	0.030288	0.007474	0.0659135	0.007548	0.036867	0.010931	0.005098	0.027288	0.04366	0.065248	0.033018	0.060533	1.1294	0.149983	0.021458	0.0044945	0.017835	0.012879	0.0041905	0	0.013298	0.009782	0.022003	0.0410235	0.009875	0.0142155	2.05609	42.5594	11.1256	17.5414	0.029518	0.047219	0.021477	0	0.259273	0.390965	0.021427	0.0236075	1.40187	Seg
ENSG00000189266.13	PNRC2	80.0739	89.7177	62.4527	94.5048	85.8645	91.6191	75.0495	25.6521	29.0869	27.8909	51.9301	42.4798	27.5588	35.1691	24.6351	28.8798	28.3329	23.7246	44.1827	28.3541	77.9406	75.4836	133.121	72.4967	92.0929	82.0627	72.9354	84.755	67.897	73.0744	72.8059	49.8766	66.1947	87.6605	32.3374	23.2759	47.9992	69.2059	18.1432	19.4386	20.7535	84.904	101.938	47.7962	20.5855	76.843	103.91	18.5025	18.8758	39.0116	21.4708	46.2886	67.7193	45.328	44.5092	70.4821	98.896	82.3035	73.421	56.3446	57.5362	38.443	83.6098	32.9968	116.38	109.055	68.9425	20.2735	Seg
ENSG00000182749.6	PAQR7	8.30259	9.73862	34.6122	14.3792	11.5622	10.1051	22.9212	5.78529	7.20773	6.21074	11.4214	11.6263	8.82733	8.13972	5.86595	9.67193	8.13794	4.99165	6.91181	7.31327	9.08281	20.3052	12.1317	27.1943	27.023	12.4007	7.30015	4.94671	3.72182	10.9684	10.3918	24.2449	10.4994	24.5231	2.97647	1.49827	18.5971	23.5829	3.34632	2.54108	2.59442	14.1976	11.9467	6.5995	1.68646	21.2049	63.3749	3.97863	4.10573	7.47911	4.34928	14.007	15.8317	36.0984	41.1656	11.9005	14.0541	11.8735	19.1054	10.8115	11.0391	10.8377	11.5018	104.738	11.6923	29.2814	27.0177	3.0579	Seg
ENSG00000197245.6	FAM110D	15.7948	14.4413	1.77224	3.23961	7.26698	3.72611	6.97507	1.43596	1.49654	1.54293	0.97781	1.18351	1.57466	1.3911	1.36143	1.58899	1.26022	1.4145	1.59432	1.87255	14.664	0.033468	0.012178	6.49539	12.1968	4.28682	3.88462	3.1894	1.35059	4.59113	8.45953	2.65655	7.64505	15.3978	2.47927	3.05124	2.6756	5.02928	0.252418	0.2738	0.377053	5.77335	7.79938	3.89265	1.90471	12.5678	1.8619	1.57165	1.11996	1.49343	2.24641	2.17866	6.1278	4.21809	4.29757	4.96153	1.76568	4.51485	1.16163	4.02032	5.23533	2.52222	10.7733	1.54575	10.6667	15.4328	6.05692	0.044904	Seg
ENSG00000175793.12	SFN	1.85225	1.66472	0.781838	4.8069	2.14182	2.13999	23.1509	1.04872	0.618649	2.50705	0.939582	1.36943	0.948715	0.68581	1.01118	0.669014	2.22617	2.50623	1.67235	0.78233	14.1443	2.03714	2.80648	777.747	2.37851	1.65189	79.2557	224.293	162.764	14.9049	1.26718	3305.19	1.27685	1.23541	0.940353	0.414566	4.9323	2.46376	1.01581	0.815176	1.10271	36.2558	76.2328	98.3613	0.716029	1.22775	1.13611	0.911568	0.431351	0.121977	0.499858	1.67629	122.322	1768.94	1619.18	39.2616	2.23471	45.5236	1.2998	30.1809	54.2134	52.4976	0.96529	1.1245	2.7053	1.67302	1054.86	1.44741	Seg
ENSG00000253368.4	TRNP1	13.331	16.0047	4.86328	40.4011	34.4804	33.0185	35.1825	24.4576	38.2627	18.2434	53.2823	46.5663	40.4884	52.0407	17.9859	27.0615	22.0281	16.4304	7.17105	14.4588	14.9013	238.29	0.185594	25.5077	24.386	25.6992	10.8103	6.68042	1.69378	21.1281	31.3538	91.6951	38.8639	27.88	24.5294	11.3651	16.2491	19.9397	1.91727	1.7721	2.15556	34.7462	17.1736	8.86764	1.43289	28.7161	5.06003	11.7113	12.3935	31.7642	13.0695	22.9233	16.7822	13.6811	13.4133	8.29827	4.99228	8.33271	8.34666	52.7298	88.1102	92.6375	26.3111	4.32635	7.93722	31.9638	29.6194	0.426788	Seg
ENSG00000181773.7	GPR3	1.63464	2.59619	0.504077	0.886488	1.08118	0.727498	0.88299	2.02649	3.75787	1.46805	5.59837	6.14168	4.66761	5.24631	2.37757	4.37747	1.68448	1.35081	1.17583	2.25754	1.45113	2.63812	0.603054	0.687083	0.789648	0.730962	0.515323	0.453994	0.217708	1.28329	0.639734	0.581324	0.707378	2.1997	3.04147	0.453874	0.808816	0.650511	0.073168	0.088663	0.117621	1.65351	3.22927	0.741775	0.304414	0.65503	0.455495	0.190335	0.156659	2.17592	0.235923	6.21468	1.16536	0.991229	0.872789	0.621916	1.26351	1.0136	0.490614	0.666617	0.642407	0.449414	2.97396	0.604168	2.98171	1.02459	0.69454	0.198029	Seg
ENSG00000126705.15	AHDC1	19.3473	12.8965	28.3565	35.4606	29.0204	48.0448	24.8183	8.15427	11.0547	10.0273	48.6284	54.3241	17.9405	14.6394	7.6392	11.4783	12.4081	7.66923	5.63955	6.33168	19.36	10.6525	6.35567	39.5398	47.9532	25.4165	12.3752	7.13038	3.85603	24.0633	28.0405	42.7991	25.1603	42.7123	12.4364	9.76398	7.04399	16.3195	4.35604	3.0753	2.86794	15.8395	19.8084	22.1723	19.3458	34.4346	42.2706	5.00564	4.22883	21.9946	4.64659	31.763	20.6837	39.2143	45.7838	11.5315	13.6544	9.50308	25.4797	11.3488	10.7751	6.41233	18.3778	19.2392	41.0264	53.1108	38.6894	1.26618	Seg
ENSG00000169403.12	PTAFR	5.27714	7.1831	3.04474	3.20608	4.84659	1.39724	4.5331	1.42952	0.887456	1.27207	0.619059	0.475495	0.767245	0.846258	1.27494	1.64979	1.13918	1.02163	3.63354	2.70448	3.70442	0.098851	16.9727	2.63924	2.04174	2.88921	3.98928	5.76917	3.85442	3.57919	3.62774	7.15559	3.75957	3.38495	0.765057	0.695613	2.20763	1.48624	0.500387	0.841127	1.29581	10.8489	15.2116	3.52164	0.29051	2.99649	0.915907	0.948042	0.788349	0.865212	1.58045	0.891441	2.48555	3.42043	4.41966	7.18274	11.9846	10.0679	25.2328	2.3654	2.60299	1.54396	4.39351	2.3484	2.38968	1.87856	3.31703	50.2273	Seg
ENSG00000176256.11	HMGB4	0	0	0.018741	0	0	0	0	0	0	0	0	0.032966	0	0	0	0	0	0	0	0.008858	0	0	0	0	0	0	0.013198	0	0	0	0	0.0122495	0	0	0	0	0	0	0.0197985	0	0	0.0202525	0	0.01943	0	0	0.02603	0	0.029625	0	0.010055	0.026818	0.029545	0	0	0.017593	0	0	0.012008	0.00965	0	0	0	517.898	0	0	0	0	Seg
ENSG00000189280.3	GJB5	0.242365	0.247438	0.215767	0.353943	0.401294	0.521164	3.62253	0.780844	0.862666	0.464878	0.575582	1.26096	1.42016	1.51919	0.977028	0.245719	0.366449	0.755138	0.238954	0.471794	0.554973	0.228332	0.053245	41.2047	0.367961	0.180071	0.164361	0.102854	0.17309	0.054958	0.183794	140.519	0.188527	0.322686	0.084452	0.070183	0.0998275	0.36847	0.220537	0.122953	0.171328	0.256689	0.389104	5.27339	0.10104	0.498559	0.198161	0.131457	0.072558	0	0.0832095	1.27032	7.00474	144.897	140.032	0.343505	0.206389	0.583589	0.170279	0.113844	0.022996	0	0.109351	5.78157	0.570338	0.235716	66.5271	0.109742	Seg
ENSG00000189433.7	GJB4	0.040552	0.039778	0.03141	0.057438	0.050706	0.060989	0.930736	0.033003	0.029877	0.0250625	0	0.0628165	0.081174	0.035267	0.032335	0	0.029152	0.0277575	0	0	0.062041	0.0449135	0	1.85147	0.036671	0	0.054463	0.0816475	0.031132	0	0	4.22719	0	0.041269	0	0	0.0270465	0.077086	0.031548	0	0	0.660563	0.089852	0.523469	0.0223615	0.050579	0	0.0446105	0	0	0	0	1.26863	73.7451	74.0876	0.119709	0.055848	0.740562	0	0	0	0	0	0.473386	0.0837945	0	3.42795	0	Seg
ENSG00000188910.8	GJB3	0.180582	0.128195	0.234366	0.479142	0.273392	0.284557	4.00566	0.407461	0.337114	0.133338	1.7248	2.85427	0.579731	0.458536	0.098535	0.064159	0.279429	0.0899215	0.0874145	0.043791	0.394582	0.133189	0.038295	21.9726	0.358919	0.150874	2.28699	4.22557	3.61012	0.24507	0.154163	90.0248	0.142237	0.349259	0.076352	0.0537675	0.217384	0.454785	0.359721	0.129584	0.366777	13.6995	0.742083	3.11286	0.100323	0.978485	0.144335	0.146499	0.091785	0.050478	0.163532	0.134936	4.66195	188.858	191.008	1.35602	0.611062	3.88531	0.120317	0.942039	1.79693	1.83549	0.068326	1.62241	0.434802	0.185965	42.7877	0.047724	Seg
ENSG00000187513.9	GJA4	116.505	112.528	24.0035	66.3877	87.8729	184.727	38.2527	4.5471	4.29376	6.36678	2.98808	4.01938	6.31162	4.57341	4.85927	5.21193	5.58524	6.24135	5.51525	8.35598	91.0845	0.100753	0.105438	26.6382	48.2924	20.1992	13.5178	7.6776	2.6384	12.4061	32.8922	8.52818	33.7087	76.6225	32.8683	39.5182	17.6172	63.9587	8.33415	2.06285	6.35348	94.4184	66.6642	13.1393	23.1329	87.5881	23.0525	4.10863	2.42707	6.38546	4.47788	6.61674	27.9516	11.44	19.5053	17.068	9.36857	14.2205	16.552	13.202	9.55845	4.48348	17.5443	10.5552	79.0243	59.2653	31.5271	0.410474	Seg
ENSG00000142686.8	C1orf216	19.159	17.1427	17.3965	42.2859	31.6887	33.2565	22.7619	38.6499	61.2232	26.7524	42.7889	39.7144	85.3578	105.64	37.9387	41.784	46.4654	24.0293	31.377	23.9768	15.755	33.8557	20.6005	17.6991	32.772	36.4712	17.4931	10.6029	2.87342	32.8204	30.5821	5.75352	31.4103	26.3243	12.0149	7.46761	4.3017	7.70998	4.02879	5.33091	5.95814	18.8969	23.7465	9.70561	13.3357	37.1421	19.8217	3.21192	3.56351	8.19448	4.14102	19.0383	19.5649	10.9179	12.3977	14.3027	18.1214	13.9175	18.2913	7.51796	8.54296	4.03649	29.3974	26.208	15.5318	34.2725	16.4537	3.25929	Seg
ENSG00000181817.6	LSM10	30.5973	33.0359	21.78	39.5413	38.7833	35.3949	39.2507	23.4881	28.8698	26.2036	28.3142	25.2992	28.5467	32.9379	22.5171	29.8894	29.3519	23.1533	21.3985	24.1679	30.4529	37.7186	51.9193	32.3146	40.5557	57.4833	30.8816	29.2159	15.4541	59.1462	46.2388	19.2397	49.0914	45.7113	31.7365	24.4171	20.3993	28.2117	17.9963	31.2435	31.7034	41.9458	33.438	23.1066	62.0063	35.1556	34.3179	10.1111	12.6199	27.7552	14.2814	40.4259	41.2765	24.9747	24.0896	32.648	65.5636	47.2964	51.8627	22.4166	30.9682	22.2604	66.1858	35.2651	36.3449	41.7991	29.187	52.1104	Seg
ENSG00000185668.8	POU3F1	0.239972	0.1449	2.08812	0.180036	0.395544	0.171265	1.9645	1.38861	4.84427	8.80989	0.765029	1.36911	4.11091	5.32121	3.88559	1.02082	9.65392	6.59536	0.367692	0.893894	0.285026	0.031326	1.77003	0.409546	0.305959	0.142648	0.076037	0.0427875	0.0158425	0.107566	0.26911	5.47204	0.25074	0.270148	0.112647	0.0444655	0.0486575	0.154	0.034365	0	0	0.854072	0.122682	0.267035	0.264452	55.3694	0.298004	0.07935	0.16978	0.201061	0.0913175	0.062601	0.375567	44.7543	45.8891	0.11657	0.660237	0.305624	0.325965	0.097302	0.066144	0.031886	0.231828	2.27708	0.156752	0.164871	0.726691	0.037639	Seg
ENSG00000131233.10	GJA9	0.174209	0.213454	0.180445	0.150589	0.190893	0.111793	0.43378	0.26766	0.155167	0.254444	0.460907	0.600973	0.192924	0.207367	0.40076	0.305622	0.210623	0.269046	1.14554	0.535476	0.177494	0.218762	0.250424	0.545166	0.357964	0.216571	0.372188	0.619941	0.867337	0.207527	0.170813	0.62193	0.156058	0.303412	0.176624	0.097466	0.128792	0.306607	0.0794845	0.078856	0.032679	0.313295	0.24196	0.447004	0.0854595	0.306403	0.453973	0.0808485	0.098271	0.103746	0.107159	0.784729	0.480897	0.787576	0.767852	0.185334	0.438325	0.190259	0.184513	0.275371	0.361818	0.346916	0.14263	7.70536	0.448467	0.361718	0.678033	0.018885	Seg
ENSG00000198754.5	OXCT2	0.156686	0.166252	0.130297	0.219658	0.290516	0.202466	0.245084	0.320686	0.432871	0.220262	1.54311	1.40809	0.735337	0.825711	0.351763	0.279622	0.334152	0.22366	0.452649	0.307779	0.201495	0.332205	1.8872	0.21136	0.40324	0.356382	0.568285	0.663322	0.690322	0.234056	0.308506	0.208616	0.286988	0.425204	1.29409	0.272964	0.128936	0.188153	0.122975	0.083811	0.084757	0.37657	0.387407	0.260707	0.0670405	4.19133	0.85803	0.378169	0.434449	3.68918	0.348972	0.7718	0.777231	0.463254	0.547634	0.663674	0.765766	0.794945	0.663395	0.298906	0.347028	0.17348	0.380314	78.2989	1.03441	0.398231	0.327764	0.096361	Seg
