ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GI	Gene.Symbol	SPOT_ID
11742683_x_at	6.54e-07	1.3e-08	-7.85	9.787384	-1.85	NM_005319.3		HIST1H1C	
11729711_at	7.33e-07	1.52e-08	7.79	9.63592	1.11	NM_138395.2		MARS2	
11726787_s_at	8.16e-07	1.77e-08	-7.73	9.487496	-1.98	BC010128.2		TMEM100	
11725291_at	8.17e-07	1.77e-08	7.73	9.485619	0.945	NM_000148.3		FUT1	
11721672_at	8.67e-07	1.93e-08	7.7	9.403196	1.14	AF156957.1		NXT1	
11726055_at	9.91e-07	2.3e-08	-7.63	9.228608	-0.892	NM_003782.3		B3GALT4	
11735157_at	1.02e-06	2.4e-08	-7.61	9.186465	-1.09	NM_006639.2		CYSLTR1	
11724248_s_at	1.04e-06	2.47e-08	-7.6	9.159035	-0.704	NM_017849.1		TMEM127	
11737644_a_at	1.14e-06	2.8e-08	7.55	9.034067	2.17	NM_145051.3		RNF183	
11744005_at	1.29e-06	3.28e-08	7.49	8.875525	1.49	CB991991		PHLDA2	
11755726_a_at	1.43e-06	3.71e-08	-7.44	8.75409	-1.01	BC033845.1		TMEM30B	
11725323_at	1.58e-06	4.26e-08	7.39	8.618289	0.991	NM_014205.2		ZNHIT2	
11758210_s_at	1.63e-06	4.44e-08	7.37	8.577607	0.682	BF793723		TRMT10C	
11740080_at	1.99e-06	5.72e-08	-7.27	8.327593	-0.814	BC020611.1		CXorf21	
11718480_s_at	2.48e-06	7.55e-08	7.16	8.053099	1.08	BC008908.2		MID1IP1	
11746192_s_at	2.84e-06	8.97e-08	-7.1	7.883004	-0.935	AK303676.1		NAP1L2	
11719562_at	3.11e-06	1.01e-07	7.05	7.769697	1.45	NM_003107.2		SOX4	
11731916_at	3.39e-06	1.13e-07	-7.01	7.651746	-0.681	BC035059.1		KCNA3	
11744445_a_at	3.44e-06	1.15e-07	7.0	7.635801	0.345	BC001894.1		DUSP14	
11757488_a_at	3.9e-06	1.35e-07	6.94	7.482113	0.688	AW615770		POP7	
11719475_a_at	4.04e-06	1.4e-07	-6.93	7.441404	-1.72	NM_018476.3		BEX1	
11719560_at	4.11e-06	1.44e-07	6.92	7.416999	1.46	BF678927		SOX4	
11719563_a_at	4.36e-06	1.55e-07	6.89	7.341698	1.3	BM674255		SOX4	
11734367_at	4.94e-06	1.82e-07	-6.83	7.184143	-0.544	NM_012183.2		FOXD3	
11745198_s_at	4.95e-06	1.83e-07	6.83	7.179915	0.701	BC025263.1		CDCA4	
11721305_a_at	5.18e-06	1.93e-07	6.81	7.123902	2.07	BC126425.1		PHLDA1	
11733632_s_at	5.38e-06	2.02e-07	-6.79	7.078836	-1.96	NM_014879.3		P2RY14	
11731716_at	5.59e-06	2.13e-07	-6.77	7.028283	-0.749	NM_001296.4		ACKR2	
11719706_at	6.11e-06	2.39e-07	6.73	6.913315	0.641	NM_006978.2		RNF113A	
11721483_at	6.46e-06	2.57e-07	6.7	6.843705	1.18	NM_006848.2		CCDC85B	
11718300_at	8.02e-06	3.39e-07	6.6	6.56902	0.982	BC002497.2		RPP25	
11743452_s_at	8.37e-06	3.59e-07	6.57	6.513591	0.81	CR620051.1		CDCA4	
11740266_at	8.61e-06	3.73e-07	6.56	6.475857	0.549	AI733607		JRKL	
11739813_a_at	8.7e-06	3.78e-07	-6.55	6.461498	-1.16	BF675672		FZD1	
11722782_at	8.85e-06	3.86e-07	-6.55	6.440748	-0.958	NM_031950.3		FGFBP2	
11743771_at	9.37e-06	4.18e-07	-6.52	6.362608	-1.55	AI984778		GIMAP7	
11758525_s_at	9.48e-06	4.25e-07	6.51	6.344941	1.12	AI274876		SOX4	
11732255_at	9.6e-06	4.32e-07	6.5	6.329259	0.913	BX538016.1		ZBTB33	
11728555_s_at	1.05e-05	4.85e-07	6.46	6.214543	0.604	NM_080653.3		ATP6V1E2	
11719561_s_at	1.08e-05	5.03e-07	6.45	6.180083	1.32	BF678927		SOX4	
11741070_a_at	1.11e-05	5.2e-07	6.44	6.147043	0.611	NM_001099638.1		ZNF146	
11758500_s_at	1.32e-05	6.42e-07	-6.36	5.937995	-1.39	AI823982		TMEM140	
200050_PM_at	1.42e-05	7.03e-07	6.32	5.848534	0.598	NM_007145.1		ZNF146	
11756388_s_at	1.43e-05	7.12e-07	6.32	5.835737	0.727	BF971138		TRMT10C	
11758088_s_at	1.5e-05	7.59e-07	-6.3	5.772568	-1.13	AI308138		SOCS6	
11724220_s_at	1.9e-05	1.01e-06	-6.19	5.490315	-0.595	AK291297.1		NAP1L2	
11720153_s_at	2.12e-05	1.17e-06	-6.14	5.348297	-0.764	NM_003489.3		NRIP1	
11733070_at	2.14e-05	1.19e-06	6.13	5.331432	0.632	BC043494.1		WDR5B	
11731068_s_at	2.15e-05	1.19e-06	6.13	5.326865	1.27	NM_022116.3		FIGNL1	
11723209_s_at	2.37e-05	1.36e-06	6.08	5.19492	0.917	NM_152903.4		KBTBD6	
11731478_x_at	2.65e-05	1.57e-06	-6.03	5.057342	-1.03	NM_020412.4		CHMP1B	
11731717_at	2.67e-05	1.59e-06	-6.02	5.045008	-0.469	NM_018938.2		PCDHB4	
11724528_a_at	2.69e-05	1.6e-06	-6.02	5.037765	-1.4	NM_004751.2		GCNT3	
11725367_at	2.87e-05	1.73e-06	5.99	4.959455	1.06	NM_203434.2		IER5L	
11726934_x_at	2.95e-05	1.79e-06	5.98	4.928004	0.919	CA411609		SOX12	
11728155_s_at	2.98e-05	1.81e-06	5.97	4.912969	0.765	M58596.1		FUT4	
11728728_s_at	3.34e-05	2.09e-06	-5.92	4.775049	-0.985	NM_000024.4		ADRB2	
11763131_x_at	3.58e-05	2.27e-06	-5.89	4.691638	-0.826	AY942097.1		IGKC	
11721307_at	3.8e-05	2.45e-06	5.86	4.615069	1.93	BC110820.1		PHLDA1	
11750890_a_at	4.25e-05	2.83e-06	5.81	4.474996	0.728	AK301252.1		MARS2	
11739742_x_at	4.39e-05	2.95e-06	-5.8	4.434462	-1.3	NM_138706.3		B3GNT6	
11732173_a_at	4.43e-05	2.98e-06	5.79	4.422932	0.523	AF181995.1		FANCF	
11719611_at	4.58e-05	3.11e-06	5.78	4.382594	0.547	NM_032804.5		ADO	
11724862_at	4.72e-05	3.23e-06	5.76	4.344795	1.04	BC035132.2		THNSL1	
11725825_a_at	5.54e-05	3.94e-06	5.69	4.148233	1.04	NM_024009.2		GJB3	
11724556_at	5.65e-05	4.04e-06	-5.68	4.123458	-1.82	BC009046.1		NEUROD1	
11745199_x_at	5.65e-05	4.04e-06	-5.68	4.122713	-0.581	BC015422.1		ANKRD9	
11732174_a_at	6.42e-05	4.76e-06	5.62	3.961324	0.691	CA413308		FANCF	
11719609_at	6.49e-05	4.84e-06	5.61	3.945884	0.548	BC018660.1		ADO	
11737766_at	6.65e-05	5e-06	5.6	3.914252	1.05	NM_145702.1		TIGD1	
11734296_a_at	6.77e-05	5.11e-06	-5.59	3.891175	-0.793	AK289617.1		P2RY14	
11727677_at	6.81e-05	5.15e-06	5.59	3.883976	0.601	NM_212550.3		BLOC1S3	
11723362_s_at	6.87e-05	5.2e-06	-5.59	3.87413	-1.14	BC020082.1		SOCS6	
11746407_x_at	6.97e-05	5.3e-06	-5.58	3.855273	-0.93	BC089406.1		TLR10	
11737302_at	6.99e-05	5.32e-06	-5.58	3.852339	-1.38	BC147007.1		CHST5	
11753609_x_at	7.09e-05	5.41e-06	-5.57	3.835485	-0.658	AY265809.1		GPER1	
11724557_at	7.27e-05	5.59e-06	-5.56	3.803898	-1.52	NM_002500.2		NEUROD1	
11724000_a_at	7.58e-05	5.88e-06	5.54	3.753254	0.441	NM_016535.3		ZNF581	
11729077_at	7.99e-05	6.27e-06	-5.52	3.690055	-1.84	NM_004857.3		AKAP5	
11721872_at	8.16e-05	6.44e-06	5.51	3.664566	0.845	NM_001042353.1		FAM110A	
11733069_at	8.52e-05	6.8e-06	5.49	3.610451	0.775	CR457279.1		WDR5B	
11730623_at	9.04e-05	7.31e-06	-5.46	3.539912	-0.91	NM_032160.2		DSEL	
11721002_s_at	9.08e-05	7.35e-06	-5.46	3.534054	-0.906	AI986313		HEXIM1	
11732476_at	9.18e-05	7.45e-06	-5.46	3.521311	-1.43	NM_000015.2		NAT2	
11721001_at	0.0001	8.3e-06	-5.42	3.415026	-0.874	AI986313		HEXIM1	
11746167_a_at	0.000101	8.41e-06	5.41	3.401806	0.288	AF323460.2		ZBTB26	
11720433_s_at	0.000102	8.47e-06	-5.41	3.394111	-1.66	NM_013231.4		FLRT2	
11725236_at	0.000102	8.53e-06	5.41	3.387384	0.394	NM_014830.1		ZBTB39	
11733265_a_at	0.000105	8.84e-06	-5.4	3.352701	-0.933	NM_001101387.1		PIRT	
11738219_s_at	0.000105	8.85e-06	5.4	3.351772	0.826	NM_153212.1		GJB4	
11725365_at	0.000108	9.08e-06	5.39	3.326476	0.75	CR620204.1		IER5L	
11743851_a_at	0.000117	1e-05	5.35	3.229912	0.687	AU156960		ZNF146	
11743531_at	0.000118	1.02e-05	5.34	3.214578	0.698	AA531017		USP27X	
11720166_at	0.000123	1.06e-05	-5.33	3.169434	-0.843	NM_145057.2		CDC42EP5	
11755138_s_at	0.000131	1.15e-05	5.3	3.09077	0.608	CF122575		ZXDB	
11717401_at	0.000142	1.28e-05	-5.26	2.991015	-0.507	BC008918.2		ARF6	
11727046_at	0.000142	1.28e-05	5.26	2.99065	1.49	BC007293.1		HPDL	
11732175_s_at	0.000145	1.31e-05	5.25	2.968382	0.662	CA413308		FANCF	
11758164_s_at	0.000149	1.35e-05	5.24	2.939806	1.03	AI832123		FEN1	
11756086_x_at	0.000154	1.41e-05	5.23	2.894005	0.338	AK126454.1		HNRNPA1L2	
11737854_at	0.000156	1.43e-05	-5.22	2.882558	-0.937	NM_002563.2		P2RY1	
11725443_at	0.000164	1.51e-05	-5.2	2.825513	-1.25	NM_152278.2		TCEAL7	
11717888_s_at	0.000166	1.54e-05	5.19	2.805668	0.585	NM_032436.1		CHAMP1	
11729034_s_at	0.000168	1.56e-05	5.19	2.795325	0.333	BC101751.1		ITPRIPL2	
11719559_at	0.000169	1.58e-05	5.19	2.784425	0.703	X70683.1		SOX4	
11721984_at	0.000172	1.6e-05	5.18	2.768671	0.635	NM_138434.2		ZBED6CL	
11759696_a_at	0.000177	1.66e-05	-5.17	2.731432	-1.31	AL119949		SLITRK3	
11751388_a_at	0.000185	1.76e-05	5.15	2.677545	1.07	AK301743.1		FEN1	
11726158_at	0.00019	1.81e-05	5.14	2.647052	0.907	NM_001012968.2		SPIN4	
11758273_s_at	0.00019	1.81e-05	-5.14	2.646972	-0.507	AI491714		ARF6	
11718588_a_at	0.000191	1.83e-05	-5.13	2.636058	-1.59	NM_001080425.2		BEX4	
11735743_at	0.000193	1.85e-05	-5.13	2.625591	-1.36	NM_025047.2		ARL14	
11733299_a_at	0.000198	1.91e-05	-5.12	2.594385	-1.01	NM_001130861.1		CLDN5	
11729003_at	0.0002	1.94e-05	-5.11	2.582107	-1.11	NM_000684.2		ADRB1	
11753608_a_at	0.000212	2.07e-05	-5.09	2.515413	-0.547	AY265809.1		GPER1	
11725601_at	0.000222	2.2e-05	-5.07	2.456498	-1.31	NM_175873.4		SOWAHA	
11757741_s_at	0.00023	2.29e-05	5.05	2.416201	1.12	AW469192		SOX4	
11724021_at	0.000248	2.52e-05	-5.02	2.324021	-1.41	NM_138720.1		HIST1H2BD	
11725472_a_at	0.000253	2.59e-05	-5.01	2.297551	-0.939	BC030664.2		PAQR8	
11739792_at	0.000255	2.62e-05	5.0	2.286149	0.624	AF102544.1		MOCS3	
11744327_x_at	0.000261	2.7e-05	-4.99	2.256766	-0.271	BC000379.2		UBB	
11729827_at	0.000267	2.77e-05	-4.98	2.230728	-0.714	BC024294.1		FAM110B	
11755798_a_at	0.00027	2.81e-05	4.98	2.218014	0.663	AK097146.1		AMER1	
11721172_at	0.000278	2.9e-05	4.96	2.18476	0.549	BC003154.1		TRIM32	
11731898_at	0.000278	2.91e-05	4.96	2.181127	0.583	NM_001024675.1		ACTL10	
11754400_a_at	0.00028	2.93e-05	4.96	2.176671	0.728	BM669816		SOX12	
11721306_at	0.000289	3.05e-05	4.95	2.137992	1.28	NM_007350.3		PHLDA1	
11750984_a_at	0.000289	3.05e-05	-4.95	2.135107	-0.561	AK293231.1		MGAT2	
11731015_at	0.000293	3.11e-05	4.94	2.117768	1.99	NM_207322.2		C2CD4A	
11726002_s_at	0.000299	3.18e-05	-4.93	2.094001	-0.75	NM_016618.1		KRCC1	
11722419_s_at	0.000301	3.2e-05	4.93	2.088988	0.397	BC004546.1		UTP3	
11720180_at	0.000319	3.44e-05	4.9	2.017228	0.587	NM_018380.2		DDX28	
11758356_s_at	0.000338	3.69e-05	4.88	1.95096	0.602	BP351347		HIST3H2A	
11757864_s_at	0.000342	3.74e-05	-4.87	1.935982	-1.58	AW593089		INSM1	
11754243_a_at	0.000348	3.82e-05	4.86	1.914805	0.692	CR605072.1		H2AFX	
11758294_s_at	0.000358	3.96e-05	-4.85	1.881675	-1.45	BM148488		ARMCX1	
11752784_s_at	0.000358	3.96e-05	-4.85	1.879565	-0.291	AK297248.1		FLRT2	
11734273_s_at	0.000362	4.02e-05	-4.85	1.865644	-0.899	NM_005292.3		GPR18	
11757583_s_at	0.000364	4.04e-05	-4.84	1.860348	-0.683	BE048607		TRIL	
11756090_s_at	0.000368	4.09e-05	-4.84	1.84787	-0.463	AU118829		ZHX1	
11719424_at	0.000377	4.22e-05	4.83	1.81921	0.633	NM_001037163.1		FAM220A	
11739307_s_at	0.000391	4.41e-05	4.81	1.775621	0.47	BQ014749		ZNF770	
11724723_a_at	0.000426	4.89e-05	-4.78	1.674849	-1.28	NM_021979.3		HSPA2	
11717815_at	0.000436	5.02e-05	4.77	1.648229	0.417	NM_014872.2		ZBTB5	
11763126_x_at	0.000448	5.18e-05	-4.75	1.617892	-1.43	L14451.1		IGKC	
11715951_s_at	0.000461	5.37e-05	-4.74	1.583033	-1.43	AK057635.1		KCTD12	
11725155_at	0.000463	5.38e-05	4.74	1.580045	0.913	NM_014344.3		FJX1	
11720047_a_at	0.000471	5.5e-05	-4.73	1.558502	-1.14	NM_016608.1		ARMCX1	
11750246_a_at	0.000477	5.59e-05	-4.73	1.543866	-0.317	AY265808.1		GPER1	
11732656_at	0.000482	5.66e-05	-4.72	1.53075	-0.553	NM_152599.2		MFSD6L	
11722418_at	0.000485	5.7e-05	4.72	1.523864	0.418	BC004546.1		UTP3	
11723555_at	0.000487	5.74e-05	4.72	1.517673	0.544	NM_017741.3		DCAF16	
11742961_s_at	0.000489	5.77e-05	-4.72	1.512578	-1.15	BC064989.1		FAM43A	
11734041_x_at	0.000523	6.24e-05	-4.69	1.435902	-0.389	NM_152326.2		ANKRD9	
11759152_at	0.000527	6.3e-05	-4.68	1.425629	-0.434	CK903386		CYSLTR1	
11729671_s_at	0.000546	6.57e-05	-4.67	1.385677	-0.474	BU741060		FAM200B	
11751628_a_at	0.000548	6.59e-05	-4.67	1.382134	-0.625	AK301268.1		TMEM140	
11740031_a_at	0.000549	6.61e-05	4.67	1.380022	0.276	AF120032.1		DUSP14	
11741013_a_at	0.000563	6.82e-05	-4.65	1.348367	-0.559	BC035133.2		LRRN3	
11728501_a_at	0.000564	6.83e-05	-4.65	1.347184	-0.567	NM_201630.1		LRRN2	
11756109_s_at	0.000564	6.84e-05	-4.65	1.345971	-0.468	AK075051.1		MGAT2	
11719564_a_at	0.00058	7.08e-05	4.64	1.312469	0.439	BC106036.1		COA4	
11721347_a_at	0.000585	7.15e-05	-4.64	1.3021	-1.57	NM_001039396.1		MPEG1	
11717402_s_at	0.0006	7.37e-05	-4.63	1.273396	-0.49	BC008918.2		ARF6	
11738156_a_at	0.000629	7.83e-05	4.6	1.213703	0.379	NM_020924.2		ZBTB26	
11732126_x_at	0.000633	7.89e-05	-4.6	1.206885	-0.253	NM_018955.2		UBB	
11724886_a_at	0.000678	8.56e-05	-4.57	1.126777	-0.776	AB060967.1		LRRN3	
11740128_a_at	0.000689	8.73e-05	4.57	1.107782	0.844	CA425351		ZNF623	
11729509_at	0.000695	8.82e-05	-4.56	1.097464	-0.568	BC018370.1		FLRT1	
11733167_at	0.000704	8.97e-05	-4.56	1.081344	-0.378	BC053902.1		LRRN4CL	
11732560_s_at	0.000704	8.97e-05	4.56	1.081143	0.724	CD678930		RBM12B	
11715949_s_at	0.000722	9.25e-05	-4.54	1.051278	-1.4	NM_138444.3		KCTD12	
11739791_at	0.000726	9.3e-05	4.54	1.045695	0.638	BC015939.2		MOCS3	
11720154_at	0.000733	9.42e-05	-4.54	1.033147	-0.702	BC040361.1		NRIP1	
11730456_at	0.000758	9.81e-05	-4.52	0.993954	-0.331	NM_153376.2		CCDC96	
11757622_s_at	0.00076	9.83e-05	-4.52	0.991566	-1.05	BQ771895		TSPYL5	
11725713_a_at	0.000769	9.98e-05	-4.52	0.976949	-0.527	NM_004675.2		DIRAS3	
11743416_s_at	0.000781	0.000102	-4.51	0.956805	-0.81	BM999381		C5orf30	
11730048_at	0.000803	0.000105	-4.5	0.923303	-0.384	NM_015567.1		SLITRK5	
11730521_a_at	0.000803	0.000106	-4.5	0.922768	-0.212	NM_032539.3		SLITRK2	
11732726_x_at	0.000809	0.000106	4.49	0.914578	0.876	NM_178517.3		PIGW	
11729672_x_at	0.00083	0.00011	-4.48	0.881602	-0.473	BU741060		FAM200B	
11728041_at	0.000842	0.000112	-4.47	0.863757	-1.38	NM_001049.2		SSTR1	
11721308_at	0.000869	0.000116	4.46	0.82707	1.18	BU620908		PHLDA1	
11735443_at	0.000871	0.000117	-4.46	0.824411	-0.246	NM_152605.3		ZNF781	
11758052_s_at	0.000894	0.000121	4.45	0.790781	0.572	BM680436		COMMD5	
11730704_s_at	0.000897	0.000121	-4.45	0.78732	-1.51	NM_030774.3		OR51E2	
11725880_at	0.000898	0.000122	4.44	0.785301	0.59	NM_173832.3		ZFP41	
11732412_a_at	0.000903	0.000122	-4.44	0.778206	-0.355	NM_001098201.1		GPER1	
11734878_at	0.000912	0.000124	-4.44	0.766632	-0.3	NM_001017970.2		TMEM30B	
11734982_a_at	0.000912	0.000124	-4.44	0.766147	-1.05	BC114552.1		GPRASP1	
11720048_x_at	0.00092	0.000125	-4.43	0.756239	-1.26	NM_016608.1		ARMCX1	
11729033_at	0.000923	0.000126	4.43	0.753143	0.491	NM_001034841.2		ITPRIPL2	
11724246_a_at	0.000926	0.000126	-4.43	0.749385	-0.437	BC039892.1		TMEM127	
11724120_a_at	0.000939	0.000128	4.42	0.73179	0.785	NM_173084.2		TRIM59	
11736939_a_at	0.000965	0.000133	-4.41	0.700311	-0.471	NM_173627.2		ENDOV	
11739142_x_at	0.000968	0.000133	4.41	0.695892	0.328	BC016736.1		HNRNPF	
11721000_at	0.000973	0.000134	-4.41	0.690831	-0.63	NM_006460.2		HEXIM1	
11724245_a_at	0.00106	0.000148	-4.37	0.592929	-0.371	BM680444		TMEM127	
11732544_a_at	0.00108	0.000152	-4.36	0.57007	-1.08	BC066927.1		GPR18	
11725544_a_at	0.00108	0.000152	4.36	0.569485	1.13	NM_199262.2		SP6	
11736411_s_at	0.00109	0.000153	4.36	0.560035	0.401	BC003663.2		NUP62	
11758704_s_at	0.00109	0.000154	4.36	0.55657	0.536	AI376292		COMMD5	
11757671_a_at	0.0011	0.000155	-4.36	0.547343	-0.5	BE677948		FAM200B	
11729710_a_at	0.00115	0.000164	4.34	0.496053	0.479	BC126294.1		MARS2	
11749734_s_at	0.00116	0.000166	4.33	0.483644	0.415	AK290579.1		JRKL	
11726003_a_at	0.00117	0.000168	-4.33	0.470463	-0.766	EF413023.1		KRCC1	
11740068_at	0.00118	0.000169	-4.32	0.461883	-0.507	BC025243.1		CCDC8	
11729319_a_at	0.00119	0.000172	4.32	0.448263	0.374	BC032862.1		SOCS5	
11755226_s_at	0.00122	0.000178	-4.31	0.414353	-0.588	BC151205.1		KLHDC7A	
11723558_s_at	0.00125	0.000183	4.3	0.387932	0.523	NM_001142418.1		MORF4L2	
11744599_x_at	0.00128	0.000187	4.29	0.364543	0.325	BC014842.1		NUP62	
11740632_at	0.00132	0.000195	-4.27	0.326028	-2.02	BC140921.1		REP15	
11743843_a_at	0.00133	0.000196	-4.27	0.320121	-0.26	AK225514.1		DNAJC28	
11724825_a_at	0.00136	0.000202	4.26	0.291329	0.393	NM_014908.3		DOLK	
11725972_s_at	0.00137	0.000203	4.26	0.285144	0.396	BX433407		HNRNPF	
11721109_a_at	0.00137	0.000205	-4.25	0.278645	-0.563	NM_004538.4		NAP1L3	
11751389_s_at	0.00138	0.000206	4.25	0.271002	1.02	AK301743.1		FEN1	
11733160_a_at	0.00142	0.000214	4.24	0.235465	0.723	BC052284.1		FAM84A	
11764236_s_at	0.00143	0.000215	4.24	0.22905	0.327	DB314435		ZFP41	
11723556_x_at	0.00144	0.000217	4.23	0.222525	0.556	NM_017741.3		DCAF16	
11732807_at	0.00145	0.000218	4.23	0.216643	0.247	NM_002365.3		MAGEB3	
11715948_at	0.00145	0.000219	-4.23	0.210717	-1.57	NM_138444.3		KCTD12	
11733380_a_at	0.00148	0.000224	4.22	0.192025	0.187	NM_032567.3		SPZ1	
11724719_s_at	0.00149	0.000226	4.22	0.180036	0.433	NM_014015.3		DEXI	
11755289_x_at	0.0015	0.000228	4.22	0.175024	0.609	AK223504.1		MORF4L2	
11724275_s_at	0.00158	0.000243	4.19	0.112593	1.21	NM_015444.2		TMEM158	
11716344_a_at	0.00159	0.000244	4.19	0.105616	0.478	NM_033089.6		ZCCHC3	
11759263_at	0.00161	0.000248	-4.18	0.091017	-0.245	BC093847.1		KRTAP3-3	
11743947_a_at	0.00168	0.000262	4.16	0.040212	0.568	BM976508		GGACT	
11725131_x_at	0.00171	0.000267	-4.16	0.020683	-1.11	NM_001006933.1		TCEAL3	
11717636_s_at	0.00175	0.000275	-4.15	-0.00784	-0.348	NM_001665.3		RHOG	
11743077_s_at	0.00177	0.000278	4.14	-0.019647	0.672	AK291536.1		CEBPB	
11738315_x_at	0.00185	0.000294	-4.12	-0.074572	-0.264	BC140700.1		SLC35G3	
11737830_at	0.00186	0.000295	4.12	-0.077016	0.296	NM_000448.2		RAG1	
11744604_at	0.00188	0.000299	4.11	-0.090963	0.727	AY189288.1		ERVMER34-1	
11726483_at	0.00192	0.000307	4.1	-0.116348	0.397	NM_001012756.1		ZNF260	
11725970_x_at	0.00192	0.000308	4.1	-0.118318	0.304	BC001432.2		HNRNPF	
11737914_at	0.00197	0.000317	-4.09	-0.145137	-0.246	BC101779.1		GPR15	
11739332_at	0.00206	0.000334	-4.07	-0.196292	-0.284	AK290745.1		SSTR2	
11731477_at	0.00207	0.000337	-4.07	-0.205657	-0.545	BC012733.2		CHMP1B	
11724520_a_at	0.00209	0.000341	4.07	-0.21676	0.41	BC013013.2		ZNF526	
11720027_x_at	0.00212	0.000346	4.06	-0.230367	0.442	NM_003378.3		VGF	
11728154_s_at	0.00213	0.000348	4.06	-0.236556	0.553	NM_002033.3		FUT4	
11723626_a_at	0.00214	0.00035	-4.06	-0.242375	-0.285	NM_198573.2		ENHO	
11736410_a_at	0.00223	0.000368	4.04	-0.290362	0.491	BC003663.2		NUP62	
11716237_s_at	0.00232	0.000385	-4.02	-0.334312	-0.22	NM_001114617.1		MGAT1	
11715234_s_at	0.00238	0.000396	4.01	-0.360671	0.335		12056477.0	UCN	
11743803_s_at	0.00241	0.000404	-4.0	-0.380349	-0.474	AI688155		SEPHS2	
11745840_a_at	0.00247	0.000415	-3.99	-0.406906	-0.774	AF313619.1		PAQR8	
11728554_at	0.00267	0.000454	3.96	-0.492956	0.536	NM_080653.3		ATP6V1E2	
11721110_s_at	0.00274	0.000468	-3.95	-0.523057	-0.904	NM_004538.4		NAP1L3	
11728918_at	0.00278	0.000476	3.94	-0.539185	0.626	NM_145715.2		TIGD2	
11756273_a_at	0.00278	0.000476	3.94	-0.539957	0.461	BC039260.1		RBM12B	
