ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GENE_SYMBOL
A_33_P3256858	1.49e-02	1.30e-05	-5.5139064	3.225736	-1.39024388	NM_001134875	C14orf80
A_23_P142750	1.49e-02	1.37e-05	-5.4922925	3.178548	-1.43803941	NM_002759	EIF2AK2
A_23_P47691	1.49e-02	1.41e-05	-5.4800265	3.151747	-1.23581981	NM_003141	TRIM21
A_23_P26557	1.49e-02	1.44e-05	-5.4721796	3.134593	-1.26983761	NM_025108	C16orf59
A_23_P63789	1.49e-02	1.45e-05	-5.4680537	3.12557	-1.79265455	NM_032997	ZWINT
A_33_P3404829	1.49e-02	1.45e-05	-5.4672354	3.123781	-1.63839448	BC044661	
A_23_P110196	1.50e-02	1.50e-05	-5.4531618	3.092991	-2.55393112	NM_016323	HERC5
A_23_P155989	1.66e-02	1.70e-05	-5.4026396	2.98229	-1.96173689	NM_022145	CENPK
A_23_P819	1.71e-02	1.79e-05	-5.3814042	2.935683	-2.65869176	NM_005101	ISG15
A_33_P3380612	1.71e-02	1.83e-05	5.3734504	2.918215	1.07435518	NM_005529	HSPG2
A_24_P177585	1.79e-02	1.97e-05	-5.3442366	2.854	-1.70118024	NM_182625	GEN1
A_33_P3355708	1.79e-02	2.00e-05	5.3371958	2.838511	1.72331105	NM_001008404	C14orf180
A_33_P3287631	1.81e-02	2.07e-05	5.3243438	2.810227	1.51412984	NM_147780	CTSB
A_23_P91590	1.84e-02	2.14e-05	-5.309042	2.77653	-0.75474972	NM_002882	RANBP1
A_23_P320829	1.89e-02	2.25e-05	-5.2902552	2.735128	-1.64687555	NM_152446	CEP128
A_19_P00316846	1.95e-02	2.35e-05	-5.2715599	2.693895	-1.98220589	CR749391	Q6F132
A_23_P97860	1.99e-02	2.55e-05	-5.2390499	2.622118	-0.66865467	NM_000235	LIPA
A_33_P3225512	1.99e-02	2.63e-05	-5.2259512	2.593171	-2.4164255	NM_002535	OAS2
A_32_P97169	1.99e-02	2.66e-05	5.2223255	2.585157	1.6905943	NM_005708	GPC6
A_23_P90933	1.99e-02	2.67e-05	-5.2199608	2.579928	-1.82371417	NM_080876	DUSP19
A_33_P3270657	1.99e-02	2.68e-05	-5.2184181	2.576517	-1.8846827	NM_198947	FAM111B
A_23_P6413	1.99e-02	2.69e-05	5.2171819	2.573784	1.98003473	NM_080430	SELM
A_21_P0014233	1.99e-02	2.73e-05	-5.211871	2.562039	-1.44694717	XR_108966	LOC100506605
A_24_P418044	1.99e-02	2.81e-05	-5.2002089	2.53624	-1.73738271	NR_024240	HLA-J
A_23_P259586	1.99e-02	2.85e-05	-5.1938043	2.522067	-2.95070863	NM_003318	TTK
A_23_P393749	1.99e-02	2.94e-05	-5.1815323	2.494899	-1.99615774	NM_178019	CATSPER3
A_21_P0013078	1.99e-02	2.98e-05	-5.1760332	2.482721	-1.65934738		XLOC_l2_012953
A_23_P100632	1.99e-02	3.00e-05	-5.1729984	2.475999	-0.88952861	NM_001002033	HN1
A_23_P94412	1.99e-02	3.01e-05	-5.17176	2.473256	-1.71710799	NM_025239	PDCD1LG2
A_23_P88630	1.99e-02	3.06e-05	-5.1646607	2.457528	-1.81387083	NM_000057	BLM
A_33_P3350643	1.99e-02	3.09e-05	5.160743	2.448847	0.81352043	NM_001174146	LMX1B
A_23_P170491	2.18e-02	3.44e-05	-5.1176584	2.353293	-1.24422256	NM_005879	TRAIP
A_23_P18604	2.20e-02	3.53e-05	-5.1073256	2.330355	-1.08220662	NM_015907	LAP3
A_33_P3300395	2.29e-02	3.72e-05	-5.0862172	2.28347	-1.05216572	NM_199294	APITD1
A_23_P202004	2.34e-02	3.86e-05	-5.0713626	2.250454	-1.57883025	NM_020200	PRTFDC1
A_33_P3240578	2.40e-02	4.02e-05	-5.0554182	2.214999	-1.91180371	NR_027906	C6orf124
A_23_P206441	2.41e-02	4.10e-05	-5.0475715	2.197543	-2.20458306	NM_000135	FANCA
A_23_P138680	2.41e-02	4.15e-05	-5.0425031	2.186265	-1.41415991	NM_172200	IL15RA
A_23_P18493	2.52e-02	4.44e-05	-5.0149765	2.124985	-1.04771618	NM_080685	PTPN13
A_23_P41789	2.52e-02	4.47e-05	-5.0121767	2.118748	-2.59141903	NM_001017372	SLC27A6
A_33_P3286349	2.52e-02	4.51e-05	-5.0087752	2.111171	-1.99532969	NM_178837	C19orf51
A_33_P3397127	2.56e-02	4.64e-05	4.9976705	2.08643	1.06249682	AB306238	
A_24_P157087	2.62e-02	4.88e-05	-4.9773617	2.041159	-1.35930814	NM_033355	CASP8
A_23_P416894	2.62e-02	4.89e-05	-4.9759997	2.038122	-1.20926156	NM_017439	PION
A_23_P132159	2.62e-02	5.00e-05	-4.9672004	2.018498	-2.78562244	NM_017414	USP18
A_33_P3227631	2.62e-02	5.12e-05	-4.9579442	1.99785	-1.11382734	NM_001031715	IQCH
A_23_P500892	2.62e-02	5.16e-05	-4.9548932	1.991042	-1.88871278	NM_003320	TUB
A_23_P29773	2.62e-02	5.18e-05	-4.953073	1.986981	-2.57927853	NM_014398	LAMP3
A_33_P3225522	2.62e-02	5.34e-05	-4.9406273	1.959205	-2.49270457	NM_001032731	OAS2
A_23_P216655	2.62e-02	5.39e-05	-4.9370355	1.951187	-1.14619986	NM_014788	TRIM14
A_23_P207400	2.62e-02	5.40e-05	-4.936402	1.949772	-1.67719356	NM_007300	BRCA1
A_23_P47616	2.62e-02	5.47e-05	-4.9312539	1.938279	-2.06162401	NM_004476	FOLH1
A_24_P320103	2.62e-02	5.48e-05	4.9304372	1.936455	1.59169002	NM_004991	MECOM
A_23_P345707	2.62e-02	5.49e-05	-4.929858	1.935162	-2.67234425	NM_152259	C15orf42
A_23_P59005	2.65e-02	5.63e-05	-4.9198524	1.912818	-0.8581265	NM_000593	TAP1
A_33_P3267263	2.65e-02	5.67e-05	4.9166399	1.905642	1.58321839	NR_004400	RNU1-5
A_23_P99452	2.65e-02	5.72e-05	-4.913053	1.89763	-2.1752698	NM_000059	BRCA2
A_23_P250358	2.66e-02	5.94e-05	-4.8981502	1.864332	-2.25280863	NM_017912	HERC6
A_32_P96719	2.66e-02	5.99e-05	-4.8947081	1.856639	-2.70200452	NM_024745	SHCBP1
A_23_P44684	2.66e-02	6.02e-05	-4.8923519	1.851373	-1.07387743	NM_018098	ECT2
A_21_P0013451	2.66e-02	6.03e-05	-4.8921011	1.850813	-1.36914709		XLOC_l2_013972
A_23_P23303	2.66e-02	6.06e-05	-4.890194	1.84655	-2.41022933	NM_003686	EXO1
A_23_P204087	2.68e-02	6.17e-05	-4.8826754	1.829742	-2.9063994	NM_016817	OAS2
A_23_P254472	2.68e-02	6.25e-05	-4.8778894	1.819042	-0.99965287	NM_024573	C6orf211
A_23_P120002	2.68e-02	6.30e-05	-4.8740932	1.810553	-1.28577103	NM_004510	SP110
A_33_P3401826	2.68e-02	6.35e-05	-4.8709212	1.80346	-3.34972139	NM_207315	CMPK2
A_19_P00807411	2.69e-02	6.45e-05	-4.865245	1.790765	-1.21741129	NM_001113561	RNF180
A_24_P311926	2.80e-02	6.79e-05	-4.8444523	1.744247	-1.24650343	NM_002127	HLA-G
A_23_P253524	2.80e-02	6.84e-05	-4.8416189	1.737906	-2.12974147	NM_001813	CENPE
A_21_P0001111	2.85e-02	7.04e-05	-4.8300892	1.712099	-2.74473289		XLOC_000755
A_33_P3400763	2.85e-02	7.10e-05	-4.8263393	1.703705	-1.27913922	NM_001080400	PLIN4
A_23_P131866	2.89e-02	7.27e-05	-4.8167507	1.682236	-2.25389844	NM_198433	AURKA
A_33_P3379939	2.89e-02	7.33e-05	-4.8139037	1.67586	-1.29608485	NM_018950	HLA-F
A_23_P28886	2.94e-02	7.53e-05	-4.8027206	1.650814	-0.89889323	NM_002592	PCNA
A_32_P44394	3.02e-02	7.83e-05	-4.7873784	1.616442	-3.01959842	NM_004833	AIM2
A_23_P95302	3.02e-02	7.91e-05	-4.7830677	1.606783	-1.28560494	NM_181578	RFC5
A_23_P62731	3.02e-02	7.93e-05	-4.7821251	1.60467	-0.73440199	NM_022100	MRPS14
A_33_P3407299	3.07e-02	8.18e-05	-4.7694918	1.576356	-0.82699346	NM_030920	ANP32E
A_23_P157926	3.07e-02	8.21e-05	4.768372	1.573846	3.12354817	NM_152570	LINGO2
A_23_P45871	3.08e-02	8.34e-05	-4.761982	1.559521	-4.08062084	NM_006820	IFI44L
A_23_P211141	3.08e-02	8.42e-05	-4.7578054	1.550157	-1.35026348	NM_001389	DSCAM
A_23_P129014	3.08e-02	8.45e-05	-4.7565597	1.547364	-1.03034382	NM_145231	EFCAB11
A_23_P15844	3.09e-02	8.60e-05	-4.749515	1.531568	-2.25515183	NM_032043	BRIP1
A_23_P74349	3.09e-02	8.65e-05	-4.7473864	1.526795	-2.4486358	NM_145697	NUF2
A_32_P468743	3.09e-02	8.71e-05	-4.7443123	1.519901	-2.07677046	NM_175881	ODF3L1
A_32_P151800	3.09e-02	8.76e-05	-4.7419876	1.514687	-2.50921153	NM_207418	FAM72D
A_33_P3461416	3.12e-02	8.92e-05	-4.7349493	1.498901	-2.02490088	NM_001083899	GP6
A_23_P126212	3.24e-02	9.49e-05	-4.7101609	1.443287	-1.97094748	NM_022111	CLSPN
A_23_P201459	3.24e-02	9.58e-05	-4.7065189	1.435113	-2.77557902	NM_022873	IFI6
A_24_P274270	3.24e-02	9.60e-05	-4.7055766	1.432999	-1.48244534	NM_139266	STAT1
A_33_P3374678	3.24e-02	9.64e-05	-4.7039257	1.429294	-1.97772314	NM_004262	TMPRSS11D
A_33_P3231267	3.24e-02	9.65e-05	-4.7033465	1.427994	-1.7199183	BC041894	LOC257396
A_24_P242609	3.28e-02	9.83e-05	-4.6959537	1.411401	-0.74804436	NM_021633	KLHL12
A_24_P349151	3.28e-02	9.99e-05	-4.6896597	1.397273	-1.37321236	NM_194292	SASS6
A_32_P47107	3.28e-02	1.01e-04	4.6866333	1.390479	0.73657212	XR_108889	LOC100129104
A_23_P48166	3.28e-02	1.01e-04	-4.683937	1.384425	-0.83933447	NM_002822	TWF1
A_23_P54000	3.28e-02	1.02e-04	-4.6817829	1.379589	-0.6833364	NM_021249	SNX6
A_33_P3341601	3.28e-02	1.02e-04	4.6797455	1.375015	4.30206385	NM_198285	WDR86
A_23_P25626	3.28e-02	1.03e-04	-4.6761078	1.366847	-1.38106111	NM_024808	BORA
A_24_P557479	3.28e-02	1.04e-04	-4.6744084	1.363032	-3.00228841	NM_017523	XAF1
A_23_P8196	3.28e-02	1.05e-04	-4.6710465	1.355482	-1.57083598	NM_002395	ME1
A_32_P93036	3.28e-02	1.06e-04	4.6667821	1.345906	0.78279411	CU678501	
A_23_P69109	3.28e-02	1.06e-04	-4.6640493	1.339769	-1.19363556	NM_021105	PLSCR1
A_33_P3326588	3.28e-02	1.07e-04	4.6627602	1.336874	1.52918105	NM_003840	TNFRSF10D
A_21_P0010430	3.41e-02	1.12e-04	-4.6439033	1.29452	-1.95800867		XLOC_014288
A_33_P3697530	3.42e-02	1.13e-04	-4.6398319	1.285373	-1.6064907	NM_001142287	SEMA4D
A_21_P0014321	3.45e-02	1.15e-04	-4.6334871	1.271119	-0.85268912	XR_109278	LOC100289092
A_23_P136909	3.46e-02	1.16e-04	-4.6296555	1.26251	-1.16672144	NM_030763	HMGN5
A_24_P413884	3.46e-02	1.17e-04	-4.6271127	1.256797	-2.46636438	NM_001809	CENPA
A_24_P365506	3.48e-02	1.18e-04	-4.6218027	1.244865	-0.94821457	NM_017671	FERMT1
A_23_P23074	3.48e-02	1.19e-04	-4.6199214	1.240637	-3.27499622	NM_006417	IFI44
A_24_P99090	3.49e-02	1.20e-04	-4.6156528	1.231045	-1.12885903	NM_018204	CKAP2
A_23_P70249	3.64e-02	1.26e-04	-4.5965274	1.18806	-2.63212528	NM_001790	CDC25C
A_23_P70213	3.64e-02	1.27e-04	-4.5932403	1.180671	-1.08700306	NM_000038	APC
A_33_P3259902	3.64e-02	1.28e-04	-4.5906748	1.174904	-0.95501		
A_23_P111804	3.65e-02	1.29e-04	-4.586614	1.165776	-1.07359421	NM_022750	PARP12
A_33_P3230548	3.65e-02	1.30e-04	-4.5848997	1.161922	-2.59222334	NM_014875	KIF14
A_24_P289170	3.65e-02	1.31e-04	4.5801366	1.151214	1.01351914	NM_001080414	CCDC88C
A_23_P90612	3.65e-02	1.32e-04	-4.5787943	1.148196	-1.1899028	NM_005915	MCM6
A_32_P471485	3.71e-02	1.35e-04	-4.5704566	1.12945	-2.55767834	BC025765	RTKN2
A_23_P75741	3.71e-02	1.35e-04	-4.5680218	1.123975	-1.52689151	NM_198183	UBE2L6
A_33_P3401084	3.72e-02	1.37e-04	4.5642476	1.115489	0.76233618		
A_23_P102122	3.76e-02	1.39e-04	-4.5568744	1.098909	-0.50087484	NM_152862	ARPC2
A_21_P0011804	3.79e-02	1.41e-04	-4.5513459	1.086477	-1.47252141	XR_109941	LOC100507006
A_19_P00321259	3.82e-02	1.43e-04	-4.5453726	1.073044	-1.47500223	NR_038849	LOC100505633
A_21_P0001686	3.82e-02	1.45e-04	-4.5402302	1.061478	-1.56323441		XLOC_000236
A_33_P3883985	3.82e-02	1.46e-04	4.538344	1.057236	1.8231932	NR_036442	LMF1
A_33_P3326210	3.82e-02	1.46e-04	-4.5368126	1.053792	-2.36030826	NM_001017420	ESCO2
A_24_P113144	3.82e-02	1.47e-04	-4.5350025	1.049721	-2.32741205	NM_024857	ATAD5
A_23_P145134	3.82e-02	1.47e-04	-4.534065	1.047612	-0.78819207	NM_007045	FGFR1OP
A_23_P67453	3.84e-02	1.49e-04	-4.5289803	1.036175	-2.11082962	NM_000363	TNNI3
A_21_P0012600	3.84e-02	1.50e-04	-4.5262209	1.029969	-1.68908852		XLOC_l2_010751
A_33_P3229017	3.87e-02	1.52e-04	-4.5214458	1.019228	-1.77509374		FAM53C
A_23_P130182	3.92e-02	1.55e-04	-4.5139731	1.002418	-2.60712587	NM_004217	AURKB
A_33_P3878772	3.99e-02	1.59e-04	-4.5045597	0.981242	-0.90982829	NM_004972	JAK2
A_24_P211797	4.02e-02	1.61e-04	-4.4991006	0.96896	-1.27429968	NM_178231	ICA1L
A_24_P233786	4.02e-02	1.62e-04	-4.4964964	0.963101	-1.78457986	NM_052966	FAM129A
A_23_P68547	4.04e-02	1.65e-04	-4.489168	0.946614	-1.03782851	NM_182802	MCM8
A_23_P110569	4.04e-02	1.65e-04	-4.4878351	0.943615	-2.03564877	NM_018700	TRIM36
A_33_P3336257	4.04e-02	1.66e-04	4.4869995	0.941735	2.08155977	NM_024337	IRX1
A_23_P88731	4.04e-02	1.67e-04	-4.4848517	0.936902	-1.76674087	NM_002875	RAD51
A_21_P0008998	4.04e-02	1.68e-04	-4.4818477	0.930144	-1.5008697	XR_109344	LOC100506268
A_23_P252740	4.04e-02	1.69e-04	-4.4793997	0.924636	-2.3038279	NM_024094	DSCC1
A_33_P3433873	4.04e-02	1.70e-04	-4.4767596	0.918695	-1.49121376	NM_017975	ZWILCH
A_33_P3271341	4.04e-02	1.70e-04	-4.4767108	0.918586	-0.97678193	XR_109306	
A_23_P76488	4.05e-02	1.72e-04	-4.473153	0.91058	-1.01364204	NM_001423	EMP1
A_23_P70968	4.08e-02	1.74e-04	-4.4664638	0.895529	-3.12700383	NM_006896	HOXA7
A_33_P3277437	4.08e-02	1.75e-04	-4.466058	0.894616	-0.99784788	NM_001142725	ERI2
A_33_P3408450	4.09e-02	1.76e-04	-4.46272	0.887105	-1.12857676	NM_001146683	C14orf176
A_23_P500000	4.10e-02	1.77e-04	-4.459915	0.880793	-1.03495144	NM_144777	SCEL
A_32_P71447	4.18e-02	1.83e-04	-4.4481942	0.854418	-1.14293748	NM_015261	NCAPD3
A_23_P52017	4.18e-02	1.83e-04	-4.4480145	0.854014	-2.34169087	NM_018136	ASPM
A_33_P3802966	4.18e-02	1.84e-04	4.4453985	0.848127	2.20315174		
A_33_P3301394	4.26e-02	1.89e-04	-4.4353053	0.825414	-0.91740416		
A_23_P100127	4.26e-02	1.89e-04	-4.4337344	0.821879	-2.15391992	NM_170589	CASC5
A_32_P182439	4.28e-02	1.92e-04	-4.4283951	0.809863	-0.82057496	NM_006591	POLD3
A_33_P3329769	4.28e-02	1.93e-04	-4.4258448	0.804124	-1.50416011	NM_152731	BEND6
A_21_P0000243	4.28e-02	1.93e-04	4.4253325	0.802971	0.76859053	NR_002439	SNORD43
A_33_P3318852	4.28e-02	1.95e-04	-4.4228722	0.797434	-2.10007942	NM_198881	TBC1D8B
A_33_P3221313	4.28e-02	1.95e-04	-4.421492	0.794328	-2.37069517	NM_006733	CENPI
A_24_P722216	4.38e-02	2.01e-04	-4.4099532	0.76836	-1.09571703	NM_018706	DHTKD1
A_23_P259166	4.39e-02	2.02e-04	-4.4076926	0.763273	-0.59558458	NM_024863	TCEAL4
A_32_P157391	4.40e-02	2.04e-04	-4.4046131	0.756342	-1.25044987	NM_153696	FOLH1B
A_23_P68610	4.43e-02	2.06e-04	-4.4001261	0.746244	-2.01686577	NM_012112	TPX2
A_21_P0000621	4.45e-02	2.08e-04	-4.3959944	0.736946	-1.91877522	NR_034008	LOC100498859
A_23_P100344	4.45e-02	2.12e-04	-4.3883709	0.719789	-1.69836328	NM_014321	ORC6
A_21_P0003367	4.45e-02	2.13e-04	4.3873694	0.717535	2.09243097	AL833514	XLOC_003546
A_23_P233	4.45e-02	2.13e-04	-4.386297	0.715122	-0.87755928	NM_001461	FMO5
A_24_P396231	4.45e-02	2.13e-04	4.385946	0.714332	0.9546102	NM_002294	LAMP2
A_23_P148609	4.45e-02	2.14e-04	-4.3854059	0.713117	-1.99559594	NM_021796	PLAC1
A_21_P0014387	4.45e-02	2.14e-04	-4.3842797	0.710582	-1.40419802	XR_109558	LOC100507094
A_23_P52266	4.52e-02	2.19e-04	-4.3754539	0.69072	-2.93563789	NM_001548	IFIT1
A_23_P19987	4.52e-02	2.20e-04	-4.3729849	0.685163	-0.96275178	NM_006547	IGF2BP3
A_33_P3285077	4.52e-02	2.21e-04	-4.3714095	0.681618	-0.6298018	NM_017845	COMMD8
A_23_P250629	4.52e-02	2.22e-04	-4.369927	0.678281	-1.1513209	NM_004159	PSMB8
A_23_P75071	4.52e-02	2.23e-04	-4.3687211	0.675568	-2.7554743	NM_016195	KIF20B
A_33_P3303385	4.55e-02	2.26e-04	-4.3634321	0.663665	-1.23630001	NM_014865	NCAPD2
A_33_P3301524	4.55e-02	2.27e-04	-4.3617659	0.659915	-1.19027983	NM_001100119	XRCC3
A_23_P301984	4.55e-02	2.27e-04	-4.3603864	0.65681	-1.37889028	NM_001007090	C8orf48
A_23_P308974	4.55e-02	2.29e-04	-4.357461	0.650227	-0.72089134	NM_207517	ADAMTSL3
A_33_P3299254	4.55e-02	2.30e-04	4.3563874	0.647811	0.93458753	NM_013378	VPREB3
A_21_P0000340	4.62e-02	2.34e-04	4.3486926	0.630495	1.28958123	NR_002986	SNORA60
A_32_P24709	4.62e-02	2.37e-04	-4.3446111	0.62131	-1.02619905	NM_198494	ZNF642
A_23_P67127	4.62e-02	2.37e-04	4.3439089	0.61973	1.15874635	NM_173633	TMEM145
A_23_P413193	4.62e-02	2.38e-04	-4.3416802	0.614714	-0.9728739	NM_145247	SFR1
A_23_P367628	4.62e-02	2.38e-04	-4.341421	0.614131	-0.87852625	NM_014802	KIAA0528
A_21_P0006136	4.64e-02	2.41e-04	4.3363123	0.602635	1.10328101		XLOC_007314
A_21_P0006898	4.64e-02	2.42e-04	-4.3355796	0.600986	-0.91720283		XLOC_008568
A_32_P95729	4.68e-02	2.45e-04	-4.3307903	0.590209	-1.23230422	NM_018193	FANCI
A_23_P68155	4.72e-02	2.49e-04	-4.3242915	0.575585	-2.03312034	NM_022168	IFIH1
A_23_P361381	4.72e-02	2.49e-04	-4.3238034	0.574487	-1.49350169	NM_007068	DMC1
A_23_P108785	4.74e-02	2.52e-04	-4.3199218	0.565753	-0.66635888	NM_005721	ACTR3
A_23_P65174	4.77e-02	2.55e-04	-4.3148335	0.554303	-0.98538174	NM_001040443	PHF11
A_23_P92967	4.77e-02	2.55e-04	-4.3144832	0.553515	-0.79882203	NM_004531	MOCS2
A_23_P118246	4.79e-02	2.57e-04	-4.3106467	0.544883	-1.91206621	NM_016095	GINS2
A_23_P356021	4.80e-02	2.59e-04	-4.3078512	0.538593	-1.67532471	NM_001018113	FANCB
A_21_P0000502	4.89e-02	2.68e-04	4.2943492	0.508214	1.28681646	NR_004407	RNU11
A_23_P11862	4.89e-02	2.69e-04	-4.2931362	0.505485	-1.10341893	NM_018186	C1orf112
A_23_P76743	4.89e-02	2.69e-04	-4.2929669	0.505104	-1.47093928	NM_001080464	ASPG
A_33_P3284029	4.89e-02	2.70e-04	-4.2923754	0.503773	-0.64071303	NM_001316	CSE1L
A_33_P3415042	4.89e-02	2.70e-04	-4.2922601	0.503514	-1.00376845	NM_001096	ACLY
A_23_P252335	4.91e-02	2.74e-04	-4.2861999	0.48988	-0.78091517	NM_018944	MIS18A
A_23_P141447	4.91e-02	2.74e-04	-4.2858739	0.489146	-2.20725817	NM_001034836	RDM1
A_21_P0011667	4.91e-02	2.75e-04	4.2840053	0.484943	1.15831771		XLOC_l2_006574
A_23_P429491	4.91e-02	2.78e-04	-4.2800761	0.476103	-2.37181655	NM_145018	C11orf82
A_23_P118536	4.91e-02	2.78e-04	-4.2797757	0.475427	-1.59906214	NM_018042	SLFN12
A_23_P94422	4.91e-02	2.78e-04	-4.2795976	0.475027	-1.59404563	NM_014791	MELK
A_21_P0014492	4.91e-02	2.79e-04	4.279086	0.473876	1.31594534	XR_110080	LOC100289627
A_23_P10385	5.02e-02	2.86e-04	-4.2684228	0.449888	-1.87064943	NM_016448	DTL
A_21_P0014021	5.06e-02	2.91e-04	4.2619301	0.435284	1.52268597	XM_003403494	TTLL8
A_33_P3340025	5.06e-02	2.92e-04	-4.2607147	0.43255	-1.37834376	NM_021067	GINS1
A_19_P00805651	5.06e-02	2.92e-04	4.2600701	0.4311	0.66054923		
A_24_P349965	5.06e-02	2.93e-04	-4.2588526	0.428362	-1.94013038	NM_007109	TCF19
A_21_P0010470	5.08e-02	3.00e-04	-4.2492208	0.406698	-1.94684213		XLOC_014288
A_33_P3354569	5.08e-02	3.02e-04	-4.2463078	0.400147	-1.00342042	NM_001083112	GPD2
A_21_P0008111	5.08e-02	3.05e-04	4.2432606	0.393293	1.64357688		XLOC_010485
A_33_P3339212	5.08e-02	3.08e-04	-4.2390826	0.383897	-1.70058703	NM_004237	TRIP13
A_33_P3421178	5.08e-02	3.09e-04	4.2375409	0.38043	1.56952715	DA381791	
A_23_P141076	5.08e-02	3.11e-04	-4.2354967	0.375833	-1.29847878	NM_033151	ABCC11
A_23_P76761	5.08e-02	3.11e-04	-4.2352641	0.37531	-1.00057092	NM_003384	VRK1
A_23_P88331	5.08e-02	3.11e-04	-4.2348415	0.37436	-2.41573186	NM_014750	DLGAP5
A_23_P325040	5.08e-02	3.12e-04	-4.234045	0.372569	-2.1478101	NM_003276	TMPO
A_24_P267592	5.08e-02	3.12e-04	-4.2333103	0.370917	-1.16722084	NM_015474	SAMHD1
A_23_P110802	5.08e-02	3.12e-04	-4.2331197	0.370488	-1.55457296	NM_022909	CENPH
A_23_P34788	5.08e-02	3.15e-04	-4.2300203	0.363519	-2.27310049	NM_006845	KIF2C
A_23_P61050	5.08e-02	3.15e-04	-4.229514	0.36238	-0.96777198	NM_152649	MLKL
A_23_P137984	5.08e-02	3.16e-04	-4.2281488	0.35931	-0.94296651	NM_002966	S100A10
A_33_P3386344	5.08e-02	3.17e-04	-4.2278337	0.358602	-1.51243356	NM_001018112	FANCA
A_24_P356509	5.08e-02	3.18e-04	-4.2263078	0.35517	-1.15012493	NM_001142571	RAD51D
A_23_P332042	5.08e-02	3.19e-04	-4.2252021	0.352684	-0.93455749	NM_004259	RECQL5
