ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GENE_SYMBOL
A_23_P408913	0.0947	0.0022	-3.4442611	-1.382836	-1.1151613	NM_152517	TTC30B
A_33_P3261937	0.0952	0.00226	3.4331552	-1.407008	1.14022981	NM_001012264	RNASE13
A_23_P35000	0.097	0.00236	3.4143276	-1.447938	1.08221859	NM_005281	GPR3
A_23_P24903	0.0996	0.00251	-3.38925	-1.502359	-0.59009102	NM_176072	P2RY2
A_23_P136870	0.102	0.00267	3.3635292	-1.558058	1.23575321	NM_175868	MAGEA6
A_33_P3318444	0.102	0.00269	3.3605974	-1.564399	1.28165343	NM_001146684	RNF222
A_21_P0003137	0.103	0.00278	3.3477952	-1.59207	0.96186874	NM_001190470	MTRNR2L2
A_33_P3214550	0.107	0.00301	-3.3144815	-1.663929	-1.50620246	NM_001557	CXCR2
A_23_P30126	0.108	0.00308	-3.3046287	-1.68514	-1.39307332	NM_005130	FGFBP1
A_23_P145606	0.108	0.00308	3.3045438	-1.685322	2.20432294	NM_001006630	CHRM2
A_23_P112341	0.11	0.00326	-3.2809659	-1.736002	-0.75703403	NM_024945	RMI1
A_24_P39195	0.111	0.00335	3.2696688	-1.760244	2.32825102	NM_080818	OXGR1
A_23_P85726	0.113	0.00352	-3.2492668	-1.803957	-0.87827232	NM_033418	METTL18
A_23_P30799	0.116	0.0037	-3.2289328	-1.847436	-0.74955237	NM_021018	HIST1H3F
A_23_P21425	0.117	0.00382	3.2152806	-1.876578	0.7298256	NM_178471	GPR119
A_33_P3262069	0.117	0.00383	3.2148397	-1.877518	1.20672474	NM_001004490	OR2AG2
A_33_P3393537	0.118	0.00397	3.1995633	-1.910076	0.85344357	NM_001164722	PTAFR
A_23_P315991	0.119	0.0041	3.186232	-1.938446	1.79278735	NM_178168	OR10A5
A_33_P3289461	0.121	0.0043	3.1664477	-1.980474	0.90621143	NM_080622	ABHD16B
A_24_P51683	0.123	0.00452	3.1450364	-2.025855	0.95904236	NM_003936	CDK5R2
A_23_P59099	0.123	0.0046	3.1375045	-2.041793	1.00321597	NM_013937	OR11A1
A_33_P3355503	0.126	0.00493	3.1089342	-2.102126	1.28193035	NM_005250	FOXL1
A_24_P84898	0.126	0.00493	-3.1086083	-2.102813	-1.50550293	NM_004111	FEN1
A_33_P3306192	0.127	0.00505	3.0985644	-2.123975	0.89411286	NM_001101362	KBTBD13
A_33_P3303176	0.127	0.00505	3.0980805	-2.124994	0.74248782	NM_001164377	MRGPRG
A_33_P3386686	0.131	0.00567	3.0494798	-2.227024	1.24731857	AK124538	LOC100132874
A_33_P3214412	0.131	0.0057	3.0474975	-2.231173	1.05757494	NM_001005272	OR4A5
A_23_P50052	0.134	0.00588	3.0338921	-2.259619	0.82762452	XR_109479	C18orf12
A_33_P3404989	0.135	0.006	-3.0257117	-2.276699	-0.63321657	NM_003536	HIST1H3H
A_33_P3363310	0.136	0.00619	3.0122046	-2.304861	0.91865043		KRTAP5-10
A_33_P3220090	0.137	0.00627	-3.0070378	-2.315621	-1.16484025	NM_001076781	ZNF391
A_23_P138706	0.137	0.00633	3.0028796	-2.324275	1.0982512	NM_000681	ADRA2A
A_33_P3331601	0.138	0.00636	-3.0006997	-2.32881	-1.23599062	NM_024838	THNSL1
A_23_P363174	0.138	0.00647	-2.9935938	-2.343583	-1.41333108	NM_003511	HIST1H2AL
A_23_P97365	0.139	0.00656	-2.9875121	-2.356216	-0.57799406	NM_018103	LRRC8D
A_23_P50799	0.14	0.00669	2.9788867	-2.374116	1.13142857	NM_013939	OR10H2
A_23_P30307	0.142	0.00695	-2.9626651	-2.407722	-0.53270777	NM_004270	MED7
A_23_P101073	0.142	0.00702	2.9586434	-2.416042	1.18059315	NM_003553	OR1E1
A_33_P3406806	0.147	0.00754	2.9278135	-2.479669	0.74819369	NM_001190460	KRTAP9-1
A_33_P3376090	0.15	0.00794	2.9057298	-2.525074	0.82996852	NM_001004452	OR1J4
A_33_P3282075	0.15	0.008	-2.9025299	-2.531641	-0.67788336	NM_199262	SP6
A_24_P367242	0.15	0.00801	2.9020186	-2.53269	1.13067965	NM_181607	KRTAP19-1
A_24_P403459	0.154	0.00842	2.8808676	-2.576016	0.64734853	NM_021068	IFNA4
A_21_P0000106	0.154	0.0085	2.876687	-2.584564	0.40287839	NM_001190487	MTRNR2L6
A_23_P93258	0.155	0.00855	-2.8741211	-2.589807	-0.95609904	NM_003537	HIST1H3B
A_23_P316531	0.155	0.0086	2.8713571	-2.595454	1.10029965	NM_005298	GPR25
A_23_P28023	0.155	0.00867	2.8682467	-2.601804	1.54794025	NM_030901	OR7A17
A_33_P3338724	0.156	0.00873	2.864868	-2.6087	1.16042271	NM_198988	LENG9
A_23_P64630	0.157	0.00894	-2.8547893	-2.629247	-0.44642016	NM_032015	RNF26
A_33_P3251685	0.158	0.00916	-2.8443261	-2.650545	-0.76275363	NM_020786	PDP2
A_33_P3372742	0.16	0.0094	2.832971	-2.673619	0.96677096		KRTAP5-11
A_33_P3271316	0.16	0.00941	2.8325139	-2.674547	0.81481273	NM_017793	RPP25
A_33_P3277110	0.16	0.00953	2.8273476	-2.685031	1.48778462	NM_006933	SLC5A3
A_33_P3342469	0.161	0.00961	2.8233803	-2.693076	1.14288019	NM_001005187	OR6T1
A_33_P3350202	0.162	0.00983	2.8138527	-2.712375	0.76388179	NM_014484	MOCS3
A_23_P347029	0.163	0.01	2.8057332	-2.728799	1.3318422	NM_176890	TAS2R50
A_23_P164559	0.163	0.0101	-2.8017671	-2.736813	-0.92882302	NM_032436	CHAMP1
A_23_P35576	0.163	0.0102	-2.7991309	-2.742138	-0.81986041	NM_014803	ZNF518A
A_33_P3362153	0.164	0.0103	2.7915231	-2.75749	0.47840918	NM_001190764	TMEM238
A_23_P62709	0.164	0.0104	-2.7874481	-2.765706	-1.74222955	NM_005416	SPRR3
A_24_P159036	0.165	0.0105	2.7860527	-2.768517	0.49362694	NM_001001	RPL36AL
A_33_P3389286	0.167	0.0108	-2.7718588	-2.797084	-0.38179132	NM_006142	SFN
A_33_P3270317	0.167	0.0109	2.7693545	-2.802117	0.88806632	NM_003055	SLC18A3
A_23_P43150	0.167	0.0109	-2.7674867	-2.805869	-0.68529576	NM_001017926	ZHX1
A_24_P472455	0.167	0.011	-2.7662009	-2.808452	-0.68026615	NM_001663	ARF6
A_33_P3397520	0.169	0.0113	2.7540346	-2.83286	0.87165225	NM_198699	KRTAP10-12
A_23_P134566	0.169	0.0114	-2.7491123	-2.842721	-1.07117953	NM_001005328	OR2A7
A_33_P3272080	0.169	0.0114	2.748753	-2.84344	0.57271244	CV575364	QRFP
A_23_P209449	0.171	0.0118	2.7341766	-2.87259	1.29904794	NM_003507	FZD7
A_23_P159406	0.171	0.0119	-2.7307157	-2.879501	-0.54253384	NM_003125	SPRR1B
A_24_P6903	0.172	0.0121	2.7219431	-2.896998	0.94388062	NM_001017992	ACTBL2
A_21_P0014708	0.172	0.0121	-2.7216163	-2.89765	-1.55472715	XR_112317	ATP6V1E2
A_23_P393080	0.173	0.0123	-2.7148457	-2.911135	-0.70994518	NM_005185	CALML3
A_23_P144627	0.173	0.0124	2.7131405	-2.914529	0.93754124	NM_018933	PCDHB13
A_23_P68910	0.174	0.0124	2.7127874	-2.915231	0.84048424	NM_001051	SSTR3
A_32_P205241	0.176	0.0127	-2.7001031	-2.940442	-1.11206556	NM_021954	GJA3
A_33_P3293760	0.176	0.0128	2.6970934	-2.946416	0.97376692	NM_198695	KRTAP10-8
A_23_P255968	0.176	0.0128	2.6970676	-2.946467	1.14828748	NM_003967	TAAR5
A_33_P3292844	0.176	0.0129	2.6956046	-2.949369	1.02664376	NM_020999	NEUROG3
A_32_P466514	0.176	0.0129	2.6932205	-2.954098	0.84040627	NM_024496	IRF2BPL
A_24_P911676	0.177	0.0131	2.6877675	-2.964905	0.77075661	NM_003107	SOX4
A_21_P0000103	0.177	0.0132	2.6845832	-2.971211	1.06875402	NM_001190472	MTRNR2L3
A_33_P3357818	0.178	0.0133	2.6822712	-2.975787	1.58943275	NM_000864	HTR1D
A_24_P889720	0.179	0.0135	-2.6746311	-2.990895	-0.33291727	NM_021009	UBC
A_23_P205428	0.18	0.0136	-2.6704296	-2.999195	-1.79222255	NM_005249	FOXG1
A_24_P391604	0.18	0.0137	2.6691796	-3.001663	1.02679246	NM_181605	KRTAP6-3
A_33_P3292739	0.181	0.0139	2.6622437	-3.015346	0.66684346	NM_201402	USP17L2
A_33_P3229161	0.181	0.014	-2.6576554	-3.024389	-0.76964317	NM_021645	UTP14C
A_33_P3285565	0.182	0.0143	2.6507551	-3.037973	1.96810185	NM_001306	CLDN3
A_23_P11843	0.184	0.0146	2.6415462	-3.056074	1.02324627	NM_201630	LRRN2
A_32_P40288	0.184	0.0146	-2.6410463	-3.057056	-1.01097214	NM_052913	TMEM200A
A_23_P65558	0.184	0.0146	-2.6388205	-3.061426	-0.54317425	NM_002408	MGAT2
A_23_P399255	0.184	0.0147	-2.6382017	-3.062641	-1.68692911	NM_152737	RNF182
A_24_P383609	0.186	0.0151	2.6261913	-3.086186	0.87386163	NM_199461	NANOS1
A_23_P331092	0.187	0.0153	2.6200072	-3.098288	0.87777718	NM_152571	C9orf163
A_24_P175187	0.187	0.0153	-2.6192916	-3.099688	-0.8358643	NM_017654	SAMD9
A_21_P0002772	0.188	0.0153	2.6181588	-3.101903	1.49258319	AK097380	CHST2
A_33_P3302632	0.188	0.0154	-2.6178604	-3.102486	-0.65954017	NM_003523	HIST1H2BE
A_33_P3213204	0.188	0.0154	-2.616473	-3.105198	-0.89434604	NM_022149	MAGEF1
A_32_P205110	0.189	0.0156	2.61129	-3.115323	0.70998844	NM_001453	FOXC1
A_23_P18579	0.19	0.0159	-2.6032879	-3.130935	-0.76453721	NM_006607	PTTG2
A_23_P113793	0.19	0.016	-2.6007721	-3.135838	-1.04451764	NM_024508	ZBED2
A_33_P3374258	0.192	0.0162	2.5928254	-3.151309	0.59236882	AK056621	NHLH2
A_23_P109143	0.192	0.0163	-2.5911016	-3.154662	-0.48325888	NM_000311	PRNP
A_23_P252100	0.193	0.0164	2.5892953	-3.158174	0.90164608	NM_018980	TAS2R5
A_33_P3261862	0.193	0.0165	-2.586025	-3.16453	-1.00599742	NM_001001802	OR2A42
A_24_P17453	0.193	0.0166	-2.582954	-3.170494	-1.10479451	NM_152275	TTC30A
A_33_P3220422	0.194	0.0167	2.5806429	-3.17498	0.71476004	NM_182595	POM121L12
A_21_P0014060	0.197	0.0176	-2.5578026	-3.219202	-1.07829584	XR_108307	PIGC
A_24_P942969	0.197	0.0176	-2.5560128	-3.222658	-1.20646528	NM_000511	FUT2
A_23_P167005	0.198	0.0177	-2.5541288	-3.226296	-1.64597129	NM_014373	GPR160
A_24_P407259	0.2	0.0182	-2.5425062	-3.248702	-1.27493783	NM_007084	SOX21
A_24_P260639	0.2	0.0182	-2.5421347	-3.249417	-0.94001792	NM_005320	HIST1H1D
A_23_P164405	0.201	0.0185	2.5350246	-3.263096	0.61609185	NM_033184	KRTAP2-4
A_33_P3422822	0.201	0.0185	-2.5349491	-3.263241	-1.34173874	NM_020435	GJC2
A_33_P3364373	0.202	0.0187	2.5300933	-3.272572	0.99512543	NM_001004325	KRTAP5-2
A_32_P72341	0.202	0.0188	-2.5273015	-3.277932	-0.77246258	NM_173084	TRIM59
A_23_P60227	0.203	0.0189	2.5246856	-3.282951	1.16562294	NM_005893	CCIN
A_24_P217834	0.204	0.0192	-2.5184386	-3.294927	-0.6370655	NM_003530	HIST1H3D
A_23_P122077	0.206	0.0196	-2.5091386	-3.312725	-1.07361129	NM_016591	GCNT4
A_33_P3367780	0.207	0.0197	-2.5070306	-3.316754	-0.57268311	NM_212558	TMEM215
A_23_P11262	0.207	0.0197	-2.5068726	-3.317056	-0.51531136	NM_012151	F8A1
A_24_P161144	0.208	0.02	2.4984013	-3.333229	0.92565206	NM_001136509	ZNF843
A_23_P141960	0.209	0.0201	-2.4972636	-3.335399	-0.63257895	NM_203344	SERTAD3
A_23_P132388	0.211	0.0205	-2.4876394	-3.353733	-0.34805343	NM_005138	SCO2
A_23_P167983	0.213	0.0209	-2.4800672	-3.368131	-0.54421964	BC050602	HIST1H2AC
A_24_P941625	0.213	0.0211	-2.4757831	-3.376265	-1.03309329	NM_021916	ZNF70
A_23_P42198	0.215	0.0213	-2.4694124	-3.388348	-0.50409307	NM_003534	HIST1H3G
A_23_P66858	0.216	0.0215	2.4655016	-3.395757	0.5861909	NM_031964	KRTAP17-1
A_23_P339652	0.217	0.0217	2.4611281	-3.404035	1.39360214	NM_176882	TAS2R40
A_33_P3248203	0.22	0.0226	2.4441547	-3.436082	1.01952968	NM_002034	FUT5
A_24_P314351	0.22	0.0226	-2.4431261	-3.43802	-0.59616726	NM_006777	ZBTB33
A_33_P3270623	0.22	0.0226	2.4425624	-3.439082	1.43141392	NM_175885	FAM181B
A_33_P3404123	0.225	0.0238	2.4196528	-3.482124	0.85166812	XM_003118738	KRTAP9-7
A_23_P149529	0.225	0.0239	-2.4181209	-3.484994	-0.50047055	NM_002353	TACSTD2
A_33_P3215113	0.227	0.0242	-2.4112171	-3.497915	-1.67827821	NM_012317	LDOC1
A_23_P130547	0.23	0.0248	2.4000316	-3.518805	0.80155639	NM_001005191	OR7D4
A_32_P34920	0.23	0.0249	-2.399803	-3.519231	-1.18640856	NM_004472	FOXD1
A_33_P3293798	0.231	0.025	2.397701	-3.523151	0.52091995	NM_198691	KRTAP10-1
A_23_P409516	0.231	0.025	-2.3976792	-3.523191	-0.46008927	NM_138333	FAM122A
A_33_P3382538	0.232	0.0254	-2.3905609	-3.536449	-0.93690958	NM_003772	JRKL
A_24_P333635	0.232	0.0254	2.3903217	-3.536894	1.47219584	NM_001009997	C10orf62
A_24_P397515	0.232	0.0254	-2.3901719	-3.537173	-0.57320437	NM_006353	HMGN4
A_23_P409449	0.232	0.0255	2.3873845	-3.542357	0.72800588	NM_005421	TAL2
A_23_P110052	0.235	0.0265	-2.369869	-3.574857	-1.46197094	NM_023067	FOXL2
A_23_P375524	0.235	0.0266	2.368951	-3.576556	0.55315696	NM_178352	LCE1D
A_23_P156824	0.237	0.0269	2.3631825	-3.587227	0.85318557	NM_000863	HTR1B
A_33_P3311046	0.237	0.027	2.3624593	-3.588564	0.90903753	NM_001004691	OR2M7
A_23_P66827	0.238	0.0273	-2.3569365	-3.598764	-1.3373249	NR_026809	FAM106A
A_33_P3257856	0.238	0.0274	-2.3554643	-3.60148	-1.0288993	NM_145044	ZNF501
A_23_P6943	0.239	0.0275	2.3528198	-3.606358	1.58027736	NM_005290	GPR15
A_33_P3325704	0.239	0.0276	-2.3521175	-3.607652	-1.31990089	NM_001024209	SPRR2E
A_33_P3373459	0.239	0.0277	2.3494023	-3.612656	0.53053712	NM_018641	CHST12
A_24_P283591	0.239	0.0278	-2.3480593	-3.61513	-0.60560706	NM_012364	OR1Q1
A_23_P386241	0.24	0.0279	-2.3463143	-3.618342	-0.40789527	NM_001042353	FAM110A
A_33_P3358774	0.24	0.0281	-2.3432532	-3.623975	-0.80142456	NM_001005212	OR9Q1
A_33_P3243429	0.241	0.0283	2.3391581	-3.631503	0.88950715	NM_206997	GPR152
A_23_P70448	0.242	0.0288	-2.3315284	-3.645508	-1.05149455	NM_005325	HIST1H1A
A_33_P3242234	0.244	0.0293	-2.3228018	-3.661494	-0.4397892	NM_001007523	F8A2
A_21_P0000100	0.244	0.0294	2.3213473	-3.664155	0.51875883	NM_001190452	MTRNR2L1
A_23_P112666	0.245	0.0298	2.3158543	-3.674195	0.73084122	NM_012186	FOXE3
A_23_P127406	0.245	0.0299	-2.3148484	-3.676032	-1.21260858	NM_018039	KDM4D
A_33_P3309999	0.246	0.03	2.3117984	-3.681599	1.28757974	NM_001013628	DCAF12L2
A_33_P3311245	0.247	0.0303	2.3079097	-3.688691	0.95682137	NM_181614	KRTAP19-7
A_23_P86252	0.247	0.0304	-2.3068236	-3.690671	-0.43145303	NM_002642	PIGC
A_33_P3260426	0.247	0.0304	-2.3059746	-3.692218	-1.40240609	NM_005988	SPRR2A
A_23_P204375	0.248	0.0306	-2.3036044	-3.696534	-0.942298	NM_020400	LPAR5
A_23_P122007	0.248	0.0306	-2.3026154	-3.698335	-0.44958784	NM_033211	C5orf30
A_33_P3290874	0.248	0.0307	2.30142	-3.70051	0.35127319	NM_001001674	OR4F15
A_33_P3213006	0.248	0.0308	2.3004609	-3.702255	0.66326532	NM_030966	KRTAP1-3
A_33_P3278033	0.25	0.0311	2.2958577	-3.710625	0.63119887	NM_001004125	TUSC1
A_23_P85218	0.251	0.0316	2.2884716	-3.724032	1.70105921	NM_005634	SOX3
A_33_P3251421	0.251	0.0317	2.2870202	-3.726664	1.06419541	NM_181619	KRTAP21-1
A_24_P66312	0.251	0.0317	2.2868026	-3.727059	0.61087533	NM_181686	KRTAP12-1
A_23_P363163	0.251	0.0317	-2.2860979	-3.728336	-0.57554648	NM_001008390	CGGBP1
A_24_P134789	0.253	0.032	2.2822872	-3.735239	0.82775981	NM_181688	KRTAP10-10
A_23_P11644	0.256	0.0332	-2.2646659	-3.767068	-1.35342862	NM_006945	SPRR2D
A_33_P3370364	0.257	0.0334	2.2622272	-3.771461	0.96563778	NM_004248	PRLHR
A_33_P3318187	0.258	0.0338	-2.2560025	-3.782661	-0.33022069	NM_145039	CENPBD1
A_23_P41599	0.26	0.0343	2.24923	-3.794825	1.01496653	NM_019120	PCDHB8
A_24_P325146	0.26	0.0344	2.2483095	-3.796477	0.64924678	NM_031960	KRTAP4-8
A_23_P27917	0.26	0.0345	2.2464925	-3.799735	1.37418338	NM_013940	OR10H1
A_23_P129577	0.26	0.0345	-2.2463124	-3.800058	-0.80113074	NM_033208	TIGD7
A_21_P0000105	0.261	0.0347	2.2438387	-3.804492	1.95798845	NM_001190478	MTRNR2L5
A_24_P372134	0.261	0.0348	2.2433637	-3.805343	0.86690603	NM_018295	TMEM140
A_33_P3229067	0.261	0.0348	2.2424433	-3.806992	0.78300578	NM_003520	HIST1H2BN
A_33_P3226357	0.261	0.0349	-2.2414396	-3.80879	-1.42361965	NM_004473	FOXE1
A_23_P18372	0.261	0.035	-2.2399805	-3.811402	-0.44120055	NM_032047	B3GNT5
A_23_P10873	0.263	0.0354	2.2349806	-3.820345	1.38479547	NM_003263	TLR1
A_33_P3322484	0.263	0.0354	-2.2343048	-3.821553	-0.60709677	NM_001001711	DDI1
A_23_P27197	0.265	0.0357	2.2302736	-3.828753	0.86327839	NM_033188	KRTAP4-5
A_33_P3383226	0.265	0.0358	2.2295622	-3.830022	0.52438785	NM_000174	GP9
A_21_P0000001	0.265	0.0358	2.2287551	-3.831463	1.05616759	NM_001004685	OR2F2
A_33_P3265504	0.265	0.0359	2.2274823	-3.833733	0.57840107	NM_001099692	EIF5AL1
A_33_P3388061	0.265	0.036	2.2268028	-3.834945	1.00562407	NM_181617	KRTAP21-2
A_23_P389532	0.266	0.0361	-2.2256156	-3.837062	-0.50619617	NM_152462	SLC35G3
A_32_P99432	0.266	0.0362	-2.2240851	-3.83979	-0.24627559	NM_174894	TRAPPC5
A_23_P51761	0.266	0.0362	2.2240019	-3.839938	1.30566038	NM_001005279	OR6K2
A_23_P8240	0.267	0.0366	-2.2188282	-3.849151	-0.67113465	NM_012135	FAM50B
A_23_P131139	0.268	0.037	2.2136942	-3.858279	1.07566929	NM_052952	DIRC1
A_33_P3265709	0.269	0.0372	2.21159	-3.862017	1.00556272	NM_001001657	OR2Y1
A_32_P160896	0.27	0.0377	2.2044359	-3.874708	0.94843225	NM_177478	FTMT
A_33_P3293753	0.271	0.0379	2.2026037	-3.877954	1.07523086	NM_198690	KRTAP10-9
A_33_P3334877	0.271	0.038	2.2004574	-3.881754	0.91124929	NM_198687	KRTAP10-4
A_33_P3285456	0.272	0.0383	2.197377	-3.887204	1.06677262	NM_001024679	C1orf68
A_33_P3274811	0.272	0.0384	-2.1961533	-3.889368	-1.16835377	NM_001014450	SPRR2F
A_23_P63096	0.273	0.0385	-2.1948658	-3.891644	-0.84063144	NM_001004319	VHLL
A_23_P115331	0.273	0.0387	2.1927139	-3.895446	0.43751734	NM_001029882	AHDC1
A_32_P74409	0.274	0.0389	2.1895761	-3.900985	0.91754438	NM_001145033	C11orf96
A_23_P351138	0.274	0.0389	2.1893623	-3.901362	0.65018872	NM_020982	CLDN9
A_33_P3379391	0.275	0.0394	-2.1840586	-3.910713	-0.34165925	NM_177925	H2AFJ
A_23_P168812	0.277	0.0398	-2.1792609	-3.91916	-0.91370439	NM_145111	FAM200A
A_33_P3394312	0.277	0.0398	2.1785521	-3.920406	0.71069804	NM_001005480	OR2A2
A_23_P167401	0.279	0.0404	2.171321	-3.933112	0.71917302	NM_018931	PCDHB11
A_21_P0000104	0.279	0.0404	2.1710853	-3.933526	1.36787088	NM_001190476	MTRNR2L4
A_33_P3363732	0.279	0.0407	2.1681173	-3.938732	0.82369672	NM_021247	PRM3
A_33_P3288824	0.28	0.0409	-2.1658897	-3.942637	-0.65410254	NM_080720	H2AFB3
A_33_P3222203	0.28	0.0412	2.1619054	-3.949615	0.59250494	NM_148962	OXER1
A_23_P141362	0.281	0.0414	2.1603041	-3.952417	0.92588935	NM_001466	FZD2
A_33_P3325497	0.281	0.0415	2.1588594	-3.954944	1.48228204	NM_203371	FIBIN
A_23_P411235	0.281	0.0415	2.1586431	-3.955323	0.91938836	NM_152460	C17orf77
A_23_P54088	0.285	0.0426	-2.1457259	-3.977866	-0.82691445	NM_001004715	OR4K17
A_24_P212811	0.285	0.0427	-2.1453622	-3.9785	-0.71398738	NM_001039888	ANKRD34A
A_33_P3237542	0.286	0.0431	2.1409025	-3.986262	0.55094666	NM_021046	KRTAP5-8
A_23_P19428	0.287	0.0435	2.1364728	-3.993962	0.45521368	NM_030905	OR2J2
A_23_P115375	0.288	0.0437	-2.1336344	-3.99889	-0.34202186	NM_001123375	HIST2H3D
A_23_P38649	0.289	0.0439	2.1310791	-4.003323	0.85750935	NM_000529	MC2R
A_24_P240187	0.289	0.044	2.1303433	-4.004599	2.13012632	NM_020873	LRRN1
A_33_P3260659	0.291	0.0445	2.1249561	-4.013932	0.60559982	NM_030904	OR2T1
A_33_P3218089	0.292	0.0449	2.1202461	-4.022078	1.12647491	NM_001185149	CLDN24
A_23_P94319	0.294	0.0455	-2.1141497	-4.032606	-1.34700578	NM_014867	KBTBD11
A_33_P3279629	0.295	0.0459	2.1103956	-4.039079	0.49228857	NM_033199	UCN2
A_33_P3411632	0.297	0.0464	2.1043189	-4.04954	1.05263098	NM_025268	TMEM121
A_24_P831309	0.297	0.0466	2.1030147	-4.051783	0.78706414	NM_207401	C1orf229
A_23_P25605	0.297	0.0467	-2.1020373	-4.053463	-0.69460617	NM_032138	KBTBD7
A_23_P107744	0.298	0.047	-2.0986272	-4.059321	-0.6546903	NM_030760	S1PR5
A_24_P941051	0.298	0.0471	-2.0972105	-4.061752	-0.36205611	NM_015235	CSTF2T
A_23_P83234	0.299	0.0474	-2.0947844	-4.065914	-1.09119556	NM_006626	ZBTB6
A_33_P3264116	0.299	0.0474	-2.0938831	-4.067459	-0.52921918	NM_198586	NHLRC1
A_33_P3358908	0.3	0.0477	2.091601	-4.07137	0.83393096	XM_003118751	KRTAP9-6
A_23_P411296	0.3	0.0479	2.0891098	-4.075636	0.53900872	NM_005194	CEBPB
A_23_P430670	0.3	0.048	2.0885925	-4.076522	0.51725063	NM_024533	CHST5
A_33_P3345683	0.301	0.0482	2.0862964	-4.08045	0.34005116	NM_001005195	OR8B12
A_24_P627984	0.302	0.0485	-2.0832836	-4.0856	-1.36754629	NM_014805	EPM2AIP1
A_23_P74012	0.302	0.0487	-2.0809889	-4.089519	-0.5837087	NM_005987	SPRR1A
A_23_P112311	0.303	0.0488	-2.080029	-4.091158	-0.62857937	NM_012210	TRIM32
A_23_P93531	0.303	0.0489	2.0787649	-4.093315	0.24565465	NM_138327	TAAR1
A_23_P120170	0.304	0.0492	-2.076307	-4.097506	-0.7256774	NM_145702	TIGD1
A_33_P3243405	0.304	0.0495	2.0735132	-4.102267	2.02968331	NM_007264	GPR182
A_23_P129695	0.305	0.0497	2.0714434	-4.105791	0.93358639	NM_138440	VASN
