GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
29965	1.76e-04	1.31e-06	0.2568	4.8382435	1.2424997	765.52	CDIP1	cell death inducing p53 target 1
2244	1.79e-04	1.34e-06	1.7241	-4.833183	-8.3327442	2021.3	FGB	fibrinogen beta chain
4023	1.80e-04	1.36e-06	0.3819	-4.8308461	-1.8450932	2125.77	LPL	lipoprotein lipase
5055	1.87e-04	1.42e-06	0.7254	4.8216163	3.4974656	26.46	SERPINB2	serpin family B member 2
66004	1.97e-04	1.51e-06	0.1502	4.8093722	0.7223058	295.64	LYNX1	Ly6/neurotoxin 1
283982	2.32e-04	1.79e-06	0.8166	4.7754446	3.8997293	15.65	LINC00469	long intergenic non-protein coding RNA 469
102659288	2.50e-04	1.95e-06	0.3275	4.7588521	1.5584136	72.92	LINC02888	long intergenic non-protein coding RNA 2888
80114	2.51e-04	1.97e-06	0.3006	-4.7565031	-1.4299445	357.9	BICC1	BicC family RNA binding protein 1
91663	2.65e-04	2.09e-06	0.0992	4.7445895	0.4705183	4926.91	MYADM	myeloid associated differentiation marker
8549	2.83e-04	2.25e-06	0.4627	-4.7294836	-2.1881796	54.53	LGR5	leucine rich repeat containing G protein-coupled receptor 5
3732	2.91e-04	2.33e-06	0.2764	4.722391	1.3051182	441.31	CD82	CD82 molecule
85407	2.96e-04	2.38e-06	0.6565	-4.717784	-3.0971045	454.38	NKD1	NKD inhibitor of WNT signaling pathway 1
3105	3.01e-04	2.45e-06	0.2416	4.7124687	1.1384833	3602.52	HLA-A	major histocompatibility complex, class I, A
1593	3.25e-04	2.69e-06	0.6148	-4.6931525	-2.8855035	127.84	CYP27A1	cytochrome P450 family 27 subfamily A member 1
57537	3.25e-04	2.73e-06	0.1432	4.6900362	0.6714086	3026.43	SORCS2	sortilin related VPS10 domain containing receptor 2
105379191	3.25e-04	2.72e-06	1.431	-4.6907354	-6.7124659	9.73	CTB-1I21.1	uncharacterized CTB-1I21.1
5818	3.25e-04	2.70e-06	0.249	4.6922485	1.1684868	1975	NECTIN1	nectin cell adhesion molecule 1
84815	3.25e-04	2.66e-06	0.6415	4.6951679	3.0120253	27.17	MGC12916	uncharacterized protein MGC12916
100130238	3.36e-04	2.84e-06	1.6525	-4.6819643	-7.7371364	19.81	GALNT9-AS1	GALNT9 antisense RNA 1
355	3.43e-04	2.92e-06	0.325	4.6765895	1.5199782	491.96	FAS	Fas cell surface death receptor
26585	3.54e-04	3.04e-06	0.8487	-4.6683296	-3.9620075	138.95	GREM1	gremlin 1, DAN family BMP antagonist
360	3.59e-04	3.10e-06	0.2731	4.6642426	1.2737707	31662.49	AQP3	aquaporin 3 (Gill blood group)
140766	3.61e-04	3.13e-06	0.3825	4.6618668	1.78323	479.79	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
3918	3.95e-04	3.45e-06	0.2728	4.6421087	1.2665972	4078.71	LAMC2	laminin subunit gamma 2
221935	4.00e-04	3.52e-06	0.1849	-4.6381676	-0.8575791	3202.43	SDK1	sidekick cell adhesion molecule 1
6876	4.03e-04	3.57e-06	0.2141	4.6351335	0.99231	695.13	TAGLN	transgelin
26873	4.05e-04	3.61e-06	0.1712	4.6327341	0.7931468	309.52	OPLAH	5-oxoprolinase, ATP-hydrolysing
8848	4.13e-04	3.70e-06	0.1273	4.6276565	0.5891432	6162.62	TSC22D1	TSC22 domain family member 1
5318	4.50e-04	4.06e-06	0.5098	-4.6083125	-2.3491297	610.37	PKP2	plakophilin 2
57333	4.75e-04	4.32e-06	0.6715	-4.595563	-3.0858308	486.39	RCN3	reticulocalbin 3
869	4.86e-04	4.44e-06	0.5924	4.5895581	2.7187561	20.97	CBLN1	cerebellin 1 precursor
1417	5.11e-04	4.70e-06	0.1844	4.5777225	0.8440153	490.46	CRYBB3	crystallin beta B3
2810	5.27e-04	4.88e-06	0.4036	4.5700546	1.8446497	743.88	SFN	stratifin
105375065	5.75e-04	5.35e-06	0.7273	-4.550572	-3.3094129	27.44	LOC105375065	uncharacterized LOC105375065
3913	5.84e-04	5.46e-06	0.1048	4.5461668	0.476609	16710.65	LAMB2	laminin subunit beta 2
10410	5.90e-04	5.55e-06	0.5218	-4.5427782	-2.3702613	1805.48	IFITM3	interferon induced transmembrane protein 3
347735	6.18e-04	5.85e-06	0.117	4.5316751	0.5300379	3120.43	SERINC2	serine incorporator 2
5764	6.28e-04	5.99e-06	0.3147	4.5268009	1.4243642	6063.27	PTN	pleiotrophin
84617	6.32e-04	6.06e-06	0.2012	4.5243294	0.9104106	528.61	TUBB6	tubulin beta 6 class V
9071	6.54e-04	6.31e-06	0.8658	-4.5158043	-3.9098612	174.1	CLDN10	claudin 10
2530	6.63e-04	6.43e-06	0.1891	-4.5117703	-0.853013	2266.87	FUT8	fucosyltransferase 8
1075	6.71e-04	6.54e-06	0.0983	-4.5081027	-0.4429751	3146.98	CTSC	cathepsin C
5271	6.71e-04	6.58e-06	0.2466	4.5068723	1.1115568	218.62	SERPINB8	serpin family B member 8
7296	6.76e-04	6.67e-06	0.0862	-4.5038941	-0.3882101	4947.73	TXNRD1	thioredoxin reductase 1
6943	7.07e-04	7.01e-06	0.7673	-4.4932591	-3.4477564	153.37	TCF21	transcription factor 21
150696	7.08e-04	7.06e-06	0.2663	4.4917365	1.1961448	1261.51	PROM2	prominin 2
100505738	7.09e-04	7.12e-06	1.4402	-4.4901606	-6.4667977	16.13	MIR4458HG	MIR4458 host gene
745	7.43e-04	7.50e-06	0.4002	-4.4791103	-1.7924147	598.7	MYRF	myelin regulatory factor
6690	7.56e-04	7.71e-06	1.5205	-4.4729631	-6.8010112	1470.66	SPINK1	serine peptidase inhibitor Kazal type 1
5645	7.56e-04	7.70e-06	0.8888	-4.4732235	-3.9756035	161.8	PRSS2	serine protease 2
23024	7.66e-04	7.86e-06	0.5505	-4.4688453	-2.4602764	149.79	PDZRN3	PDZ domain containing ring finger 3
221981	7.92e-04	8.17e-06	0.7627	-4.4607479	-3.402357	131.96	THSD7A	thrombospondin type 1 domain containing 7A
51208	8.03e-04	8.33e-06	0.521	-4.4565249	-2.321918	174.03	CLDN18	claudin 18
7018	8.16e-04	8.51e-06	1.2284	-4.4519101	-5.468722	458.35	TF	transferrin
7429	8.65e-04	9.09e-06	0.5359	-4.4376805	-2.3783114	456.11	VIL1	villin 1
161145	8.65e-04	9.12e-06	0.6246	4.4370257	2.771238	38.35	TMEM229B	transmembrane protein 229B
5583	8.67e-04	9.19e-06	0.2424	4.4354977	1.0752494	668.33	PRKCH	protein kinase C eta
4121	9.14e-04	9.74e-06	0.2528	4.4228498	1.1181172	5622.39	MAN1A1	mannosidase alpha class 1A member 1
654342	9.65e-04	1.04e-05	0.4237	-4.4089571	-1.8682883	64.15	LSP1P4	LSP1 pseudogene 4
91607	9.65e-04	1.04e-05	0.8301	-4.4091845	-3.6602606	132.25	SLFN11	schlafen family member 11
3268	9.71e-04	1.05e-05	0.3459	-4.4063054	-1.524287	406.32	AGFG2	ArfGAP with FG repeats 2
55714	1.02e-03	1.11e-05	0.5896	-4.395146	-2.5911585	78.82	TENM3	teneurin transmembrane protein 3
27071	1.03e-03	1.13e-05	0.555	4.3903585	2.4367928	26.26	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
105375826	1.04e-03	1.15e-05	1.4566	4.3874866	6.3907809	7.66	LOC105375826	uncharacterized LOC105375826
5763	1.06e-03	1.17e-05	0.1121	-4.3823402	-0.4912701	5245.14	PTMS	parathymosin
1296	1.09e-03	1.21e-05	1.1091	-4.3765122	-4.8539129	102.53	COL8A2	collagen type VIII alpha 2 chain
57061	1.10e-03	1.23e-05	0.6833	-4.3719076	-2.9874898	39.19	HYMAI	hydatidiform mole associated and imprinted
2628	1.13e-03	1.27e-05	0.574	-4.3659653	-2.5061262	203.52	GATM	glycine amidinotransferase
6376	1.19e-03	1.34e-05	0.3959	4.3527269	1.7234396	1194.58	CX3CL1	C-X3-C motif chemokine ligand 1
6538	1.24e-03	1.41e-05	0.7075	4.3422838	3.0721044	26.79	SLC6A11	solute carrier family 6 member 11
5445	1.26e-03	1.43e-05	0.1096	4.3392326	0.4756819	7106.34	PON2	paraoxonase 2
5269	1.26e-03	1.44e-05	0.1788	-4.337781	-0.7755811	950.65	SERPINB6	serpin family B member 6
196996	1.29e-03	1.50e-05	0.2421	4.3293779	1.0482545	590.62	GRAMD2A	GRAM domain containing 2A
7078	1.29e-03	1.49e-05	0.231	4.3294332	1.000084	2115.4	TIMP3	TIMP metallopeptidase inhibitor 3
222962	1.31e-03	1.52e-05	0.1602	-4.3256743	-0.6928156	3000.75	SLC29A4	solute carrier family 29 member 4
166979	1.31e-03	1.53e-05	0.9567	-4.3239886	-4.1367107	85.59	CDC20B	cell division cycle 20B
388	1.33e-03	1.56e-05	0.176	-4.3203626	-0.7601898	8895.43	RHOB	ras homolog family member B
151126	1.33e-03	1.58e-05	0.4159	-4.3177803	-1.7959691	135.32	ZNF385B	zinc finger protein 385B
1910	1.33e-03	1.58e-05	0.3086	-4.3178413	-1.3324188	137.77	EDNRB	endothelin receptor type B
117283	1.37e-03	1.63e-05	0.8251	-4.3107851	-3.5567619	74.83	IP6K3	inositol hexakisphosphate kinase 3
56521	1.38e-03	1.64e-05	0.8132	-4.3084442	-3.5034466	129.64	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
196374	1.40e-03	1.69e-05	1.5571	4.3028197	6.6999635	9.53	KRT78	keratin 78
64072	1.43e-03	1.72e-05	0.255	4.2981904	1.0959913	657.44	CDH23	cadherin related 23
148534	1.43e-03	1.73e-05	0.1564	-4.2967038	-0.6719726	500.13	TLCD4	TLC domain containing 4
27241	1.45e-03	1.77e-05	0.2201	4.2923629	0.9449227	398.12	BBS9	Bardet-Biedl syndrome 9
147920	1.45e-03	1.77e-05	0.2877	4.2918406	1.2348009	592.34	IGFL2	IGF like family member 2
2760	1.47e-03	1.80e-05	0.2623	4.2880871	1.1249371	1865.64	GM2A	ganglioside GM2 activator
6697	1.47e-03	1.82e-05	0.1399	4.2862024	0.599685	353.35	SPR	sepiapterin reductase
116985	1.54e-03	1.91e-05	0.1682	4.2756785	0.7190479	5914.05	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
84451	1.56e-03	1.94e-05	0.2155	-4.2713049	-0.9205979	421.67	MAP3K21	mitogen-activated protein kinase kinase kinase 21
101928858	1.56e-03	1.95e-05	0.409	4.2706211	1.7467631	43.18	LINC02997	long intergenic non-protein coding RNA 2997
7097	1.63e-03	2.06e-05	0.1574	4.2583096	0.6702234	289.94	TLR2	toll like receptor 2
9849	1.63e-03	2.06e-05	0.1103	4.2585863	0.4696497	1065.44	ZNF518A	zinc finger protein 518A
55163	1.65e-03	2.10e-05	0.2706	-4.2542917	-1.1511763	295.43	PNPO	pyridoxamine 5'-phosphate oxidase
7857	1.69e-03	2.15e-05	0.9315	-4.2481992	-3.9571895	94.11	SCG2	secretogranin II
157638	1.69e-03	2.16e-05	0.2568	4.2474981	1.0908689	4071.67	LRATD2	LRAT domain containing 2
2869	1.69e-03	2.17e-05	0.3904	-4.2464572	-1.65795	597.62	GRK5	G protein-coupled receptor kinase 5
55214	1.70e-03	2.19e-05	0.2616	-4.2444936	-1.1105292	1463.08	P3H2	prolyl 3-hydroxylase 2
56301	1.72e-03	2.23e-05	0.8602	-4.2409506	-3.6480464	113.34	SLC7A10	solute carrier family 7 member 10
80832	1.74e-03	2.26e-05	0.7138	-4.237383	-3.0245574	15.13	APOL4	apolipoprotein L4
79729	1.84e-03	2.41e-05	0.2638	4.222693	1.1138978	566.96	SH3D21	SH3 domain containing 21
90342	1.84e-03	2.43e-05	0.8227	-4.2214616	-3.4729778	27.24	FER1L5	fer-1 like family member 5
26085	1.84e-03	2.42e-05	0.8341	-4.2223291	-3.5216955	153.46	KLK13	kallikrein related peptidase 13
387509	1.95e-03	2.58e-05	0.1214	4.2074427	0.5108249	826.57	GPR153	G protein-coupled receptor 153
7348	2.02e-03	2.69e-05	0.9654	4.1981022	4.0528218	11.76	UPK1B	uroplakin 1B
8424	2.02e-03	2.71e-05	1.2163	4.1968878	5.1044775	11.77	BBOX1	gamma-butyrobetaine hydroxylase 1
27289	2.02e-03	2.71e-05	0.2578	-4.1968906	-1.0820436	203.14	RND1	Rho family GTPase 1
