ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7990227	0.0001976	2.39e-06	8.5473218	5.2514	1.46024218	HIGD2B	HIG1 hypoxia inducible domain family member 2B
7994267	0.0002086	2.72e-06	8.4378888	5.12142	2.89949543	C16orf82	chromosome 16 open reading frame 82
8025476	0.0002124	2.84e-06	8.4031307	5.07983	1.008043	OR7E24	olfactory receptor family 7 subfamily E member 24
8180369	0.0002175	2.97e-06	8.3640149	5.03286	2.1324215	OR4N4	olfactory receptor family 4 subfamily N member 4
8107576	0.0002252	3.14e-06	8.319113	4.97872	3.89409043	FTMT	ferritin mitochondrial
8113573	0.0002256	3.17e-06	8.3104263	4.96822	2.06976514	TSSK1B	testis specific serine kinase 1B
7899898	0.000227	3.2e-06	8.3035764	4.95993	2.1124945	HMGB4	high mobility group box 4
7938208	0.0002336	3.36e-06	8.2625897	4.91021	1.56642654	RBMXL2	RNA binding motif protein, X-linked like 2
8140971	0.0002429	3.6e-06	-8.2050096	4.84003	-2.20430543	SAMD9L	sterile alpha motif domain containing 9 like
8160405	0.0002429	3.63e-06	-8.199812	4.83368	-1.23173393	KLHL9	kelch like family member 9
7898910	0.0002473	3.79e-06	-8.1630299	4.78861	-1.37286304	PNRC2	proline rich nuclear receptor coactivator 2
8039933	0.0002473	3.79e-06	-8.1630299	4.78861	-1.37286304	PNRC2	proline rich nuclear receptor coactivator 2
8024934	0.0002646	4.19e-06	8.082105	4.68886	2.73505068	ZNRF4	zinc and ring finger 4
8140967	0.0002646	4.2e-06	-8.0813545	4.68794	-2.25305775	SAMD9	sterile alpha motif domain containing 9
7948364	0.0002697	4.41e-06	-8.0418239	4.63891	-1.95878668	MPEG1	macrophage expressed 1
8163019	0.0002857	4.96e-06	7.9463589	4.51973	1.67352046	ACTL7B	actin like 7B
8051024	0.0002994	5.48e-06	7.8671217	4.41993	3.54383196	PRR30	proline rich 30
8157141	0.0003274	6.48e-06	7.735143	4.25192	4.36229279	ACTL7A	actin like 7A
8155332	0.000337	6.79e-06	7.6983847	4.20473	1.53423704	FAM220A	family with sequence similarity 220 member A
8174820	0.0003504	7.18e-06	-7.655172	4.14903	-0.98325939	C1GALT1C1	C1GALT1 specific chaperone 1
7897128	0.0003605	7.5e-06	7.6206951	4.10442	2.38475146	ACTRT2	actin related protein T2
7962194	0.0003655	7.73e-06	7.5978687	4.0748	1.37863496	H3F3C	H3 histone, family 3C
7954240	0.0003985	8.98e-06	7.4823379	3.92382	3.20786304	CAPZA3	capping actin protein of muscle Z-line alpha subunit 3
7927202	0.0004031	9.18e-06	-7.4654299	3.90158	-1.064276	ZNF22	zinc finger protein 22
8071196	0.000417	9.69e-06	7.4237007	3.84652	2.10024411	TSSK2	testis specific serine kinase 2
8125134	0.0004255	1e-05	7.3970747	3.81126	2.98955182	HSPA1L	heat shock protein family A (Hsp70) member 1 like
8178650	0.0004255	1e-05	7.3970747	3.81126	2.98955182	HSPA1L	heat shock protein family A (Hsp70) member 1 like
8179848	0.0004255	1e-05	7.3970747	3.81126	2.98955182	HSPA1L	heat shock protein family A (Hsp70) member 1 like
8167924	0.0004257	1.01e-05	-7.3932587	3.8062	-1.01282021	UBQLN2	ubiquilin 2
8008544	0.0004278	1.02e-05	7.3852519	3.79558	2.50907729	KIF2B	kinesin family member 2B
7926345	0.0004379	1.05e-05	7.3594328	3.76127	1.366223	RPP38	ribonuclease P/MRP subunit p38
7919088	0.0004618	1.17e-05	7.2807538	3.65614	2.94695925	ADAM30	ADAM metallopeptidase domain 30
8091255	0.0004865	1.27e-05	7.222306	3.57751	1.14008943	PAQR9	progestin and adipoQ receptor family member 9
8031686	0.0005042	1.36e-05	7.1668967	3.50254	1.24272261	USP29	ubiquitin specific peptidase 29
8103503	0.0005101	1.39e-05	7.1533482	3.48415	3.48923907	TKTL2	transketolase like 2
8108472	0.0005101	1.39e-05	-7.1532168	3.48397	-0.92852486	PURA	purine rich element binding protein A
8099841	0.0005443	1.52e-05	-7.0850364	3.39101	-0.97978775	TLR6	toll like receptor 6
8029318	0.0005743	1.65e-05	7.0267914	3.3111	3.30425925	IRGC	immunity related GTPase cinema
7955112	0.0005746	1.65e-05	7.0247951	3.30835	1.63733493	H1FNT	H1 histone family member N, testis specific
8180405	0.0005961	1.74e-05	6.9871251	3.25641	1.47393989	ARL4A	ADP ribosylation factor like GTPase 4A
8105481	0.0006512	1.97e-05	-6.8948125	3.12828	-0.92312011	GAPT	GRB2-binding adaptor protein, transmembrane
8124495	0.0006521	1.98e-05	6.8904837	3.12225	3.31292261	POM121L2	POM121 transmembrane nucleoporin like 2
8074591	0.000654	2e-05	6.886582	3.1168	2.1736525	RIMBP3	RIMS binding protein 3
8095484	0.0006592	2.03e-05	6.8758427	3.10181	2.96710711	CABS1	calcium binding protein, spermatid associated 1
8021344	0.0007051	2.24e-05	6.8038869	3.00092	2.91988054	BOD1L2	biorientation of chromosomes in cell division 1 like 2
8019828	0.0007051	2.24e-05	6.8035166	3.0004	2.89675871	CETN1	centrin 1
8100127	0.0007051	2.24e-05	6.8022522	2.99862	2.03450807	COX7B2	cytochrome c oxidase subunit 7B2
7969263	0.0007431	2.44e-05	-6.7411804	2.91241	-0.69281357	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2
7973745	0.0007968	2.7e-05	6.6689875	2.80982	2.23165639	FOXG1	forkhead box G1
7943282	0.0008222	2.83e-05	6.6354033	2.76185	3.37567546	KDM4D	lysine demethylase 4D
7961281	0.0008454	2.97e-05	-6.6017963	2.71368	-1.71993893	TAS2R50	taste 2 receptor member 50
8174253	0.0008454	2.98e-05	-6.5987146	2.70925	-1.07678129	MORF4L2	mortality factor 4 like 2
8142622	0.0008559	3.06e-05	6.5810163	2.68381	1.52636536	RNF148	ring finger protein 148
8012535	0.0008771	3.18e-05	6.5543856	2.64545	0.94677571	MFSD6L	major facilitator superfamily domain containing 6 like
7975406	0.0008825	3.21e-05	6.5476949	2.63579	1.89144868	ADAM21	ADAM metallopeptidase domain 21
7984001	0.000905	3.36e-05	6.5145343	2.58785	1.13513293	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
7981783	0.0009425	3.6e-05	6.4671777	2.51911	1.4312315	OR4N4	olfactory receptor family 4 subfamily N member 4
7965384	0.0010053	3.99e-05	6.3960256	2.41522	1.56514468	CCER1	coiled-coil glutamate rich protein 1
7905559	0.0010082	4.01e-05	6.3909103	2.40772	4.38698139	LELP1	late cornified envelope like proline rich 1
7983985	0.0010477	4.26e-05	6.3503567	2.34815	2.00421689	LDHAL6B	lactate dehydrogenase A like 6B
8059470	0.0010747	4.43e-05	-6.3229626	2.30778	-1.38190721	IRS1	insulin receptor substrate 1
7952309	0.0010777	4.45e-05	-6.3192601	2.30232	-1.02146396	BLID	BH3-like motif containing, cell death inducer
7968128	0.0011047	4.63e-05	6.2921501	2.26224	1.77802807	PABPC3	poly(A) binding protein cytoplasmic 3
8162920	0.0011157	4.73e-05	6.2782266	2.24162	2.86996711	PPP3R2	protein phosphatase 3 regulatory subunit B, beta
8166817	0.0011871	5.22e-05	6.2101792	2.14042	2.47237243	MPC1L	mitochondrial pyruvate carrier 1-like
7943521	0.0012032	5.32e-05	6.1982108	2.12255	1.56302396	DDI1	DNA damage inducible 1 homolog 1
7946082	0.0012184	5.42e-05	6.1846002	2.1022	2.60251071	UBQLNL	ubiquilin-like
8081462	0.0012576	5.68e-05	6.1535236	2.05565	2.51927893	CCDC54	coiled-coil domain containing 54
8053648	0.0012781	5.81e-05	-6.1376022	2.03174	-1.19996064	KRCC1	lysine rich coiled-coil 1
7979426	0.001285	5.89e-05	6.1291584	2.01905	0.88584418	GPR135	G protein-coupled receptor 135
8166098	0.0012991	5.99e-05	-6.1173506	2.00128	-0.92180111	RAB9A	RAB9A, member RAS oncogene family
8124391	0.0013231	6.14e-05	6.1005874	1.97602	1.24564396	HIST1H2AB	histone cluster 1, H2ab
7961287	0.0013761	6.5e-05	-6.0624928	1.91846	-1.58701711	TAS2R19	taste 2 receptor member 19
8086141	0.0014828	7.24e-05	-5.9898558	1.80813	-1.24302996	EPM2AIP1	EPM2A interacting protein 1
7983606	0.0014894	7.32e-05	-5.9824157	1.79679	-0.92202861	EID1	EP300 interacting inhibitor of differentiation 1
8056999	0.001568	7.92e-05	5.9305205	1.71743	1.22414825	TTC30A	tetratricopeptide repeat domain 30A
8022763	0.0016395	8.46e-05	5.8865767	1.64993	1.33940493	SLC25A52	solute carrier family 25 member 52
8074769	0.0016439	8.5e-05	5.883244	1.6448	1.8284855	RIMBP3	RIMS binding protein 3
8174228	0.0017349	9.29e-05	-5.8247803	1.55453	-1.07667143	TCEAL8	transcription elongation factor A like 8
8025296	0.0017509	9.43e-05	5.8147034	1.53892	0.78331239	TRAPPC5	trafficking protein particle complex 5
8092654	0.0017525	9.45e-05	5.8137564	1.53745	2.85021568	RPL39L	ribosomal protein L39 like
8052143	0.0017607	9.5e-05	-5.8102196	1.53197	-0.92429157	GPR75	G protein-coupled receptor 75
8174271	0.0018666	0.000104	-5.7488147	1.43648	-1.39221232	RAB9B	RAB9B, member RAS oncogene family
8108744	0.0018919	0.000107	-5.7306183	1.40808	-1.26509293	PCDHB14	protocadherin beta 14
8168868	0.0019919	0.000116	-5.6804785	1.32957	-1.11934064	ARMCX1	armadillo repeat containing, X-linked 1
8142618	0.0020509	0.000121	5.6539051	1.28782	1.51804964	RNF133	ring finger protein 133
8040980	0.0020602	0.000122	5.6490128	1.28012	1.92428418	C2orf16	chromosome 2 open reading frame 16
8151679	0.0020871	0.000124	5.6362058	1.25995	2.30955243	DCAF4L2	DDB1 and CUL4 associated factor 4 like 2
8138435	0.0021148	0.000127	5.6236176	1.2401	0.94779593	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1-like 1
8173181	0.0022673	0.00014	-5.5573896	1.13529	-0.89395011	SPIN3	spindlin family member 3
8137927	0.002305	0.000143	5.5432053	1.11276	3.10317375	PAPOLB	poly(A) polymerase beta
8175562	0.0023394	0.000147	5.5254581	1.08453	2.32665543	MAGEC2	MAGE family member C2
8112302	0.0023394	0.000148	-5.5245421	1.08307	-1.03196846	SMIM15	small integral membrane protein 15
8086048	0.0023807	0.000151	-5.5099952	1.0599	-1.13968543	TMPPE	transmembrane protein with metallophosphoesterase domain
7957242	0.0024193	0.000155	-5.4949687	1.03592	-0.86883264	ATXN7L3B	ataxin 7 like 3B
8139763	0.0024346	0.000156	5.488424	1.02547	1.042722	NUPR2	nuclear protein 2, transcriptional regulator
8116980	0.0024554	0.000158	5.4813002	1.01409	1.46893446	RNF182	ring finger protein 182
8173208	0.0024667	0.000159	-5.4771643	1.00748	-1.29235457	SPIN4	spindlin family member 4
7972548	0.0025184	0.000165	5.4542601	0.97082	1.76874839	GPR18	G protein-coupled receptor 18
7950804	0.0027048	0.000181	5.3934905	0.87318	0.66923886	CCDC89	coiled-coil domain containing 89
8099834	0.0027105	0.000182	-5.3918836	0.87059	-0.58938486	TLR1	toll like receptor 1
8132840	0.0027686	0.000187	5.3739652	0.8417	1.41907743	POM121L12	POM121 transmembrane nucleoporin like 12
8168968	0.0027989	0.000191	-5.3620753	0.8225	-1.03565654	GPRASP1	G protein-coupled receptor associated sorting protein 1
8007826	0.0028238	0.000193	5.3551201	0.81126	1.17660093	SPPL2C	signal peptide peptidase like 2C
8168083	0.0029323	0.000207	5.311795	0.74109	1.51766629	OTUD6A	OTU deubiquitinase 6A
8146685	0.0029491	0.000208	-5.3058149	0.73138	-1.1254985	RRS1	ribosome biogenesis regulator homolog
8167942	0.0030586	0.00022	-5.2734674	0.67879	-0.97557421	ZXDB	zinc finger, X-linked, duplicated B
8117368	0.0030738	0.000221	5.2685364	0.67076	1.51813014	HIST1H4C	histone cluster 1, H4c
7981525	0.0031045	0.000225	5.259174	0.65551	1.23897243	CDCA4	cell division cycle associated 4
8140909	0.0033445	0.000251	5.19058	0.54335	1.18032293	ERVW-1	endogenous retrovirus group W member 1
8020179	0.0033466	0.000251	-5.1898342	0.54213	-0.54993989	CHMP1B	charged multivesicular body protein 1B
8117510	0.0034276	0.00026	-5.1673096	0.50515	-0.76886725	HMGN4	high mobility group nucleosomal binding domain 4
7980044	0.0034759	0.000266	5.153647	0.48269	0.66969943	PNMA1	paraneoplastic Ma antigen 1
7976080	0.0035879	0.000278	-5.1262491	0.43756	-0.69466557	GPR65	G protein-coupled receptor 65
7962792	0.0036513	0.000285	5.1111739	0.41269	0.75762914	OR10AD1	olfactory receptor family 10 subfamily AD member 1
7958200	0.0037191	0.000293	5.094398	0.38497	1.56607582	EID3	EP300 interacting inhibitor of differentiation 3
7924163	0.0037572	0.000297	5.0850818	0.36957	1.08204139	FAM71A	family with sequence similarity 71 member A
8017259	0.0038153	0.000305	5.0699952	0.34459	1.90809714	NACA2	nascent polypeptide associated complex alpha subunit 2
8118655	0.0039	0.000315	5.0494437	0.31051	1.08043611	B3GALT4	beta-1,3-galactosyltransferase 4
8178264	0.0039	0.000315	5.0494437	0.31051	1.08043611	B3GALT4	beta-1,3-galactosyltransferase 4
8179555	0.0039	0.000315	5.0494437	0.31051	1.08043611	B3GALT4	beta-1,3-galactosyltransferase 4
7978795	0.0039089	0.000317	5.0464808	0.30559	0.91084218	RPL10L	ribosomal protein L10 like
8061224	0.0039863	0.000327	5.0263511	0.27215	1.28812436	SCP2D1	SCP2 sterol binding domain containing 1
8135064	0.0040014	0.00033	-5.021355	0.26384	-0.88182432	TRIM56	tripartite motif containing 56
8023598	0.0040519	0.000337	-5.0081446	0.24185	-1.97433204	RNF152	ring finger protein 152
7945040	0.0042974	0.000369	4.9536874	0.15097	1.0083645	HYLS1	HYLS1, centriolar and ciliogenesis associated
8010780	0.0046942	0.00042	4.8744183	0.01796	1.261829	TEX19	testis expressed 19
8036324	0.0047711	0.00043	-4.8598518	-0.00658	-1.46872793	ZNF260	zinc finger protein 260
8101253	0.0047827	0.000432	4.8571866	-0.01107	3.02935275	NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit
8024885	0.004836	0.000439	4.8476996	-0.02707	1.91814357	TNFAIP8L1	TNF alpha induced protein 8 like 1
8142765	0.0048958	0.000447	4.8375051	-0.04427	1.23278229	LRRC4	leucine rich repeat containing 4
8052200	0.0049718	0.000456	4.8244563	-0.06631	1.94099857	TSPYL6	TSPY like 6
7954124	0.0050239	0.000464	4.8148761	-0.08251	0.69632329	H2AFJ	H2A histone family member J
7975076	0.0050476	0.000466	4.8116089	-0.08803	2.51983393	HSPA2	heat shock protein family A (Hsp70) member 2
7933164	0.005093	0.000472	4.8043175	-0.10037	0.67939714	HNRNPF	heterogeneous nuclear ribonucleoprotein F
7924499	0.0051755	0.000484	-4.7894406	-0.12556	-0.62163275	TLR5	toll like receptor 5
8168875	0.0052236	0.000491	-4.7809987	-0.13987	-1.53182096	ARMCX3	armadillo repeat containing, X-linked 3
7946069	0.005301	0.0005	-4.7700807	-0.15839	-0.71170054	OR51B2	olfactory receptor family 51 subfamily B member 2 (gene/pseudogene)
8136641	0.0053022	0.0005	-4.7697497	-0.15896	-1.63871764	TAS2R3	taste 2 receptor member 3
7961249	0.0053309	0.000504	-4.764428	-0.16799	-1.28416725	TAS2R10	taste 2 receptor member 10
8101256	0.0053413	0.000506	4.7630667	-0.1703	3.20598296	GK2	glycerol kinase 2
8095539	0.0054164	0.000517	-4.7502698	-0.19204	-0.736561	UTP3	UTP3, small subunit processome component homolog (S. cerevisiae)
8094843	0.0056112	0.000541	4.7223255	-0.23958	2.80691446	DCAF4L1	DDB1 and CUL4 associated factor 4 like 1
7924884	0.0056456	0.000546	4.7168159	-0.24897	3.49381032	HIST3H3	histone cluster 3, H3
8166665	0.0057217	0.000557	4.7055081	-0.26824	0.59023436	FAM47B	family with sequence similarity 47 member B
8124331	0.0058858	0.000579	4.6824519	-0.3076	3.32040286	HIST1H2AA	histone cluster 1, H2aa
8084982	0.0059225	0.000584	-4.6769438	-0.31701	-0.66526539	NCBP2-AS2	NCBP2 antisense RNA 2 (head to head)
8090464	0.0062687	0.000637	4.6254754	-0.40513	1.07240361	DNAJB8	DnaJ heat shock protein family (Hsp40) member B8
8144721	0.0064795	0.000667	4.5980427	-0.45223	0.72283068	C8orf48	chromosome 8 open reading frame 48
8175574	0.0066786	0.000696	-4.5733284	-0.49475	-0.98920261	SLITRK4	SLIT and NTRK like family member 4
7944843	0.006876	0.000724	4.5499071	-0.53511	0.7161905	OR8A1	olfactory receptor family 8 subfamily A member 1
8172017	0.0070273	0.000747	4.531758	-0.56643	1.02005311	FAM47A	family with sequence similarity 47 member A
8108475	0.0070573	0.000751	-4.5285885	-0.5719	-1.20127232	IGIP	IgA inducing protein
8106597	0.0071177	0.000758	4.5227512	-0.58199	1.57724796	SPZ1	spermatogenic leucine zipper 1
8061944	0.0071667	0.000766	4.5165601	-0.59269	0.91729829	ACTL10	actin like 10
8180322	0.0079694	0.000891	4.4285418	-0.74529	1.65158436	KRTAP21-1	keratin associated protein 21-1
8168420	0.0080122	0.000897	4.4246331	-0.75209	1.30878657	ZCCHC13	zinc finger CCHC-type containing 13
7932528	0.0080582	0.000907	4.4180195	-0.7636	1.609489	EBLN1	endogenous Bornavirus-like nucleoprotein 1
8028186	0.0081619	0.000926	-4.4059135	-0.78467	-1.282623	ZNF146	zinc finger protein 146
7998055	0.0082474	0.000939	4.3975472	-0.79924	0.97765118	MC1R	melanocortin 1 receptor
7922646	0.0083475	0.000955	-4.3880763	-0.81575	-1.63319146	TOR1AIP2	torsin 1A interacting protein 2
7961295	0.0086392	0.000997	-4.3627958	-0.85986	-0.45112932	TAS2R43	taste 2 receptor member 43
8169009	0.0088603	0.00103	-4.3416062	-0.89689	-1.03878168	BEX4	brain expressed X-linked 4
8012837	0.0089526	0.00105	-4.3324079	-0.91298	-0.512501	PIRT	phosphoinositide interacting regulator of transient receptor potential channels
7953264	0.0089782	0.00105	4.3301571	-0.91692	0.46618868	KCNA6	potassium voltage-gated channel subfamily A member 6
8166703	0.0090421	0.00107	4.3239883	-0.92771	0.88814854	FAM47C	family with sequence similarity 47 member C
8170803	0.0090488	0.00107	-4.3225222	-0.93028	-0.55431125	TMEM187	transmembrane protein 187
8033662	0.0092454	0.0011	4.3059874	-0.95924	1.1429565	ACTL9	actin like 9
8086600	0.0093147	0.00111	-4.2997761	-0.97013	-0.83262496	CCR1	C-C motif chemokine receptor 1
7969222	0.0094786	0.00114	4.2846586	-0.99665	0.81592039	CCDC70	coiled-coil domain containing 70
8166611	0.0096125	0.00116	4.2728093	-1.01745	2.04909121	MAGEB2	MAGE family member B2
8169022	0.0096353	0.00117	-4.2704399	-1.02161	-1.03091843	TCEAL9	transcription elongation factor A like 9
8163505	0.0097181	0.00118	-4.2642166	-1.03254	-0.9811765	HDHD3	haloacid dehalogenase like hydrolase domain containing 3
7923034	0.0097231	0.00118	-4.2634285	-1.03392	-0.99408782	B3GALT2	beta-1,3-galactosyltransferase 2
8124534	0.0099859	0.00123	4.2409432	-1.07345	1.09715961	HIST1H4L	histone cluster 1, H4l
8167601	0.0104399	0.00131	-4.2061149	-1.13479	-0.66536475	USP27X	ubiquitin specific peptidase 27, X-linked
8169049	0.010588	0.00134	-4.1933672	-1.15727	-1.09450829	TCEAL1	transcription elongation factor A like 1
7961285	0.010588	0.00134	-4.1933517	-1.1573	-1.64202882	TAS2R20	taste 2 receptor member 20
7927767	0.0108201	0.00138	4.176674	-1.18673	0.79423396	ADO	2-aminoethanethiol dioxygenase
8171896	0.0111026	0.00143	-4.1532187	-1.22817	-0.47155529	CXorf21	chromosome X open reading frame 21
8099235	0.0111066	0.00144	-4.1527437	-1.22901	-0.62192682	MRFAP1L1	Morf4 family associated protein 1 like 1
8112668	0.0111988	0.00145	-4.1461605	-1.24066	-1.19852107	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2
8172030	0.0114026	0.00149	4.1322114	-1.26534	0.68914754	FTH1P18	ferritin heavy chain 1 pseudogene 18
7943288	0.0115631	0.00152	-4.120113	-1.28676	-0.73753793	SRSF8	serine and arginine rich splicing factor 8
8078380	0.0115999	0.00153	-4.1171555	-1.292	-1.18863661	ZNF860	zinc finger protein 860
8074196	0.0116858	0.00155	4.1101944	-1.30433	0.70496846	CCT8L2	chaperonin containing TCP1 subunit 8 like 2
8151436	0.011861	0.00158	-4.097967	-1.32601	-0.97062839	PEX2	peroxisomal biogenesis factor 2
8115600	0.0119456	0.0016	-4.0922486	-1.33615	-0.77270925	ZBED8	zinc finger BED-type containing 8
8021707	0.0119526	0.0016	-4.091531	-1.33742	-0.68622029	SOCS6	suppressor of cytokine signaling 6
7961291	0.0121871	0.00164	-4.0766391	-1.36385	-1.61372482	TAS2R31	taste 2 receptor member 31
8117339	0.0122295	0.00165	4.0739043	-1.3687	0.75735371	HIST1H3C	histone cluster 1, H3c
7971565	0.0123192	0.00167	-4.0668369	-1.38125	-1.56782011	LPAR6	lysophosphatidic acid receptor 6
8004081	0.0128694	0.00178	-4.0311518	-1.44469	-0.40088318	ZFP3	ZFP3 zinc finger protein
8006409	0.01329	0.00185	4.0088469	-1.48439	0.87346718	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1
8124388	0.0135926	0.00191	3.9910266	-1.51614	2.39284779	HIST1H3B	histone cluster 1, H3b
8117301	0.0138614	0.00196	3.9743641	-1.54586	2.99266186	HIST1H2BA	histone cluster 1, H2ba
8112592	0.013863	0.00197	3.9739365	-1.54662	0.69637718	FOXD1	forkhead box D1
8083457	0.0140953	0.00201	-3.9611985	-1.56935	-0.86608007	RAP2B	RAP2B, member of RAS oncogene family
8139430	0.014378	0.00208	-3.9432459	-1.60141	-0.48810454	PURB	purine rich element binding protein B
7938010	0.0144467	0.00209	-3.9397315	-1.60769	-0.384567	OR52B6	olfactory receptor family 52 subfamily B member 6
8124484	0.0150318	0.0022	3.9102413	-1.66041	1.24088457	HIST1H2BJ	histone cluster 1, H2bj
8051989	0.0152816	0.00225	3.8977344	-1.68279	1.12382057	ATP6V1E2	ATPase H+ transporting V1 subunit E2
7922243	0.0153567	0.00226	-3.8942853	-1.68897	-0.80799175	METTL18	methyltransferase like 18
8117537	0.0154466	0.00229	3.8888426	-1.69871	0.89188793	HIST1H4I	histone cluster 1, H4i
8169683	0.0160581	0.00242	-3.8577186	-1.75447	-0.70090657	ZBTB33	zinc finger and BTB domain containing 33
8124385	0.0162109	0.00245	3.8499997	-1.76831	0.87127046	HIST1H4B	histone cluster 1, H4b
7979927	0.0162474	0.00246	3.8475609	-1.77269	0.86523657	ADAM20	ADAM metallopeptidase domain 20
8166571	0.0164175	0.0025	3.8383861	-1.78915	1.43599479	MAGEB6	MAGE family member B6
8038624	0.0165539	0.00253	3.831647	-1.80124	0.88412921	C19orf48	chromosome 19 open reading frame 48
7981322	0.0165976	0.00254	3.8298349	-1.80449	0.51758225	RTL1	retrotransposon-like 1
8119386	0.0167217	0.00257	3.8233518	-1.81613	3.12147875	TDRG1	testis development related 1 (non-protein coding)
7930205	0.0173097	0.00269	-3.7969138	-1.86361	-0.658813	RPEL1	ribulose-5-phosphate-3-epimerase like 1
8171034	0.0175675	0.00275	-3.7846546	-1.88564	-1.11958964	SPRY3	sprouty RTK signaling antagonist 3
8176955	0.0175675	0.00275	-3.7846546	-1.88564	-1.11958964	SPRY3	sprouty RTK signaling antagonist 3
8117395	0.0177016	0.00278	3.778901	-1.89598	1.28759732	HIST1H2BF	histone cluster 1, H2bf
8122334	0.017941	0.00283	-3.7682246	-1.91518	-1.74414125	ACKR4	atypical chemokine receptor 4
7961275	0.0179469	0.00284	-3.7677501	-1.91604	-1.228966	TAS2R13	taste 2 receptor member 13
8136965	0.0179649	0.00284	3.7668284	-1.91769	1.39314821	OR6B1	olfactory receptor family 6 subfamily B member 1
8168546	0.0180073	0.00285	3.7647493	-1.92143	0.46753511	FAM46D	family with sequence similarity 46 member D
8168855	0.0180383	0.00286	-3.7633649	-1.92392	-1.05943271	ARMCX4	armadillo repeat containing, X-linked 4
8166745	0.0181044	0.00288	3.7600644	-1.92986	0.96566743	HYPM	huntingtin interacting protein M
8098690	0.0183449	0.00293	3.7499408	-1.94808	0.53838211	ZFP42	ZFP42 zinc finger protein
7960874	0.0183667	0.00294	-3.748754	-1.95021	-1.1090635	C3AR1	complement component 3a receptor 1
7995712	0.0184554	0.00296	-3.7446245	-1.95765	-0.75904318	CAPNS2	calpain small subunit 2
8173600	0.0185912	0.00299	-3.7387272	-1.96826	-0.95950543	NAP1L2	nucleosome assembly protein 1 like 2
7961483	0.0195503	0.00321	-3.6996374	-2.03868	-0.50891132	HIST4H4	histone cluster 4, H4
8168650	0.0196794	0.00323	-3.694849	-2.04731	-0.91620043	PABPC5	poly(A) binding protein cytoplasmic 5
7969050	0.0197866	0.00326	-3.6906041	-2.05496	-0.81077475	CYSLTR2	cysteinyl leukotriene receptor 2
