ID	Seqname	Position	Strand	Condition	ConditionNum	GeneName	GeneBiotype	Region	RBPNum	miRNANum	SplicingSiteNum	SNPNum	CellLine	CellLineNum	Technique	TechniqueNum	Quantification
m6A_hg38_102538	chr12	106978211	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl	3	MTERF2	protein_coding	Exon	0	0	0	0	MOLM13;CD8T;A549	3	miCLIP ;m6A-CLIP-seq;m6A-seq with improved protocol	3	1
m6A_hg38_102539	chr12	106978235	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl	3	MTERF2	protein_coding	Exon	2	0	0	0	CD8T;A549	2	m6A-CLIP-seq;m6A-seq with improved protocol	2	1
m6A_hg38_102541	chr12	106978441	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE134103;miCLIP;Homo_sapiens;HeLa;caRNA|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl	7	MTERF2	protein_coding	Exon	6	0	0	0	CD8T;A549;HeLa;HEK293E	4	m6A-CLIP-seq;m6A-seq with improved protocol;miCLIP ;m6A-SAC-seq	4	1
m6A_hg38_102542	chr12	106978457	-	GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	3	MTERF2	protein_coding	Exon	5	0	0	0	A549;HEK293E	2	m6A-seq with improved protocol;miCLIP 	2	1
m6A_hg38_102544	chr12	106978571	-	GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	2	MTERF2	protein_coding	Exon	1	0	0	0	LNCaP;RWPE	2	miCLIP 	1	1
m6A_hg38_102545	chr12	106978573	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	MTERF2	protein_coding	Exon	1	0	0	0	HEK293T;HEK293E	2	miCLIP 	1	1
m6A_hg38_102546	chr12	106978598	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	MTERF2	protein_coding	Exon	1	0	0	0	CD8T;HEK293E	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_102547	chr12	106978634	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl	2	MTERF2	protein_coding	Exon	0	0	0	0	CD8T;HEK293T	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_102549	chr12	106987056	-	GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	3	MTERF2	protein_coding	5'UTR/Exon	7	0	1	0	HEK293T;HEK293E	2	miCLIP2;miCLIP 	2	1
m6A_hg38_103790	chr12	116860022	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	HRK	protein_coding	3'UTR/Exon	0	0	0	0	HEK293T;HEK293E	2	miCLIP 	1	1
m6A_hg38_10391	chr1	89933372	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	3	LRRC8D	protein_coding	Exon	11	0	0	1	HeLa;HEK293E	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10393	chr1	89933487	+	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	4	LRRC8D	protein_coding	Exon	2	0	0	1	HEK293T;LNCaP;RWPE;HEK293E	4	miCLIP 	1	1
m6A_hg38_10395	chr1	89933585	+	GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	2	LRRC8D	protein_coding	Exon	19	0	0	0	LNCaP;RWPE	2	miCLIP 	1	1
m6A_hg38_10396	chr1	89933610	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl	2	LRRC8D	protein_coding	Exon	7	0	0	0	CD8T;A549	2	m6A-CLIP-seq	1	1
m6A_hg38_10398	chr1	89933650	+	GSE125240;m6A-REF-seq;Homo_sapiens;HEK293;Ctrl|GSE125240;m6A-REF-seq;Homo_sapiens;Brain;Ctrl|GSE125240;m6A-REF-seq;Homo_sapiens;Kidney;Ctrl|GSE125240;m6A-REF-seq;Homo_sapiens;Liver;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE151028;m6A-REF-seq;Homo_sapiens;HEK293T;Ctrl	8	LRRC8D	protein_coding	Exon	5	0	0	0	HEK293 ;Brain;Kidney;Liver;CD8T;HEK293T;HEK293E	7	m6A-REF-seq;m6A-CLIP-seq;miCLIP 	3	1
m6A_hg38_10400	chr1	89933765	+	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HepG2;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d6	4	LRRC8D	protein_coding	Exon	3	0	0	1	HEK293T;HeLa;HepG2;HSPC	4	miCLIP ;m6A-SAC-seq	2	1
m6A_hg38_10403	chr1	89933973	+	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE63753;miCLIP;Homo_sapiens;HEK293;sysy_antinbody|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl	9	LRRC8D	protein_coding	Exon	3	0	0	0	MOLM13;HEK293 ;CD8T;HEK293T;LNCaP;RWPE;HEK293E;HeLa	8	miCLIP ;m6A-CLIP-seq;m6A-SAC-seq	3	1
m6A_hg38_10404	chr1	89933986	+	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	5	LRRC8D	protein_coding	Exon	2	0	0	0	MOLM13;CD8T;A549;HEK293T;HEK293E	5	miCLIP ;m6A-CLIP-seq	2	1
m6A_hg38_10405	chr1	89934002	+	GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE134103;miCLIP;Homo_sapiens;HeLa;ribominuse	3	LRRC8D	protein_coding	Exon	4	0	0	0	LNCaP;RWPE;HeLa	3	miCLIP 	1	1
m6A_hg38_10406	chr1	89934044	+	GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	2	LRRC8D	protein_coding	Exon	5	0	0	0	LNCaP;RWPE	2	miCLIP 	1	1
m6A_hg38_10407	chr1	89934051	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	LRRC8D	protein_coding	Exon	2	0	0	0	CD8T;HEK293E	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10409	chr1	89934339	+	GSE125780;DART-seq;Homo_sapiens;HEK293T;Ctrl|GSE131316;m6A-label-seq ;Homo_sapiens;HEK293T;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d9	3	LRRC8D	protein_coding	Exon	8	0	0	0	HEK293T;HSPC	2	DART-seq;m6A-label-seq ;m6A-SAC-seq	3	1
m6A_hg38_10411	chr1	89934403	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE125780;DART-seq;Homo_sapiens;HEK293T;Ctrl	2	LRRC8D	protein_coding	Exon	5	0	0	0	CD8T;HEK293T	2	m6A-CLIP-seq;DART-seq	2	1
m6A_hg38_10414	chr1	89934434	+	GSE125240;m6A-REF-seq;Homo_sapiens;Brain;Ctrl|GSE125240;m6A-REF-seq;Homo_sapiens;Kidney;Ctrl|GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE134103;miCLIP;Homo_sapiens;HeLa;ribominuse|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d3	11	LRRC8D	protein_coding	Exon	4	0	0	0	Brain;Kidney;MOLM13;CD8T;A549;LNCaP;RWPE;HeLa;HEK293T;HSPC	10	m6A-REF-seq;miCLIP ;m6A-CLIP-seq;miCLIP2;m6A-SAC-seq	5	1
m6A_hg38_10415	chr1	89934445	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	LRRC8D	protein_coding	Exon	4	0	0	0	CD8T;HEK293E	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10416	chr1	89934477	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	4	LRRC8D	protein_coding	Exon	2	0	0	0	HeLa;HEK293T;HEK293E	3	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10418	chr1	89934562	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	4	LRRC8D	protein_coding	Exon	4	0	0	0	HeLa;HEK293T;LNCaP;RWPE	4	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10419	chr1	89934605	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d3	4	LRRC8D	protein_coding	Exon	3	0	0	0	A549;HEK293T;HeLa;HSPC	4	m6A-CLIP-seq;miCLIP ;m6A-SAC-seq	3	1
m6A_hg38_10421	chr1	89934656	+	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HEK293;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HepG2;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d0|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d3|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d9	14	LRRC8D	protein_coding	Exon	3	0	0	0	MOLM13;CD8T;HEK293T;LNCaP;RWPE;HEK293E;HeLa;HEK293 ;HepG2;HSPC	10	miCLIP ;m6A-CLIP-seq;m6A-SAC-seq	3	1
m6A_hg38_10423	chr1	89934783	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	7	LRRC8D	protein_coding	Exon	2	0	0	0	CD8T;HEK293T;LNCaP;RWPE;HEK293E	5	m6A-CLIP-seq;miCLIP ;miCLIP2	3	1
m6A_hg38_10424	chr1	89934792	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122961;MAZTER-seq;Homo_sapiens;HEK293T;AlKBH5 OE|GSE122961;MAZTER-seq;Homo_sapiens;ESC;Ctrl|GSE122961;MAZTER-seq;Homo_sapiens;ESC;FTO_KO	4	LRRC8D	protein_coding	Exon	2	0	0	0	CD8T;HEK293T;ESC	3	m6A-CLIP-seq;MAZTER-seq	2	1
m6A_hg38_10425	chr1	89934808	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;PCIF1_KO|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE162357;m6A-SAC-seq;Homo_sapiens;HeLa;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d0	10	LRRC8D	protein_coding	Exon	7	0	0	0	HeLa;CD8T;HEK293T;A549;LNCaP;RWPE;HEK293E;HSPC	8	m6A-CLIP-seq;miCLIP ;m6A-seq with improved protocol;m6A-SAC-seq	4	1
m6A_hg38_10429	chr1	89934930	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl	2	LRRC8D	protein_coding	Exon	2	0	0	0	CD8T;A549	2	m6A-CLIP-seq	1	1
m6A_hg38_10430	chr1	89934940	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE134103;miCLIP;Homo_sapiens;HeLa;mRNA|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	5	LRRC8D	protein_coding	Exon	3	0	0	0	CD8T;HEK293T;HeLa;HEK293E	4	m6A-CLIP-seq;miCLIP ;miCLIP2	3	1
m6A_hg38_10431	chr1	89934954	+	GSE63753;miCLIP;Homo_sapiens;HEK293;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin|GSE151028;m6A-REF-seq;Homo_sapiens;HEK293T;Ctrl	7	LRRC8D	protein_coding	Exon	2	0	0	0	HEK293 ;CD8T;A549;LNCaP;RWPE;HEK293E;HEK293T	7	miCLIP ;m6A-CLIP-seq;m6A-REF-seq	3	1
m6A_hg38_10432	chr1	89934991	+	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE54921;PA-m6A-seq;Homo_sapiens;HeLa;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	4	LRRC8D	protein_coding	Exon	11	0	0	0	CD8T;HeLa;HEK293E	3	m6A-CLIP-seq;PA-m6A-seq;miCLIP 	3	1
m6A_hg38_10433	chr1	89934999	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE54921;PA-m6A-seq;Homo_sapiens;HeLa;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	9	LRRC8D	protein_coding	Exon	11	0	0	0	HeLa;CD8T;A549;HEK293T;LNCaP;RWPE;HEK293E	7	m6A-CLIP-seq;miCLIP ;PA-m6A-seq	3	1
m6A_hg38_10434	chr1	89935054	+	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	7	LRRC8D	protein_coding	Exon	3	0	0	0	MOLM13;HeLa;CD8T;A549;HEK293T;LNCaP;RWPE	7	miCLIP ;m6A-CLIP-seq	2	1
m6A_hg38_10435	chr1	89935074	+	GSE86336;m6A-CLIP-seq;Homo_sapiens;HeLa;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl	3	LRRC8D	protein_coding	Exon	3	0	0	0	HeLa;CD8T;HEK293T	3	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_10437	chr1	89935117	+	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl	3	LRRC8D	protein_coding	Exon	2	0	0	0	MOLM13;CD8T;A549	3	miCLIP ;m6A-CLIP-seq	2	1
