GeneName	count	Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Transcript count	Transcript length (including UTRs and CDS)	Length/#Mod
MCM3AP-AS1	13	ENSG00000215424	ENSG00000215424.11	21	46228394	46284359	1	MCM3AP-AS1	22	501	38.53846153846154
SLC9A3-AS1	35	ENSG00000225138	ENSG00000225138.8	5	473236	480884	1	SLC9A3-AS1	13	1357	38.77142857142857
MT-CO1	39	ENSG00000198804	ENSG00000198804.2	MT	5904	7445	1	MT-CO1	1	1542	39.53846153846154
CALR	48	ENSG00000179218	ENSG00000179218.15	19	12938578	12944489	1	CALR	8	1901	39.604166666666664
MAP3K14	2	ENSG00000282637	ENSG00000282637.1	HSCHR17_2_CTG5	7463	7543	-1	MAP3K14	2	81	40.5
PTRH2	18	ENSG00000141378	ENSG00000141378.15	17	59674636	59707626	-1	PTRH2	5	731	40.611111111111114
ATP6V0E2-AS1	11	ENSG00000204934	ENSG00000204934.11	7	149867694	149880610	-1	ATP6V0E2-AS1	10	451	41.0
COPS9	10	ENSG00000172428	ENSG00000172428.11	2	240126563	240136807	-1	COPS9	5	418	41.8
ATP5IF1	12	ENSG00000285390	ENSG00000285390.2	HSCHR1_8_CTG3	29753	40550	1	ATP5IF1	4	503	41.916666666666664
RPL27	12	ENSG00000131469	ENSG00000131469.15	17	42998273	43002959	1	RPL27	8	505	42.083333333333336
RPS29	7	ENSG00000213741	ENSG00000213741.11	14	49570984	49599164	-1	RPS29	8	295	42.142857142857146
METTL9	20	ENSG00000284548	ENSG00000284548.3	HG926_PATCH	1449399	1505023	-1	METTL9	2	846	42.3
SERPINF1	6	ENSG00000282307	ENSG00000282307.1	HSCHR17_1_CTG2	190908	195943	1	SERPINF1	4	254	42.333333333333336
MT-ND4L	7	ENSG00000212907	ENSG00000212907.2	MT	10470	10766	1	MT-ND4L	1	297	42.42857142857143
KLK3	34	ENSG00000142515	ENSG00000142515.16	19	50854915	50860764	1	KLK3	15	1464	43.05882352941177
RPL19	17	ENSG00000108298	ENSG00000108298.12	17	39200283	39204840	1	RPL19	13	737	43.35294117647059
MRPL36	14	ENSG00000171421	ENSG00000171421.13	5	1798385	1801366	-1	MRPL36	5	609	43.5
GAS5	16	ENSG00000234741	ENSG00000234741.11	1	173851424	173868940	-1	GAS5	177	697	43.5625
RPS5	17	ENSG00000083845	ENSG00000083845.9	19	58386400	58394806	1	RPS5	9	741	43.588235294117645
RPS25	11	ENSG00000280831	ENSG00000280831.3	HG2217_PATCH	37312	40291	-1	RPS25	6	483	43.90909090909091
HOXB7	31	ENSG00000260027	ENSG00000260027.5	17	48607232	48633572	-1	HOXB7	3	1363	43.96774193548387
ASB16-AS1	8	ENSG00000267080	ENSG00000267080.9	17	44157293	44187180	-1	ASB16-AS1	37	352	44.0
RMRP	6	ENSG00000277027	ENSG00000277027.1	9	35657754	35658017	-1	RMRP	1	264	44.0
DEAF1	11	ENSG00000282712	ENSG00000282712.1	HSCHR11_1_CTG8	176113	206708	-1	DEAF1	7	485	44.09090909090909
LINC02593	23	ENSG00000223764	ENSG00000223764.3	1	916865	925614	-1	LINC02593	8	1015	44.130434782608695
TXNDC12	32	ENSG00000117862	ENSG00000117862.14	1	52020131	52055772	-1	TXNDC12	6	1416	44.25
GDF15	27	ENSG00000130513	ENSG00000130513.7	19	18374731	18389176	1	GDF15	5	1200	44.44444444444444
PFN1	18	ENSG00000108518	ENSG00000108518.8	17	4945652	4949061	-1	PFN1	3	807	44.833333333333336
HSP90AB1	56	ENSG00000096384	ENSG00000096384.20	6	44246166	44253888	1	HSP90AB1	4	2555	45.625
RPL3	28	ENSG00000100316	ENSG00000100316.16	22	39312882	39320389	-1	RPL3	18	1296	46.285714285714285
GNAS	40	ENSG00000087460	ENSG00000087460.29	20	58839718	58911192	1	GNAS	77	1854	46.35
EBLN3P	29	ENSG00000281649	ENSG00000281649.4	9	37034202	37090928	1	EBLN3P	33	1354	46.689655172413794
DBI	12	ENSG00000155368	ENSG00000155368.18	2	119366924	119372550	1	DBI	11	564	47.0
NDUFS3	19	ENSG00000213619	ENSG00000213619.11	11	47565336	47584562	1	NDUFS3	15	894	47.05263157894737
HSP90B1	59	ENSG00000166598	ENSG00000166598.16	12	103930107	103953931	1	HSP90B1	35	2782	47.152542372881356
P4HB	51	ENSG00000185624	ENSG00000185624.16	17	81843159	81860856	-1	P4HB	72	2437	47.78431372549019
FKBP2	12	ENSG00000173486	ENSG00000173486.14	11	64241003	64244132	1	FKBP2	6	574	47.833333333333336
RPS16	13	ENSG00000105193	ENSG00000105193.9	19	39433137	39435949	-1	RPS16	8	631	48.53846153846154
RPL8	22	ENSG00000161016	ENSG00000161016.18	8	144789765	144792587	-1	RPL8	14	1070	48.63636363636363
SNHG16	17	ENSG00000163597	ENSG00000163597.18	17	76557191	76714384	1	SNHG16	69	827	48.64705882352941
OPN3	54	ENSG00000054277	ENSG00000054277.14	1	241590102	241677376	-1	OPN3	7	2628	48.666666666666664
UBC	45	ENSG00000150991	ENSG00000150991.16	12	124911604	124917368	-1	UBC	13	2193	48.733333333333334
TUBB4B	32	ENSG00000188229	ENSG00000188229.6	9	137241287	137243707	1	TUBB4B	2	1563	48.84375
ATP5F1B	36	ENSG00000110955	ENSG00000110955.9	12	56638175	56645984	-1	ATP5F1B	11	1759	48.861111111111114
CCT3	40	ENSG00000163468	ENSG00000163468.15	1	156308968	156367873	-1	CCT3	16	1977	49.425
HSPA8	45	ENSG00000109971	ENSG00000109971.14	11	123057489	123063230	-1	HSPA8	24	2264	50.31111111111111
RPL39P5	3	ENSG00000214289	ENSG00000214289.3	3	134351939	134352089	-1	RPL39P5	1	151	50.333333333333336
RNA5-8SP6	3	ENSG00000251705	ENSG00000251705.1	Y	10200155	10200306	1	RNA5-8SP6	1	152	50.666666666666664
MRFAP1	31	ENSG00000179010	ENSG00000179010.16	4	6640091	6642729	1	MRFAP1	4	1574	50.774193548387096
COX4I1	15	ENSG00000131143	ENSG00000131143.10	16	85798633	85807068	1	COX4I1	18	763	50.86666666666667
DYNLL1	13	ENSG00000088986	ENSG00000088986.11	12	120469850	120498493	1	DYNLL1	11	663	51.0
TMSB10	9	ENSG00000034510	ENSG00000034510.6	2	84905656	84906671	1	TMSB10	1	461	51.22222222222222
RPL13A	22	ENSG00000142541	ENSG00000142541.18	19	49487510	49493057	1	RPL13A	22	1127	51.22727272727273
HSP90AA1	63	ENSG00000080824	ENSG00000080824.19	14	102080742	102139699	-1	HSP90AA1	10	3228	51.23809523809524
TRIR	17	ENSG00000123144	ENSG00000123144.11	19	12730640	12734684	-1	TRIR	5	879	51.705882352941174
ATP5F1EP2	3	ENSG00000180389	ENSG00000180389.7	13	27945260	27945415	1	ATP5F1EP2	1	156	52.0
RTL8A	23	ENSG00000203950	ENSG00000203950.7	X	135050932	135052196	-1	RTL8A	4	1204	52.34782608695652
CDKN2C	19	ENSG00000123080	ENSG00000123080.12	1	50960745	50974634	1	CDKN2C	3	995	52.36842105263158
MRPS34	19	ENSG00000074071	ENSG00000074071.15	16	1771890	1773150	-1	MRPS34	3	998	52.526315789473685
DDIT4	33	ENSG00000168209	ENSG00000168209.6	10	72273919	72276036	1	DDIT4	5	1744	52.84848484848485
BCCIP	23	ENSG00000107949	ENSG00000107949.17	10	125823546	125853695	1	BCCIP	5	1234	53.65217391304348
ENO1	33	ENSG00000074800	ENSG00000074800.16	1	8861000	8879190	-1	ENO1	16	1781	53.96969696969697
SMIM26	9	ENSG00000232388	ENSG00000232388.5	20	18567347	18569563	1	SMIM26	3	490	54.44444444444444
MRPL34	14	ENSG00000130312	ENSG00000130312.7	19	17292609	17306843	1	MRPL34	6	764	54.57142857142857
RPL34	10	ENSG00000109475	ENSG00000109475.18	4	108620569	108630484	1	RPL34	7	546	54.6
SLC39A11	9	ENSG00000282291	ENSG00000282291.1	HSCHR17_9_CTG4	4470	16476	-1	SLC39A11	11	492	54.666666666666664
HM13	31	ENSG00000101294	ENSG00000101294.20	20	31514428	31577923	1	HM13	24	1715	55.32258064516129
PRDX1	17	ENSG00000117450	ENSG00000117450.15	1	45510914	45542732	-1	PRDX1	6	945	55.588235294117645
PITPNA-AS1	12	ENSG00000236618	ENSG00000236618.4	17	1516815	1518106	1	PITPNA-AS1	1	668	55.666666666666664
MED11	15	ENSG00000161920	ENSG00000161920.11	17	4731428	4733608	1	MED11	4	836	55.733333333333334
GAPDH	23	ENSG00000111640	ENSG00000111640.15	12	6534512	6538374	1	GAPDH	11	1285	55.869565217391305
NDUFB10	12	ENSG00000291930	ENSG00000291930.1	HG401_PATCH	25686	28123	1	NDUFB10	5	675	56.25
RPL35	8	ENSG00000136942	ENSG00000136942.15	9	124857880	124861981	-1	RPL35	6	452	56.5
DPM2	16	ENSG00000136908	ENSG00000136908.18	9	127935099	127937854	-1	DPM2	5	912	57.0
ZNF503-AS2	13	ENSG00000237149	ENSG00000237149.6	10	75400962	75408982	1	ZNF503-AS2	19	748	57.53846153846154
H2AC6	9	ENSG00000180573	ENSG00000180573.10	6	26124145	26139116	1	H2AC6	3	519	57.666666666666664
SARS1	33	ENSG00000031698	ENSG00000031698.13	1	109213918	109238182	1	SARS1	6	1914	58.0
MRPS2	25	ENSG00000122140	ENSG00000122140.13	9	135499984	135504673	1	MRPS2	8	1458	58.32
TGOLN2	39	ENSG00000292253	ENSG00000292253.1	HSCHR2_6_CTG1	244268	254489	-1	TGOLN2	5	2276	58.35897435897436
RPL18	11	ENSG00000063177	ENSG00000063177.13	19	48615328	48619184	-1	RPL18	16	643	58.45454545454545
LINC02693	20	ENSG00000212719	ENSG00000212719.16	17	21428263	21574517	-1	LINC02693	39	1172	58.6
CSTB	10	ENSG00000160213	ENSG00000160213.10	21	43772511	43776330	-1	CSTB	4	588	58.8
CENPX	13	ENSG00000169689	ENSG00000169689.15	17	82018702	82024107	-1	CENPX	11	765	58.84615384615385
NINJ1	21	ENSG00000131669	ENSG00000131669.10	9	93121496	93134251	-1	NINJ1	5	1237	58.904761904761905
MYL6	12	ENSG00000092841	ENSG00000092841.19	12	56158346	56163496	1	MYL6	21	708	59.0
PPDPF	14	ENSG00000125534	ENSG00000125534.11	20	63520754	63527076	1	PPDPF	5	827	59.07142857142857
EIF3I	24	ENSG00000084623	ENSG00000084623.12	1	32221077	32245397	1	EIF3I	44	1421	59.208333333333336
RNA5SP202	2	ENSG00000201185	ENSG00000201185.1	6	4427963	4428081	1	RNA5SP202	1	119	59.5
HCFC1R1	11	ENSG00000103145	ENSG00000103145.11	16	3022625	3024286	-1	HCFC1R1	9	656	59.63636363636363
RPS21	6	ENSG00000171858	ENSG00000171858.18	20	62387103	62388520	1	RPS21	5	358	59.666666666666664
UQCRH	9	ENSG00000173660	ENSG00000173660.12	1	46303698	46316776	1	UQCRH	5	537	59.666666666666664
COX6A1	9	ENSG00000111775	ENSG00000111775.3	12	120438090	120440737	1	COX6A1	3	537	59.666666666666664
OAZ1	18	ENSG00000104904	ENSG00000104904.13	19	2269509	2273492	1	OAZ1	23	1075	59.72222222222222
CYREN	25	ENSG00000122783	ENSG00000122783.17	7	135092363	135170795	-1	CYREN	14	1494	59.76
C19orf53	15	ENSG00000104979	ENSG00000104979.9	19	13774456	13778773	1	C19orf53	6	897	59.8
RPS8	13	ENSG00000142937	ENSG00000142937.12	1	44775251	44778779	1	RPS8	8	778	59.84615384615385
MRPL51	15	ENSG00000111639	ENSG00000111639.8	12	6491886	6493841	-1	MRPL51	7	898	59.86666666666667
PHB2	23	ENSG00000215021	ENSG00000215021.10	12	6965327	6970780	-1	PHB2	20	1379	59.95652173913044
RNA5SP77	2	ENSG00000202264	ENSG00000202264.1	1	227561181	227561300	1	RNA5SP77	1	120	60.0
KLHDC4	32	ENSG00000104731	ENSG00000104731.14	16	87696485	87765992	-1	KLHDC4	27	1924	60.125
STMN1	24	ENSG00000117632	ENSG00000117632.23	1	25884181	25906991	-1	STMN1	9	1443	60.125
WTAP	35	ENSG00000146457	ENSG00000146457.16	6	159725585	159756319	1	WTAP	8	2105	60.142857142857146
ILF3	100	ENSG00000129351	ENSG00000129351.18	19	10654304	10692400	1	ILF3	23	6017	60.17
CTSC	31	ENSG00000109861	ENSG00000109861.17	11	88265069	88359684	-1	CTSC	31	1870	60.32258064516129
TRIAP1	19	ENSG00000170855	ENSG00000170855.4	12	120443964	120446384	-1	TRIAP1	2	1151	60.578947368421055
ATP5ME	5	ENSG00000169020	ENSG00000169020.10	4	672436	674330	-1	ATP5ME	5	303	60.6
WDR6	67	ENSG00000178252	ENSG00000178252.19	3	49007062	49015953	1	WDR6	22	4070	60.74626865671642
SSR4	10	ENSG00000180879	ENSG00000180879.14	X	153793516	153798499	1	SSR4	12	608	60.8
FAM32A	24	ENSG00000105058	ENSG00000105058.12	19	16185380	16192046	1	FAM32A	5	1463	60.958333333333336
COX6B1	8	ENSG00000126267	ENSG00000126267.11	19	35648323	35658782	1	COX6B1	5	488	61.0
SVIL-AS1	2	ENSG00000224597	ENSG00000224597.13	10	29409618	29415412	1	SVIL-AS1	1	122	61.0
PSMB4	15	ENSG00000159377	ENSG00000159377.11	1	151399560	151401937	1	PSMB4	7	918	61.2
ARHGDIA	30	ENSG00000141522	ENSG00000141522.13	17	81867719	81871378	-1	ARHGDIA	17	1837	61.233333333333334
CSNK1E	46	ENSG00000213923	ENSG00000213923.13	22	38290691	38318084	-1	CSNK1E	15	2817	61.23913043478261
RPS18	10	ENSG00000223367	ENSG00000223367.6	HSCHR6_MHC_DBB_CTG1	4515524	4520024	1	RPS18	8	613	61.3
U2AF2	35	ENSG00000063244	ENSG00000063244.14	19	55654146	55674716	1	U2AF2	7	2146	61.31428571428572
7SK	4	ENSG00000274262	ENSG00000274262.1	HSCHR17_7_CTG4	124090	124336	1	7SK	1	247	61.75
NDUFS5	8	ENSG00000168653	ENSG00000168653.11	1	39026318	39034636	1	NDUFS5	2	495	61.875
IL4I1	29	ENSG00000104951	ENSG00000104951.16	19	49889654	49929539	-1	IL4I1	8	1795	61.89655172413793
TOMM7	7	ENSG00000196683	ENSG00000196683.12	7	22812628	22822849	-1	TOMM7	6	434	62.0
MCCC2	12	ENSG00000281742	ENSG00000281742.2	HSCHR5_1_CTG1_1	1117263	1134443	1	MCCC2	7	744	62.0
MRPL27	11	ENSG00000108826	ENSG00000108826.16	17	50367857	50373207	-1	MRPL27	7	686	62.36363636363637
EIF5A	13	ENSG00000288145	ENSG00000288145.1	HG2087_PATCH	65364	70828	1	EIF5A	11	811	62.38461538461539
7SK	4	ENSG00000277313	ENSG00000277313.1	1	120228046	120228295	-1	7SK	1	250	62.5
AHSA2P	16	ENSG00000173209	ENSG00000173209.24	2	61177539	61186786	1	AHSA2P	1	1003	62.6875
NDUFB9	11	ENSG00000147684	ENSG00000147684.10	8	124539101	124580648	1	NDUFB9	16	691	62.81818181818182
SLC3A2	30	ENSG00000168003	ENSG00000168003.19	11	62856004	62888880	1	SLC3A2	41	1885	62.833333333333336
RPS12	8	ENSG00000112306	ENSG00000112306.8	6	132814569	132817564	1	RPS12	2	503	62.875
SPON2	25	ENSG00000159674	ENSG00000159674.12	4	1166932	1208962	-1	SPON2	22	1579	63.16
UFC1	14	ENSG00000143222	ENSG00000143222.12	1	161152776	161158856	1	UFC1	6	888	63.42857142857143
RPL13P12	10	ENSG00000215030	ENSG00000215030.5	17	17383377	17384012	-1	RPL13P12	1	636	63.6
EIF4EBP1	13	ENSG00000187840	ENSG00000187840.5	8	38030534	38060365	1	EIF4EBP1	2	827	63.61538461538461
SEC61A1	56	ENSG00000058262	ENSG00000058262.11	3	128051641	128071705	1	SEC61A1	22	3568	63.714285714285715
MRPL14	15	ENSG00000180992	ENSG00000180992.7	6	44113451	44127452	-1	MRPL14	1	957	63.8
ANKHD1-DT	8	ENSG00000249637	ENSG00000249637.5	5	140365437	140401706	-1	ANKHD1-DT	13	511	63.875
TUG1	117	ENSG00000253352	ENSG00000253352.10	22	30969245	30979395	1	TUG1	20	7474	63.88034188034188
PODXL2	34	ENSG00000114631	ENSG00000114631.11	3	127629185	127672802	1	PODXL2	1	2175	63.970588235294116
PKM	36	ENSG00000067225	ENSG00000067225.21	15	72199029	72231819	-1	PKM	25	2305	64.02777777777777
ZNRD2	12	ENSG00000173465	ENSG00000173465.8	11	65570460	65573942	1	ZNRD2	7	769	64.08333333333333
IP6K2	27	ENSG00000068745	ENSG00000068745.15	3	48688003	48740353	-1	IP6K2	28	1746	64.66666666666667
RPLP0	17	ENSG00000089157	ENSG00000089157.16	12	120196699	120201235	-1	RPLP0	27	1105	65.0
GUSBP11	13	ENSG00000272578	ENSG00000272578.6	22	23659869	23717295	-1	GUSBP11	1	847	65.15384615384616
RBM14-RBM4	24	ENSG00000248643	ENSG00000248643.5	11	66616626	66646469	1	RBM14-RBM4	4	1566	65.25
IER3	19	ENSG00000235030	ENSG00000235030.3	HSCHR6_MHC_SSTO_CTG1	2043995	2045350	-1	IER3	2	1244	65.47368421052632
ACTG1	38	ENSG00000291420	ENSG00000291420.1	HG1369_PATCH	165618	180052	-1	ACTG1	25	2491	65.55263157894737
TGIF2-RAB5IF	14	ENSG00000259399	ENSG00000259399.1	20	36574553	36612384	1	TGIF2-RAB5IF	1	918	65.57142857142857
ATP5PF	8	ENSG00000154723	ENSG00000154723.13	21	25716503	25735673	-1	ATP5PF	8	526	65.75
NOP56	29	ENSG00000101361	ENSG00000101361.17	20	2652593	2658393	1	NOP56	21	1913	65.96551724137932
MT-TY	1	ENSG00000210144	ENSG00000210144.1	MT	5826	5891	-1	MT-TY	1	66	66.0
EBP	17	ENSG00000147155	ENSG00000147155.11	X	48521799	48528716	1	EBP	6	1125	66.17647058823529
PARK7	17	ENSG00000116288	ENSG00000116288.13	1	7954291	7985505	1	PARK7	10	1127	66.29411764705883
ARL2	14	ENSG00000213465	ENSG00000213465.8	11	65014160	65022184	1	ARL2	6	932	66.57142857142857
MALAT1	157	ENSG00000251562	ENSG00000251562.12	11	65497606	65508073	1	MALAT1	72	10468	66.67515923566879
RNF103-CHMP3	17	ENSG00000249884	ENSG00000249884.8	2	86505668	86721122	-1	RNF103-CHMP3	2	1135	66.76470588235294
GUK1	14	ENSG00000143774	ENSG00000143774.18	1	228139962	228148984	1	GUK1	33	935	66.78571428571429
MAD2L1BP	19	ENSG00000124688	ENSG00000124688.14	6	43629540	43640941	1	MAD2L1BP	3	1269	66.78947368421052
MT2A	6	ENSG00000125148	ENSG00000125148.7	16	56608584	56609497	1	MT2A	5	401	66.83333333333333
NCBP2AS2	13	ENSG00000270170	ENSG00000270170.2	3	196942674	196943543	1	NCBP2AS2	1	870	66.92307692307692
SRRM2	135	ENSG00000167978	ENSG00000167978.19	16	2752626	2772538	1	SRRM2	26	9044	66.99259259259259
NDUFS8	11	ENSG00000110717	ENSG00000110717.13	11	68030617	68036644	1	NDUFS8	15	737	67.0
FTL	13	ENSG00000087086	ENSG00000087086.16	19	48965309	48967896	1	FTL	2	871	67.0
ACTB	27	ENSG00000075624	ENSG00000075624.17	7	5526409	5563902	-1	ACTB	23	1812	67.11111111111111
FUS	27	ENSG00000089280	ENSG00000089280.20	16	31180138	31196963	1	FUS	15	1824	67.55555555555556
BAMBI	25	ENSG00000095739	ENSG00000095739.11	10	28677510	28682932	1	BAMBI	2	1691	67.64
EMC4	15	ENSG00000128463	ENSG00000128463.13	15	34225013	34230156	1	EMC4	13	1019	67.93333333333334
MT-TW	1	ENSG00000210117	ENSG00000210117.1	MT	5512	5579	1	MT-TW	1	68	68.0
SRSF5	22	ENSG00000100650	ENSG00000100650.16	14	69726900	69772005	1	SRSF5	19	1496	68.0
ZEB1-AS1	5	ENSG00000237036	ENSG00000237036.8	10	31204982	31320484	-1	ZEB1-AS1	17	340	68.0
MT-TP	1	ENSG00000210196	ENSG00000210196.2	MT	15956	16023	-1	MT-TP	1	68	68.0
CALM3	32	ENSG00000160014	ENSG00000160014.17	19	46601074	46610782	1	CALM3	13	2184	68.25
CRKL	78	ENSG00000099942	ENSG00000099942.13	22	20917407	20953747	1	CRKL	2	5342	68.48717948717949
FDFT1	27	ENSG00000284967	ENSG00000284967.3	HG76_PATCH	1508591	1552526	-1	FDFT1	21	1850	68.51851851851852
H4C5	6	ENSG00000276966	ENSG00000276966.3	6	26204610	26205021	1	H4C5	1	412	68.66666666666667
MGAT2	39	ENSG00000168282	ENSG00000168282.6	14	49620799	49623481	1	MGAT2	1	2683	68.7948717948718
SOD1	13	ENSG00000142168	ENSG00000142168.15	21	31659666	31668931	1	SOD1	4	895	68.84615384615384
DDR1	11	ENSG00000229767	ENSG00000229767.9	HSCHR6_MHC_APD_CTG1	2214729	2218933	1	DDR1	12	758	68.9090909090909
EIF3G	16	ENSG00000130811	ENSG00000130811.12	19	10115014	10119918	-1	EIF3G	15	1103	68.9375
MTATP8P1	3	ENSG00000240409	ENSG00000240409.1	1	633535	633741	1	MTATP8P1	1	207	69.0
MTERF4	23	ENSG00000122085	ENSG00000122085.17	2	241072169	241102332	-1	MTERF4	22	1587	69.0
MT-TI	1	ENSG00000210100	ENSG00000210100.1	MT	4263	4331	1	MT-TI	1	69	69.0
DAG1	78	ENSG00000173402	ENSG00000173402.13	3	49468713	49535618	1	DAG1	19	5387	69.06410256410257
CYBC1	30	ENSG00000178927	ENSG00000178927.19	17	82440912	82450829	-1	CYBC1	51	2073	69.1
NFE2L1	70	ENSG00000082641	ENSG00000082641.16	17	48048329	48061545	1	NFE2L1	23	4839	69.12857142857143
QRICH1	47	ENSG00000198218	ENSG00000198218.12	3	49029707	49094363	-1	QRICH1	22	3257	69.29787234042553
SON	121	ENSG00000159140	ENSG00000159140.23	21	33543038	33577481	1	SON	22	8393	69.36363636363636
PSMB5	15	ENSG00000100804	ENSG00000100804.19	14	23016543	23035230	-1	PSMB5	6	1044	69.6
LINC00963	18	ENSG00000204054	ENSG00000204054.15	9	129476946	129513769	1	LINC00963	82	1257	69.83333333333333
PEG10	37	ENSG00000242265	ENSG00000242265.6	7	94656325	94669695	1	PEG10	9	2585	69.86486486486487
MANF	13	ENSG00000145050	ENSG00000145050.19	3	51385291	51389397	1	MANF	5	909	69.92307692307692
